end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AdditionalPaidInCapital,AdjustmentsToAdditionalPaidInCapitalOther,Assets,AssetsCurrent,CashAndCashEquivalentsAtCarryingValue,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CommonStockValue,DeferredTaxAssetsGross,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,DeferredTaxAssetsValuationAllowanceCurrent,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,GainsLossesOnExtinguishmentOfDebt,GeneralAndAdministrativeExpense,IncomeTaxesPaid,IncomeTaxesPaidNet,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncomeTaxReconciliationNondeductibleExpense,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInDueToRelatedPartiesCurrent,IncreaseDecreaseInPrepaidExpense,InterestPaidNet,InvestmentsInAffiliatesSubsidiariesAssociatesAndJointVentures,IssuanceOfStockAndWarrantsForServicesOrClaims,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NonoperatingIncomeExpense,NotesPayableRelatedPartiesClassifiedCurrent,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PrepaidExpenseCurrent,RetainedEarningsAccumulatedDeficit,Revenues,ShareBasedCompensation,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockIssued1,StockIssuedDuringPeriodValueAcquisitions,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueOther,StockRepurchasedAndRetiredDuringPeriodValue,StockRepurchasedDuringPeriodValue,WeightedAverageNumberOfShareOutstandingBasicAndDiluted
2009-12-31,2018-05-09,10-K,NUNZIA PHARMACEUTICAL COMPANY,NUNZ,CIK0000886093,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-98000.0,,,,,,,,
2018-12-31,2019-05-31,10-K,NUNZIA PHARMACEUTICAL COMPANY,NUNZ,CIK0000886093,USD,62490.0,-143690.0,,0.0,,,0.0,,146920.0,62411.0,,297197.0,62411.0,,208477.0,0.0,0.21,8596.0,27172.0,,,3901.0,-3901.0,,2090.0,25082.0,,,,,0.0,293967.0,,,-18576.0,,23000.0,27172.0,-27172.0,,,,,,,-297197.0,,,-293967.0,-293967.0,,,,,,,146859077.0
2019-03-31,2019-05-31,10-Q,NUNZIA PHARMACEUTICAL COMPANY,NUNZ,CIK0000886093,USD,63297.0,-143690.0,,0.0,,,0.0,0.0,146920.0,,,,,,213927.0,0.0,,,6257.0,0.0,,,,,807.0,5450.0,,0.0,,,0.0,300224.0,,0.0,-6257.0,,23000.0,6257.0,-6257.0,,,,,,,-303454.0,0.0,0.0,-300224.0,-300224.0,,,,,,,250073035.0
2019-06-30,2019-09-18,10-Q,NUNZIA PHARMACEUTICAL COMPANY,NUNZ,CIK0000886093,USD,64104.0,-143690.0,,0.0,,,0.0,,146920.0,,,,,,227927.0,0.0,,,17305.0,,,,,,,,,,,,0.0,315031.0,,,-17305.0,,23000.0,17305.0,-17305.0,,,,,,,-318261.0,0.0,,-315031.0,-317529.0,,,,,,,200073035.0
2019-09-30,2019-12-02,10-Q,NUNZIA PHARMACEUTICAL COMPANY,NUNZ,CIK0000886093,USD,65411.0,-123690.0,,0.0,,,0.0,,126859.0,,,,,,227927.0,0.0,,,1307.0,,,,,,,,,,,,0.0,316338.0,,,-1307.0,,23000.0,1307.0,-1307.0,,,,,,,-319568.0,0.0,,-316338.0,-318836.0,,,,,,,200073035.0
2020-03-31,2021-09-16,10-Q,NUNZIA PHARMACEUTICAL COMPANY,NUNZ,CIK0000886093,USD,21442.0,29134.0,,0.0,,,0.0,0.0,,,,,,,5536.0,0.0,,,6901.0,0.0,,,,,109.0,4294.0,,0.0,,,0.0,26978.0,,0.0,-6901.0,,,6901.0,-6901.0,,,,,,,-340933.0,0.0,2498.0,-26978.0,-26978.0,,,2498.0,,,,284778797.0
2020-06-30,2021-09-16,10-Q,NUNZIA PHARMACEUTICAL COMPANY,NUNZ,CIK0000886093,USD,22779.0,29134.0,,0.0,,,0.0,,,,,,,,5536.0,0.0,,,1337.0,,,,,,,,,,,,0.0,28315.0,,,-1337.0,,,1337.0,-1337.0,,,,,,,-342270.0,0.0,,-28315.0,-28315.0,,,,,,,284820578.0
2020-09-30,2021-09-16,10-Q,NUNZIA PHARMACEUTICAL COMPANY,NUNZ,CIK0000886093,USD,24761.0,29134.0,,0.0,,,0.0,,,,,,,,10536.0,0.0,,,6982.0,,,,,,,,,,,,0.0,35297.0,,,-6982.0,,,6982.0,-6982.0,,,,,,,-349252.0,0.0,,-35297.0,-35297.0,,0.0,,0.0,,,284820578.0
2020-12-31,2021-09-16,10-K,NUNZIA PHARMACEUTICAL COMPANY,NUNZ,CIK0000886093,USD,25868.0,29134.0,,0.0,0.0,0.0,0.0,0.0,,73051.0,0.0,348000.0,2904.0,73051.0,10536.0,0.0,0.21,,16327.0,0.0,,-2904.0,-1893429.0,1890525.0,4535.0,9294.0,,0.0,0.0,,0.0,36404.0,0.0,0.0,-9016327.0,-9000000.0,,16327.0,-16327.0,347861.0,,,,,0.0,-9350359.0,0.0,2498.0,-36404.0,-36404.0,,,2498.0,0.0,,,284893181.0
2021-03-31,2021-09-17,10-Q,NUNZIA PHARMACEUTICAL COMPANY,NUNZ,CIK0000886093,USD,24481.0,29134.0,,16620.0,16620.0,16620.0,16620.0,16620.0,,,,,,,44191.0,0.0,,,15648.0,0.0,,,,,-1387.0,33655.0,,0.0,,,16620.0,68672.0,,16620.0,-15648.0,,,15648.0,-15648.0,,,,,,,-9366007.0,0.0,0.0,-52052.0,-52052.0,,,,,,,284820578.0
2021-06-30,2021-09-17,10-Q,NUNZIA PHARMACEUTICAL COMPANY,NUNZ,CIK0000886093,USD,25994.0,29134.0,5000.0,9003.0,4003.0,1503.0,1503.0,,,,,,,,36690.0,0.0,,,6629.0,,,,,,,,,,,,9003.0,62684.0,,,-6629.0,,,6629.0,-6629.0,,,,,,2500.0,-9372636.0,0.0,,-53681.0,-53681.0,,0.0,,5000.0,0.0,0.0,284820578.0
2021-09-30,2021-11-10,10-Q,NUNZIA PHARMACEUTICAL COMPANY,NUNZ,CIK0000886093,USD,11238.0,9026134.0,,9483.0,4483.0,483.0,483.0,,,,,,,,86452.0,0.0,,,34527.0,,,,,,,,,,5000.0,,9482.0,97690.0,,,-34527.0,,,34527.0,-34527.0,,1.0,50000000.0,0.0,0.0,4000.0,-9407163.0,0.0,,-88208.0,88208.0,,,,0.0,,,292769578.0
