end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableCurrent,AccountsReceivableNetCurrent,AdditionalPaidInCapital,AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,AssetImpairmentCharges,Assets,AssetsCurrent,CapitalizedComputerSoftwareAdditions,CapitalizedComputerSoftwareNet,Cash,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,CurrentIncomeTaxExpenseBenefit,DeferredTaxAssetsGoodwillAndIntangibleAssets,DeferredTaxAssetsGross,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,DepositsAssetsNoncurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,FiniteLivedIntangibleAssetsNet,FiniteLivedTrademarksGross,FiniteLivedTradeNamesGross,ForeignCurrencyTransactionGainLossRealized,GainLossOnDispositionOfIntangibleAssets,GainLossOnSaleOfEquityInvestments,GainsLossesOnExtinguishmentOfDebt,GeneralAndAdministrativeExpense,ImpairmentOfIntangibleAssetsExcludingGoodwill,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationChangeInEnactedTaxRate,IncomeTaxReconciliationEquityInEarningsLossesOfUnconsolidatedSubsidiary,IncomeTaxReconciliationForeignIncomeTaxRateDifferential,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncomeTaxReconciliationNondeductibleExpense,IncomeTaxReconciliationPriorYearIncomeTaxes,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInPrepaidExpense,IntangibleAssetsNetExcludingGoodwill,InterestExpense,InterestPaid,Liabilities,LiabilitiesAndStockholdersEquity,MarketingExpense,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NoninterestExpenseTransferAgentAndCustodianFees,NonoperatingIncomeExpense,OperatingIncomeLoss,OperatingLossCarryforwards,OtherIncome,OtherLiabilitiesCurrent,OtherReceivables,OtherReceivablesNetCurrent,PaymentsForDeposits,PaymentsForProceedsFromOtherDeposits,PaymentsForSoftware,PrepaidExpenseNoncurrent,ProceedsFromSaleOfIntangibleAssets,ProfessionalFees,ProvisionForDoubtfulAccounts,RetainedEarningsAccumulatedDeficit,ShareBasedCompensation,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableNumber,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableWeightedAverageExercisePrice,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExpirationsInPeriod,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriod,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingNumber,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingWeightedAverageExercisePrice,ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageExercisePrice,StockholdersEquity,TradingSecuritiesEquity,TravelAndEntertainmentExpense,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic
2018-03-31,2018-05-16,10-Q,LIVE CURRENT MEDIA INC.,LIVC,CIK0001108630,USD,215523.0,0.0,18257563.0,,,1225575.0,1019425.0,,,929425.0,-27124.0,,0.001,500000000.0,34837625.0,34837625.0,34838.0,,,,,,,,0.0,,,206150.0,4654.0,201496.0,-389.0,0.0,,0.0,6996.0,0.0,,,0.0,,,,,,,,29973.0,-27935.0,0.0,206150.0,51.0,0.0,232810.0,1225575.0,,0.0,-27124.0,-85083.0,1972.0,-440.0,-84643.0,,,17287.0,0.0,90000.0,,,,,0.0,34740.0,5435.0,-17299636.0,,,,,,,,,992765.0,,,,34837625.0,
2018-06-30,2018-08-14,10-Q,LIVE CURRENT MEDIA INC.,LIVC,CIK0001108630,USD,119424.0,0.0,18257563.0,,,1049394.0,843244.0,,,775744.0,,,0.001,500000000.0,34837625.0,34837625.0,34838.0,,,,,,,,0.0,,,206150.0,4654.0,201496.0,-3138.0,,,0.0,9523.0,,,,,,,,,,,,,,,206150.0,51.0,,136762.0,1049394.0,,,,-80133.0,18511.0,-3189.0,-76944.0,,,17338.0,0.0,67500.0,,,,,,15805.0,,-17379769.0,,,,,,,,,912632.0,,,,34837625.0,
2018-09-30,2018-11-14,10-Q,LIVE CURRENT MEDIA INC.,LIVC,CIK0001108630,USD,95017.0,0.0,18257563.0,,,958663.0,502513.0,,,457513.0,,,0.001,500000000.0,34837625.0,34837625.0,34838.0,,,,,,,250000.0,0.0,,,206150.0,4654.0,201496.0,-696.0,-3300.0,,0.0,12185.0,0.0,,,,,,,,,,,,,,206150.0,51.0,,112406.0,958663.0,,,,-66375.0,17228.0,-747.0,-65628.0,,0.0,17389.0,0.0,45000.0,,,,,,2915.0,,-17446144.0,,,,,,,,,846257.0,,,,34837625.0,
2018-12-31,2019-04-01,10-K,LIVE CURRENT MEDIA INC.,LIVC,CIK0001108630,USD,85585.0,0.0,18370899.0,,94199.0,523357.0,411406.0,,,388906.0,-567643.0,,0.001,500000000.0,34837625.0,34837625.0,34838.0,-11515.0,67000.0,1773000.0,0.0,1706000.0,1773000.0,250000.0,-0.02,0.21,0.21,111951.0,0.0,111951.0,0.0,0.0,,0.0,27881.0,94199.0,-782368.0,-12000.0,0.0,151000.0,0.0,-26000.0,0.0,-162000.0,24000.0,1000.0,-88450.0,,,111951.0,205.0,0.0,103026.0,523357.0,,90000.0,-657643.0,-770853.0,31014.0,-205.0,-782368.0,7400000.0,0.0,17441.0,0.0,22500.0,,,,,90000.0,104313.0,5435.0,-17985406.0,113336.0,,,,,,,,420331.0,,5080.0,,34837625.0,
2019-03-31,2019-05-15,10-Q,LIVE CURRENT MEDIA INC.,LIVC,CIK0001108630,USD,122143.0,0.0,18370899.0,,,443798.0,331847.0,,,324347.0,-64559.0,,0.001,500000000.0,34837625.0,34837625.0,34838.0,,,,,,,,0.0,,,,,,-580.0,,,,8562.0,,,,0.0,,,,,,,,36558.0,-15000.0,,111951.0,51.0,0.0,139635.0,443798.0,21282.0,,-64559.0,-116168.0,5771.0,-631.0,-115537.0,,,17492.0,,7500.0,,,,,,45152.0,0.0,-18101574.0,,,,,,1900000.0,0.1,,304163.0,,,,34837625.0,
2019-06-30,2019-08-14,10-Q,LIVE CURRENT MEDIA INC.,LIVC,CIK0001108630,USD,89840.0,348.0,18370899.0,,,484750.0,372799.0,,,372451.0,,,0.001,500000000.0,34837625.0,34837625.0,34838.0,,,,,,,,0.0,,,,,,-992.0,146700.0,,,18614.0,,,,,,,,,,,,,,,111951.0,51.0,,107383.0,484750.0,10847.0,,,73204.0,17808.0,-1043.0,74247.0,,,17543.0,,,,,,,,-7329.0,,-18028370.0,,,,,,1900000.0,0.1,,377367.0,,,,34837625.0,
2019-09-30,2019-11-14,10-Q,LIVE CURRENT MEDIA INC.,LIVC,CIK0001108630,USD,89914.0,,18370899.0,,,418203.0,306252.0,,,306252.0,,,0.001,500000000.0,34837625.0,34837625.0,34838.0,,,,,,,,0.0,,,,,,-464.0,0.0,,,11609.0,,,,,,,,,,,,,,,111951.0,51.0,,107508.0,418203.0,12249.0,,,-66672.0,1921.0,-515.0,-66157.0,,,17594.0,,,,,,,,7467.0,,-18095042.0,,,,,,1900000.0,0.1,,310695.0,,,,34837625.0,
2019-12-31,2020-03-31,10-K,LIVE CURRENT MEDIA INC.,LIVC,CIK0001108630,USD,91060.0,,18370899.0,,,544801.0,432850.0,,0.0,432850.0,43944.0,,0.001,500000000.0,34837625.0,34837625.0,34838.0,0.0,11000.0,1716000.0,0.0,1705000.0,1716000.0,,0.0,0.21,0.21,111951.0,,111951.0,,359200.0,,,47922.0,,15765.0,0.0,0.0,-63000.0,,11000.0,,-3000.0,49000.0,0.0,5474.0,,,111951.0,205.0,0.0,108705.0,544801.0,47733.0,381700.0,-337756.0,15765.0,29211.0,,15765.0,7599000.0,,17645.0,,,,,0.0,,381700.0,57248.0,,-17969641.0,,,,,,1900000.0,0.1,,436096.0,,9495.0,,34837625.0,
2020-03-31,2020-05-15,10-Q,LIVE CURRENT MEDIA INC.,LIVC,CIK0001108630,USD,103294.0,,18373817.0,2918.0,,891470.0,331303.0,27761.0,,331303.0,-101547.0,,0.001,500000000.0,34837625.0,34837625.0,34838.0,,,,,,,,0.01,,,,,,,,66403.0,,15932.0,,,,0.0,,,,,,,,12234.0,,,142630.0,51.0,0.0,120990.0,891470.0,13470.0,-27761.0,-73786.0,331466.0,4140.0,,,,,17696.0,,,,,27761.0,,,15120.0,,-17638175.0,2918.0,1750000.0,0.1,200000.0,200000.0,1900000.0,0.1,0.1,770480.0,417537.0,,34837625.0,34837625.0,34837625.0
2020-06-30,2020-08-14,10-Q,LIVE CURRENT MEDIA INC.,LIVC,CIK0001108630,USD,90638.0,,18373817.0,,,1392173.0,217291.0,,61390.0,217291.0,,,0.001,500000000.0,34837625.0,34837625.0,34838.0,,,,,,,,0.01,,,,,,,,584004.0,,11512.0,,,,,,,,,,,,,,,111951.0,51.0,,108385.0,1392173.0,350.0,,,513308.0,15363.0,,,,,17747.0,,,,,,,,12431.0,,-17124867.0,0.0,1650000.0,0.1,100000.0,,1800000.0,0.1,,1283788.0,1001541.0,,34837625.0,34837625.0,34837625.0
