end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,AccountsPayableAndAccruedLiabilitiesFairValueDisclosure,AccountsPayableAndAccruedLiabilitiesNoncurrent,AccountsPayableAndOtherAccruedLiabilitiesCurrent,AccretionExpense,AccruedLiabilitiesCurrent,AdditionalPaidInCapitalCommonStock,AdjustmentForAmortization,AdjustmentsNoncashItemsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities,AmortizationOfDebtDiscountPremium,AmortizationOfFinancingCosts,Assets,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsFairValueDisclosure,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CashEquivalentsAtCarryingValue,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ComprehensiveIncomeNetOfTax,ConvertibleDebt,ConvertibleDebtCurrent,CurrentFederalTaxExpenseBenefit,DebtInstrumentDecreaseForgiveness,DebtInstrumentIncreaseAccruedInterest,DebtInstrumentInterestRateDuringPeriod,DebtInstrumentInterestRateEffectivePercentage,DebtInstrumentUnamortizedDiscountCurrent,DeferredTaxAssetsLiabilitiesNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,DeferredTaxAssetsValuationAllowanceCurrent,DepreciationAndAmortization,DepreciationDepletionAndAmortization,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,DueFromRelatedPartiesCurrent,DueToOfficersOrStockholdersCurrent,DueToOtherRelatedPartiesClassifiedCurrent,DueToOtherRelatedPartiesNoncurrent,DueToRelatedPartiesCurrent,EarningsPerShareBasic,EarningsPerShareBasicAndDiluted,EarningsPerShareDiluted,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,ExtinguishmentOfDebtAmount,ExtinguishmentOfDebtGainLossNetOfTax,FeesAndCommissions,ForeignCurrencyTransactionGainLossUnrealized,GainLossOnDispositionOfAssets1,GainLossOnInvestments,GainOrLossOnSaleOfStockInSubsidiary,GainsLossesOnExtinguishmentOfDebt,GeneralAndAdministrativeExpense,IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationChangeInEnactedTaxRate,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncomeTaxReconciliationNondeductibleExpense,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInDueToRelatedPartiesCurrent,InterestAndDebtExpense,InterestExpense,InterestExpenseBorrowings,InterestExpenseDebt,InterestIncomeExpenseNet,InterestPaid,InterestPaidNet,InterestPayableCurrent,Liabilities,LiabilitiesAndStockholdersEquity,LoansPayable,LoansPayableCurrent,LoansPayableFairValueDisclosure,LongTermDebt,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NondebtorReorganizationItemsNetGainLossOnSettlementOfOtherClaims1,NotesPayableRelatedPartiesCurrentAndNoncurrent,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationGainLossArisingDuringPeriodNetOfTax,OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIForWritedownOfSecuritiesTax,OtherIncome,OtherLoansPayable,OtherLoansPayableCurrent,OtherNoncashIncome,OtherShortTermBorrowings,PaymentsForProceedsFromLoansReceivable,ProceedsFromConvertibleDebt,ProceedsFromIssuanceOfDebt,ProceedsFromIssuanceOfSharesUnderIncentiveAndShareBasedCompensationPlansIncludingStockOptions,ProceedsFromRelatedPartyDebt,ProfessionalFees,ProfitLoss,RepaymentsOfRelatedPartyDebt,RetainedEarningsAccumulatedDeficit,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExpirationsInPeriod,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriod,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingNumber,SharePrice,SharesIssued,SharesIssuedPricePerShare,SharesOutstanding,StockholdersEquity,StockholdersEquityBeforeTreasuryStock,StockIssuedDuringPeriodSharesConversionOfConvertibleSecurities,StockIssuedDuringPeriodSharesIssuedForServices,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodSharesOther,StockIssuedDuringPeriodSharesRestrictedStockAwardGross,StockIssuedDuringPeriodSharesStockOptionsExercised,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueOther,StockIssuedDuringPeriodValueRestrictedStockAwardGross,StockRepurchasedAndRetiredDuringPeriodValue,TaxAdjustmentsSettlementsAndUnusualProvisions,TechnologyServicesCosts,TradingActivityGain,TreasuryStockCommonShares,TreasuryStockShares,TreasuryStockValue,ValuationAllowanceDeferredTaxAssetChangeInAmount,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic
2009-12-31,2010-04-12,10-K,ARVANA INC.,AVNI,CIK0001113313,USD,,,,,,,,,,,,,,534.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,833045.0,-1541254.0,-1541254.0,,,,,,,,,,,,,,,,,,,,,
2010-06-30,2010-08-16,10-Q,ARVANA INC.,AVNI,CIK0001113313,USD,,,,,,,,,,,,,,1404.0,,,,,,,,,,,22092.0,,,,,,,,,,,,,28.0,,,,,,,,,0.02,,,,,,,,,,,29395.0,,,,,,,,,,,,,10369.0,,,,,,,,,,,,,,,,,,,29423.0,-29423.0,,61884.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-09-30,2010-11-12,10-Q,ARVANA INC.,AVNI,CIK0001113313,USD,,,,,,,,,,,,,,4821.0,,,,,,0.001,5000000.0,,,,-95919.0,,,,,,,,,,,,,0.0,,,,,,,,,-0.18,,,,,,,,,,,20626.0,,,,,,,,,,,,,10946.0,,,,,,,,,,,,,,,,,,,20626.0,-20626.0,,-64347.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-31,2011-04-06,10-K,ARVANA INC.,AVNI,CIK0001113313,USD,657603.0,,,,,,,21446444.0,,,,,2074.0,2074.0,,,1540.0,,,0.001,5000000.0,1060130.0,1060130.0,1060.0,-126428.0,,,,,,,,,,,,,103.0,103.0,126428.0,,604653.0,282500.0,,,,-0.12,,,,,,23388.0,,,,,103388.0,,,-126428.0,,0.0,,,,,44362.0,71578.0,,42751.0,,,,0.0,,,1669756.0,2074.0,,25000.0,,,35313.0,,-33773.0,,,,103491.0,-103491.0,,19814.0,,,,,,,,,25000.0,,4000.0,,,,-22705422.0,,,,,,,883045.0,-1667682.0,-1667682.0,,,,,,,,,,,,,,,,177085.0,283336.0,,,,
2011-03-31,2011-05-16,10-Q,ARVANA INC.,AVNI,CIK0001113313,USD,,,,,,,,,,,,,,,,,9973.0,,,,,,,,-106915.0,,,,,,,,,,,,,,,,,,,,,,-0.1,,,,,,-41268.0,,,,,53793.0,,,,,,,,,,31428.0,34192.0,,11233.0,,,,,,,,,,,,,10000.0,,-27.0,,,,53793.0,-53793.0,,-41889.0,,,,,,,,,,,,,-106915.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-06-30,2011-08-15,10-Q,ARVANA INC.,AVNI,CIK0001113313,USD,713226.0,,,,,,,21446444.0,,,,,12270.0,12270.0,,,,,,0.001,5000000.0,1060130.0,1060130.0,1060.0,-118636.0,,,,,,,,,,,,,0.0,,351979.0,,662528.0,394381.0,,,,-0.11,,,,,,,,,,,88479.0,,,,,,,,,,,,,11752.0,,,,,,,1905503.0,12270.0,,35368.0,,,,,,,,,88479.0,-88479.0,,-18405.0,,,,,,,,,,,,,,,-22705422.0,,,,,,,,-1893233.0,,,,,,,,,,,,,,,,,177085.0,283336.0,,,,
2011-09-30,2011-11-14,10-Q,ARVANA INC.,AVNI,CIK0001113313,USD,695425.0,,,,,,,21166619.0,,,,,3916.0,3916.0,,,,,,0.001,5000000.0,885130.0,885130.0,885.0,-3703.0,,,,,,,,,,,,,0.0,,355682.0,,613814.0,438533.0,,,,-0.01,,,,,,,,,,,82119.0,,,,,,,,,,,,,11504.0,,,,,,,1900852.0,3916.0,,34540.0,,,,,,,,,82119.0,-82119.0,,89920.0,,,,,,,,,,,,,,,-22705422.0,,,,,,,,-1896936.0,,,,,,,,,,,,,,,,,2085.0,3336.0,,,,
2011-12-31,2012-04-13,10-K,ARVANA INC.,AVNI,CIK0001113313,USD,695550.0,,695550.0,,,,,21166619.0,,,,,1734.0,1734.0,,1734.0,-340.0,,1734.0,0.001,5000000.0,885130.0,885130.0,885.0,-311449.0,,,,,,,,,,,,,0.0,0.0,437877.0,,604930.0,516719.0,,,,-0.31,,,,,,27424.0,,,,,300764.0,,,-311449.0,,0.0,,,,,52205.0,236913.0,,45951.0,,,,0.0,,,1980865.0,1734.0,,44833.0,44833.0,,49415.0,,-49755.0,,,,300764.0,-300764.0,,35266.0,,,118833.0,,,,,,19833.0,,14833.0,,-311449.0,,-22705422.0,,,,,,,883045.0,-1979131.0,-1979131.0,,,,,,,,,,,,,,,,-3336.0,3336.0,,,,
2012-03-31,2012-05-11,10-Q,ARVANA INC.,AVNI,CIK0001113313,USD,725759.0,,,,,,,21166619.0,,,,,1707.0,1707.0,,,-27.0,,,0.001,5000000.0,885130.0,885130.0,885.0,-114971.0,,,,,,,,,,,,,,,552848.0,,614271.0,591729.0,,,,-0.13,,,,,,26001.0,,,,,77120.0,,,,,,,,,,19564.0,69379.0,,11675.0,,,,,,,2095809.0,1707.0,,45025.0,,,,,-27.0,,,,77120.0,-77120.0,,-26176.0,,,,,,,,,,,,,-114971.0,,-22705422.0,,,,,,,,-2094102.0,,,,,,,,,,,,,,,,,2085.0,3336.0,,,,
2012-06-30,2012-08-14,10-Q,ARVANA INC.,AVNI,CIK0001113313,USD,961153.0,,989533.0,,,,,21166619.0,,,,,2798.0,2798.0,4120.0,4120.0,,,4120.0,0.001,5000000.0,885130.0,885130.0,885.0,-31493.0,,,,,,,,,,,,,,,584341.0,,624596.0,450432.0,,,,-0.04,,,,,,,,,,,63471.0,,,,,,,,,,,,,11743.0,,,,,,,2128393.0,2798.0,,145171.0,145171.0,,,,,,,,63471.0,-63471.0,,43721.0,,,34428.0,,,,,,,,,,,,-22705422.0,,,,,,,,-2125595.0,,,,,,,,,,,,,,,,,2085.0,3336.0,,,,
2012-09-30,2012-11-13,10-Q,ARVANA INC.,AVNI,CIK0001113313,USD,989533.0,,,,,,,21166619.0,,,,,4120.0,4120.0,,,,,,0.001,5000000.0,885130.0,885130.0,885.0,-114445.0,,,,,,,,,,,,,,,698786.0,,624596.0,450432.0,,,,-0.13,,,,,,,,,,,70349.0,,,,,,,,,,,,,11861.0,,,,,,,2244160.0,4120.0,,145171.0,,,,,,,,,70349.0,-70349.0,,-32235.0,,,,,,,,,,,,,,,-22705422.0,,,,,,,,-2240040.0,,,,,,,,,,,,,,,,,2085.0,3336.0,,,,
