end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableCurrent,AccruedLiabilitiesCurrent,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,Assets,AssetsNet,CashAndCashEquivalentsAtCarryingValue,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CommonStockNoParValue,CommonStockParOrStatedValuePerShare,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,CustodyFees,DueToRelatedPartiesCurrent,EarningsPerShareBasic,FairValueNetAssetLiability,FairValueOfAssetsAcquired,GainLossOnInvestments,GainLossOnSaleOfInvestments,GainLossOnSaleOfTrustAssetsToPayExpenses,GrossProfit,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInInventories,IncreaseDecreaseInReceivables,IncreaseDecreaseInRetainagePayable,InvestmentCompanyInvestmentIncomeLossPerShare,InvestmentCompanyInvestmentIncomeLossRatio,InvestmentInPhysicalCommoditiesFairValueDisclosure,InvestmentOwnedAtCost,InvestmentOwnedAtFairValue,InvestmentOwnedBalanceOtherMeasure,InvestmentOwnedPercentOfNetAssets,Liabilities,LiabilitiesAndStockholdersEquity,LiabilityForUncertainTaxPositionsCurrent,MarketingExpense,NetAssetValuePerShare,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,NetInvestmentIncome,NonInvestmentAssetsLessNonInvestmentLiabilities,NonInvestmentAssetsLessNonInvestmentLiabilitiesPercentOfNetAssets,OperatingExpenses,OperatingIncomeLoss,OtherExpenses,PaymentsForOperatingActivities,PaymentsForRepurchaseOfCommonStock,ProceedsFromCustomers,ProceedsFromIssuanceOfCommonStock,ProceedsFromSaleOfTrustAssetsToPayExpenses,ProfitLoss,ReceivablesNetCurrent,RecoveryOfDirectCosts,RetainedEarningsAccumulatedDeficit,SharesIssued,SharesOutstanding,SponsorFees,StockholdersEquity,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodValueNewIssues,StockRepurchasedAndRetiredDuringPeriodShares,StockRepurchasedAndRetiredDuringPeriodValue,StockRepurchasedDuringPeriodShares,StockRepurchasedDuringPeriodValue,TemporaryEquityCarryingAmountAttributableToParent,TemporaryEquityParOrStatedValuePerShare,TemporaryEquityRedemptionPricePerShare,TemporaryEquitySharesIssued,TemporaryEquitySharesOutstanding,TrusteeFees,UnrealizedGainLossOnInvestments,WeightedAverageNumberOfSharesOutstandingBasic
2006-09-30,2006-11-30,10-K,SPDR GOLD TRUST,GLD,CIK0001222333,USD,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1243956000.0,,,,,,,,,,,,,,,,,,
2007-09-30,2007-11-23,10-K,SPDR GOLD TRUST,GLD,CIK0001222333,USD,,,,,,0.0,,,,,,187900000.0,,13803588000.0,7202000.0,,2.05,,6034380000.0,,,,6908000.0,1703000.0,,4444263000.0,0.0,,,,,,,18584100.0,,,,,14476000.0,,0.0,,,,,,39668000.0,,1623000.0,37965000.0,1905262000.0,37965000.0,6034380000.0,,313442000.0,,,-3163495000.0,,,14476000.0,,,,,,,,,,,,,1891000.0,,152872000.0
2008-03-31,2008-05-09,10-Q,SPDR GOLD TRUST,GLD,CIK0001222333,USD,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-06-30,2008-08-11,10-Q,SPDR GOLD TRUST,GLD,CIK0001222333,USD,,,,,,0.0,,,,,,,,,3070000.0,,3.04,,2198516000.0,,,,4994000.0,4000.0,,434231000.0,237362000.0,,,,,,,,,,,,6347000.0,,0.0,,,,,,17510000.0,,1247000.0,17506000.0,2130425000.0,17506000.0,2198516000.0,,603498000.0,,,,,,6347000.0,,,,,,,,,,,,,499000.0,,198523000.0
2008-09-30,2008-11-25,10-K,SPDR GOLD TRUST,GLD,CIK0001222333,USD,2256000.0,347000.0,,17775738000.0,,0.0,,,,0.0,,246500000.0,246500000.0,21471084000.0,12307000.0,4179000.0,9.6,,12903805000.0,,,,17986000.0,2386000.0,,6234065000.0,897184000.0,,,,,,,23268200.0,,6782000.0,17775738000.0,,25472000.0,,0.0,,,,,,70573000.0,,5322000.0,68188000.0,7740504000.0,68188000.0,12903805000.0,,1965562000.0,897184000.0,,-3702128000.0,,,25472000.0,,147100000.0,12903805000.0,,,-88500000.0,7740504000.0,,,,,,2000000.0,,204762000.0
2008-12-31,2009-02-06,10-Q,SPDR GOLD TRUST,GLD,CIK0001222333,USD,,,,,,0.0,,,,,,,,,3344000.0,,0.23,,1647238000.0,,,,1246000.0,703000.0,,1608807000.0,-761026000.0,,,,,,,,,,,,6933000.0,,0.0,,,,,,19555000.0,,1841000.0,18852000.0,995522000.0,18852000.0,1785796000.0,,56804000.0,,,,,,6933000.0,,,,,,,,,,,,,504000.0,,247616000.0
2009-03-31,2009-05-08,10-Q,SPDR GOLD TRUST,GLD,CIK0001222333,USD,,,,,,0.0,,,,,,,,,4494000.0,,-0.07,,10235748000.0,,,,3767000.0,3412000.0,,10344571000.0,-64095000.0,,,,,,,,,,,,10112000.0,,0.0,,,,,,27282000.0,,2071000.0,23869000.0,9330000.0,23869000.0,10308401000.0,,-22007000.0,,,,,,10112000.0,,,,,,,,,,,,,493000.0,,309078000.0
2009-06-30,2009-08-10,10-Q,SPDR GOLD TRUST,GLD,CIK0001222333,USD,235000.0,1083000.0,,29048485000.0,,0.0,,,,0.0,,366800000.0,366800000.0,33655237000.0,5448000.0,10461000.0,0.24,,950430000.0,,,,4387000.0,881000.0,,216553000.0,-72063000.0,,,,,,,,,167760000.0,29048485000.0,,12278000.0,,0.0,,,,,,33054000.0,,2551000.0,32173000.0,1050743000.0,32173000.0,950430000.0,,87941000.0,0.0,,-4774512000.0,,,12278000.0,,,,,,,,,,,,,499000.0,,366115000.0
2009-09-30,2009-11-25,10-K,SPDR GOLD TRUST,GLD,CIK0001222333,USD,1085000.0,400000.0,,28502737000.0,,0.0,,,,0.0,,358900000.0,358900000.0,35054043000.0,24440000.0,10672000.0,2.01,,14369479000.0,,,,20082000.0,5375000.0,,11585115000.0,-858116000.0,,,,,,,35176600.0,,12157000.0,28502737000.0,,54569000.0,,0.0,,,,,,147329000.0,,11247000.0,108235000.0,4081786000.0,108235000.0,14408547000.0,,666988000.0,39068000.0,,-6563463000.0,,,54569000.0,,159000000.0,14408547000.0,,,46600000.0,4081786000.0,,,,,,2504000.0,,674214000.0
2009-12-31,2010-02-05,10-Q,SPDR GOLD TRUST,GLD,CIK0001222333,USD,440000.0,1286000.0,,30110868000.0,,0.0,,,,0.0,,371800000.0,371800000.0,40222969000.0,6544000.0,12880000.0,0.59,,2261093000.0,,,,9940000.0,2449000.0,,1614743000.0,-6612000.0,,,,,,,,,14606000.0,30110868000.0,,14833000.0,,0.0,,,,,,39738000.0,,3024000.0,37288000.0,903580000.0,37288000.0,2293608000.0,,215654000.0,32456000.0,,-10126707000.0,,,14833000.0,,,,,,,,,,,,,504000.0,,365974000.0
