end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AdditionalPaidInCapital,AmortizationOfFinancingCostsAndDiscounts,AssetRetirementObligation,AssetRetirementObligationAccretionExpense,AssetRetirementObligationCurrent,AssetRetirementObligationPeriodIncreaseDecrease,AssetRetirementObligationsNoncurrent,Assets,AssetsCurrent,CashAcquiredFromAcquisition,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,CashUninsuredAmount,ClassOfWarrantOrRightExercisePriceOfWarrantsOrRights1,ClassOfWarrantOrRightOutstanding,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ConvertibleDebtCurrent,DebtSecurities,DeferredFinanceCostsNet,DepositsAssetsCurrent,DepreciationAndAmortization,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,DueFromRelatedPartiesCurrent,EarningsPerShareBasic,EarningsPerShareBasicAndDiluted,EarningsPerShareDiluted,ExplorationExpenseMining,FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetValue,ForeignCurrencyTransactionGainLossBeforeTax,ForeignCurrencyTransactionGainLossUnrealized,GainLossOnDispositionOfAssets,GainLossOnDispositionOfProperty,GeneralAndAdministrativeExpense,GoldProductsAndServicesRevenue,ImpairmentOfInvestments,ImpairmentOfLongLivedAssetsHeldForUse,IncomeLossAttributableToParent,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncomeTaxReconciliationOtherAdjustments,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInAccruedIncomeTaxesPayable,IncreaseDecreaseInDueToRelatedParties,IncreaseDecreaseInInventories,IncreaseDecreaseInRestrictedCash,InterestExpense,InterestPaid,InventoryNet,InventoryRawMaterials,Investments,InvestmentsFairValueDisclosure,IssuanceOfStockAndWarrantsForServicesOrClaims,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LossContingencyAccrualProvision,LossContingencyEstimateOfPossibleLoss,MarketableSecurities,MineralPropertiesGross,MineralPropertiesNet,MinorityInterest,MoneyMarketFundsAtCarryingValue,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NetIncomeLossAttributableToNoncontrollingInterest,NetRealizedOrUnrealizedGainLossOnTradingSecurities,NoncurrentAssets,NoninterestExpenseDirectorsFees,NonoperatingIncomeExpense,OperatingExpenses,OperatingIncomeLoss,OtherAssets,OtherIncome,OtherNonoperatingIncomeExpense,PaymentsForDeposits,PaymentsForPurchaseOfSecuritiesOperatingActivities,PaymentsForRepurchaseOfCommonStock,PaymentsOfDebtIssuanceCosts,PaymentsOfStockIssuanceCosts,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToExploreAndDevelopOilAndGasProperties,ProceedsFromConvertibleDebt,ProceedsFromIssuanceOfCommonStock,ProceedsFromSaleOfOtherAssets,ProceedsFromSaleOfOtherAssets1,ProceedsFromSaleOfSecuritiesOperatingActivities,ProceedsFromStockOptionsExercised,ProceedsFromStockOptionsExercised,ProceedsFromWarrantExercises,ProceedsFromWarrantExercises,ProfitLoss,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,ProvisionForDoubtfulAccounts,ReceivablesNetCurrent,RelatedPartyTransactionAmountsOfTransaction,RestrictedCashAndCashEquivalentsNoncurrent,RetainedEarningsAccumulatedDeficit,ShareBasedCompensation,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedDividendRate,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedVolatilityRate,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsRiskFreeInterestRate,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableNumber,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableWeightedAverageExercisePrice,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresAndExpirationsInPeriod,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresAndExpirationsInPeriodWeightedAverageExercisePrice,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriod,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingIntrinsicValue,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingNumber,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingWeightedAverageExercisePrice,ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsExercisesInPeriodWeightedAverageExercisePrice,ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsExercisesInPeriodWeightedAverageExercisePrice,ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageExercisePrice,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockIssuedDuringPeriodSharesStockOptionsExercised,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueStockOptionsExercised,StockIssuedDuringPeriodValueTreasuryStockReissued,StockRepurchasedAndRetiredDuringPeriodShares,StockRepurchasedAndRetiredDuringPeriodValue,StockRepurchasedDuringPeriodShares,StockRepurchasedDuringPeriodValue,TradingSecuritiesCost,TradingSecuritiesRealizedGainLoss,TradingSecuritiesUnrealizedHoldingGainLoss,TreasuryStockValue,WarrantsAndRightsOutstanding,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfSharesOutstandingBasic
2007-12-31,2008-05-23,10-K,XTRA-GOLD RESOURCES CORP,XTGRF,CIK0001288770,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89533.0,,,,,,,,,,,,-1874757.0,,,,,,,,195623.0,,,,,,,,,,,,,,,2741604.0,,,,,,,,,,,,,,,,
2008-12-31,2009-03-27,10-K,XTRA-GOLD RESOURCES CORP,XTGRF,CIK0001288770,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125040.0,,,,,,,,,,,,-3231403.0,,,,,,,,156444.0,,,,,,,,,,,,,,,3002970.0,,,,,,,,,,,,,,,,
2009-12-31,2010-03-31,10-K,XTRA-GOLD RESOURCES CORP,XTGRF,CIK0001288770,USD,,,,,,,,,,,,,622670.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107390.0,,,,,,,,,,,,-1038124.0,,,,,,,,468052.0,,,,,,,,,,,,,,,3995608.0,,,,,,,,,,,,,,,,
2010-03-31,2010-05-12,10-Q,XTRA-GOLD RESOURCES CORP,XTGRF,CIK0001288770,USD,,,,,,,,,,,,,1001970.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-30,2010-08-13,10-Q,XTRA-GOLD RESOURCES CORP,XTGRF,CIK0001288770,USD,,,,,,1798.0,,,,,,,1571178.0,569208.0,,,,,,,,,,,,,,9881.0,,,,,-0.03,255362.0,,-38203.0,-21919.0,,,485724.0,,,,,,-886367.0,11238.0,,,,-84374.0,-17013.0,,,,,642.0,,,,,,,,,,,,,,,,,874201.0,-153442.0,-151551.0,-897605.0,,,,,-146638.0,,-750967.0,,10851.0,,,,,,,183442.0,,,874201.0,30000.0,,373619.0,,,,,,,,,,,,,287554.0,,,,,,,,,,,,,,,,,,,,,,,,,,51942.0,-170586.0,,,34115817.0,
2010-09-30,2010-11-12,10-Q,XTRA-GOLD RESOURCES CORP,XTGRF,CIK0001288770,USD,,,,0.0,,1797.0,,,,,,0.0,1915544.0,344366.0,,,,,,,,,,,,,,23640.0,,,,,-0.02,872154.0,,14345.0,6921.0,,0.0,370515.0,733391.0,0.0,0.0,-563501.0,,,-23938.0,,,,-335.0,1749.0,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,,,,,333701.0,0.0,10665.0,-539563.0,,,,,726746.0,,-1266309.0,,,4169.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,333701.0,0.0,,488880.0,,,,,,,,,,,,,19757.0,,,,,,,,,,,,,,,,,,,,,,,,,,34398.0,-59557.0,,,34625543.0,
2010-12-31,2011-03-31,10-K,XTRA-GOLD RESOURCES CORP,XTGRF,CIK0001288770,USD,517236.0,,26089803.0,1283.0,,7191.0,,,155395.0,13019905.0,10350617.0,0.0,10096122.0,9473452.0,,,,,0.001,250000000.0,42961179.0,42961179.0,42961.0,0.0,,0.0,0.0,114785.0,12321365.0,0.0,,,-0.09,2992932.0,,179124.0,37220.0,,0.0,1355399.0,1227394.0,25000.0,0.0,,,,,,,,284163.0,78892.0,,0.0,,220000.0,1283.0,,,,78318.0,129141.0,0.0,672631.0,13019905.0,517236.0,,84300.0,,,1713862.0,-36361.0,,10666804.0,-619197.0,-574155.0,-3016913.0,40268.0,,,,1486471.0,,-4463116.0,,,34104.0,0.0,0.0,108000.0,0.0,1455909.0,454197.0,0.0,0.0,10774804.0,30000.0,,1746805.0,,,,,-2976645.0,,735426.0,,125354.0,,220000.0,-1427764.0,411507.0,,,,,,,,,,,,,,,12347274.0,12383635.0,,,,,,,,,,170422.0,-98290.0,,,35160827.0,
2011-03-31,2011-05-12,10-Q,XTRA-GOLD RESOURCES CORP,XTGRF,CIK0001288770,USD,,,,0.0,,4000.0,,,,,,0.0,9283801.0,-812321.0,,,,,,,,,,,,,,30402.0,,,,,-0.01,1568978.0,,107247.0,3561.0,,260058.0,255345.0,1021775.0,0.0,0.0,,,,,,,,23621.0,242757.0,,0.0,,961.0,0.0,,,,,,0.0,,,,,,,,,,,37500.0,31516.0,-881337.0,-431462.0,-42342.0,,,,1380921.0,,-1854725.0,,,11350.0,0.0,0.0,0.0,0.0,,255523.0,0.0,0.0,37500.0,288000.0,,0.0,,,,,-473804.0,,,,,,,,21311.0,,,,,,,,,,,,,,,11932281.0,,,,,,,,,,,0.0,-19509.0,,,42964831.0,
2011-06-30,2011-08-11,10-Q,XTRA-GOLD RESOURCES CORP,XTGRF,CIK0001288770,USD,378345.0,,27464219.0,0.0,,4000.0,,,163395.0,12251977.0,9675881.0,0.0,9097834.0,-185967.0,,,,,0.001,250000000.0,44031229.0,44031229.0,44031.0,,,,,49164.0,14176411.0,,,,-0.03,1122471.0,,-271641.0,-36021.0,,0.0,321739.0,260904.0,0.0,0.0,,,-1423584.0,115135.0,,,,-162511.0,-231195.0,,0.0,,0.0,0.0,,,,,441131.0,0.0,541740.0,12251977.0,378345.0,,,,,877422.0,-193838.0,,1238564.0,-169273.0,-1255258.0,-1423584.0,-115135.0,,,,-45345.0,,-1493374.0,,12873.0,12873.0,0.0,0.0,0.0,0.0,,594273.0,0.0,0.0,1238564.0,0.0,,0.0,,,,,-1538719.0,,1477713.0,,136916.0,,220961.0,-1427764.0,78111.0,,,,,,,,,,,,,,,11710237.0,11904075.0,,,,,,,,,,0.0,-47481.0,,,43668909.0,
2011-09-30,2011-11-10,10-Q,XTRA-GOLD RESOURCES CORP,XTGRF,CIK0001288770,USD,410160.0,,27874069.0,0.0,,4000.0,,,167395.0,10545835.0,7896537.0,0.0,5663876.0,-3433958.0,,,,,0.001,250000000.0,44237393.0,44237393.0,44237.0,0.0,,0.0,0.0,62469.0,16191080.0,,,,-0.05,1391046.0,,-263026.0,21019.0,,0.0,374280.0,55394.0,0.0,0.0,-2014669.0,,,137344.0,,,,31814.0,-9273.0,,0.0,,0.0,0.0,,,,,2105018.0,0.0,577555.0,10545835.0,410160.0,,,,,857422.0,-331182.0,,218675.0,-55671.0,-3596962.0,-2014669.0,-137344.0,,,,-324218.0,,-1827795.0,,,-5644.0,0.0,1493809.0,0.0,0.0,,155671.0,0.0,0.0,218675.0,0.0,,0.0,,,,,-2152013.0,,1570915.0,,127643.0,,220961.0,-1427764.0,191381.0,,,,,,,,,,,,,,,9968280.0,10299462.0,,,,,,,,,,0.0,-110942.0,,,43964595.0,
