end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilities,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableRelatedPartiesCurrent,AccountsReceivableGrossCurrent,AccountsReceivableNetCurrent,AccountsReceivableRelatedPartiesCurrent,AccretionExpense,AccretionOfDiscount,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AccumulatedOtherComprehensiveIncomeLossNetOfTax,AdditionalPaidInCapital,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,Assets,AssetsCurrent,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ContributionsFromNoncontrollingInterests,ConvertibleNotesPayable,ConvertibleNotesPayableCurrent,CostOfRevenue,CurrentIncomeTaxExpenseBenefit,DebtConversionConvertedInstrumentAmount1,DebtInstrumentConvertibleBeneficialConversionFeature,DebtInstrumentConvertibleInterestExpense,DebtInstrumentUnamortizedDiscount,DebtInstrumentUnamortizedDiscountPremiumNet,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,Depreciation,DueFromOtherRelatedPartiesCurrent,DueFromRelatedPartiesCurrent,DueToRelatedPartiesCurrent,EarningsPerShareBasic,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectOfExchangeRateOnCashAndCashEquivalents,FinancingInterestExpense,ForeignCurrencyTransactionGainLossRealized,ForeignCurrencyTransactionGainLossUnrealized,ForeignCurrencyTransactionLossBeforeTax,GainsLossesOnExtinguishmentOfDebt,GrossProfit,IncomeLossAttributableToNoncontrollingInterest,IncomeLossFromContinuingOperations,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncomeTaxReconciliationNondeductibleExpense,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInAccountsReceivableRelatedParties,IncreaseDecreaseInInventories,IncreaseDecreaseInPrepaidExpense,InterestAndDebtExpense,InventoryGross,InventoryNet,InventoryValuationReserves,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LineOfCreditFacilityAmountOutstanding,LineOfCreditFacilityInterestRateAtPeriodEnd,LineOfCreditFacilityMaximumBorrowingCapacity,MachineryAndEquipmentGross,MinorityInterest,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NetIncomeLossAttributableToNoncontrollingInterest,NetIncomeLossAttributableToParentDiluted,NetIncomeLossAttributableToRedeemableNoncontrollingInterest,NoncontrollingInterestIncreaseFromBusinessCombination,OperatingExpenses,OperatingIncomeLoss,OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationGainLossArisingDuringPeriodNetOfTax,OtherComprehensiveIncomeLossBeforeTaxPeriodIncreaseDecrease,OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentBeforeTax,OtherComprehensiveIncomeLossNetOfTax,OtherComprehensiveIncomeLossNetOfTaxPeriodIncreaseDecrease,OtherExpenses,PreferredStockValue,ProceedsFromConvertibleDebt,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfBankOverdrafts,ProceedsFromRepaymentsOfRelatedPartyDebt,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentOther,ProvisionForDoubtfulAccounts,RepaymentsOfLongTermLinesOfCredit,RepaymentsOfRelatedPartyDebt,RetainedEarningsAccumulatedDeficit,SalesReturnsAndAllowancesGoods,SalesRevenueNet,SellingGeneralAndAdministrativeExpense,ShareBasedCompensation,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockIssued1,StockIssuedDuringPeriodValueEmployeeBenefitPlan,TechnologyServicesCosts,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfSharesOutstandingBasic
2010-07-31,2010-12-14,10-K,"VITAL PRODUCTS, INC.",XCPL,CIK0001331275,USD,,,,,,,,,,,,,,,,395.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35000.0,0.0175,225000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-147153.0,,,,,
2010-10-31,2011-01-20,10-Q,"VITAL PRODUCTS, INC.",XCPL,CIK0001331275,USD,,,,,,,,,,,,,,,,0.0,-395.0,,,,,,,,,328833.0,,,29546.0,,,,,,,,,,,-0.01,,,-49905.0,2351.0,2351.0,1256.0,0.0,72361.0,-16896.0,,,,,122735.0,,-59543.0,,-10725.0,2433.0,47849.0,,,,,,,,,,,,13722.0,-15373.0,-115771.0,-16896.0,-98875.0,,,140578.0,-68217.0,-3252.0,-102127.0,,,,,,12000.0,14097.0,21662.0,,,,,-34037.0,0.0,,,401194.0,126051.0,,,,1921.0,,,,7886654.0
2011-01-31,2011-03-22,10-Q,"VITAL PRODUCTS, INC.",XCPL,CIK0001331275,USD,,,,,,,,,,,,,,,,2002.0,,,,,,,,,,254669.0,,,,,,,,,,1361.0,,,,-0.55,,,-41760.0,,3018.0,,10000.0,110999.0,,,,,,,,,,,,,,,,,,,,,,,,,,-20885.0,-37757.0,-58642.0,,,,7857.0,-2737.0,,,,-61379.0,103142.0,,,,,,,,,,,,,365668.0,101822.0,,,,,,,,107409.0
2011-04-30,2011-06-14,10-Q,"VITAL PRODUCTS, INC.",XCPL,CIK0001331275,USD,,,,,,,,,,,,,,,,8603.0,,,,,,,,,,235709.0,,,,,,,,,,399.0,,,,-0.15,,,-31378.0,13297.0,,,4000.0,119192.0,,-63369.0,,,,,,,,,,,,,,,,,,,,,,,,-40690.0,22679.0,,,,,-49288.0,,,-14644.0,-55334.0,,168480.0,,,,,,,,,,,,,354901.0,167789.0,,,,,,,,269404.0
2011-07-31,2011-11-14,10-K,"VITAL PRODUCTS, INC.",XCPL,CIK0001331275,USD,69904.0,69904.0,173224.0,9989.0,9989.0,0.0,33902.0,157749.0,577234.0,32853.0,3656482.0,40000.0,20883.0,20883.0,3869.0,3867.0,3474.0,0.0001,1000000000.0,298478.0,298478.0,30.0,0.0,298026.0,174909.0,846635.0,0.0,29546.0,29546.0,25844.0,87949.0,68394.0,0.0,1088217.0,1088217.0,3117.0,2453.0,2453.0,174909.0,-2.17,0.346,136.0,157749.0,43360.0,,,16095.0,302989.0,,-376169.0,83928.0,-130154.0,46226.0,36641.0,,35429.0,3563.0,10722.0,,,4572.0,4572.0,11518.0,716063.0,20883.0,716063.0,,,,342153.0,0.0,98733.0,-95395.0,-374111.0,-2058.0,,,,580864.0,-277875.0,,,-37745.0,-411856.0,,,400.0,108200.0,,-9467.0,85815.0,577234.0,235081.0,7193.0,,,-4384945.0,,1149624.0,562821.0,0.0,-695180.0,-695180.0,29546.0,,14926.0,172624.0,172624.0
2011-10-31,2011-12-08,10-Q,"VITAL PRODUCTS, INC.",XCPL,CIK0001331275,USD,,60768.0,173773.0,5421.0,,,,35456.0,,60811.0,3626866.0,,21434.0,21434.0,5577.0,5577.0,1708.0,0.0001,1000000000.0,296456655.0,,29646.0,,,329088.0,2754.0,,,0.0,,,53310.0,,,,,,2351.0,147613.0,0.0,,-436.0,-35456.0,-12180.0,-12180.0,-436.0,4800.0,1880.0,0.0,-63086.0,,,,1446.0,,4110.0,,-3662.0,0.0,35456.0,8085.0,,,751742.0,21434.0,751742.0,,,,,,20500.0,-18356.0,-63086.0,0.0,-63086.0,,,22130.0,-20250.0,27958.0,-35128.0,27958.0,-35128.0,,,,0.0,0.0,0.0,-20000.0,,,,0.0,-20000.0,-4448031.0,,4634.0,22130.0,,-730308.0,,0.0,,,,296456555.0
2012-01-31,2012-03-16,10-Q,"VITAL PRODUCTS, INC.",XCPL,CIK0001331275,USD,,64409.0,181691.0,,9118.0,,,,,64541.0,3656482.0,,14814.0,14814.0,44.0,44.0,,0.0001,1000000000.0,30.0,,30.0,,,331470.0,4677.0,,,,,,82098.0,,,,0.0,,2337.0,147413.0,-0.11,,,-37592.0,-2795.0,-2795.0,,35600.0,1.114,,-32102.0,,,,,,,,,,,,3315.0,,773494.0,14814.0,773494.0,,,,,,,,-32102.0,0.0,-32102.0,,,28429.0,-27315.0,3730.0,,3.73,-28372.0,-28372.0,28429.0,,,,,,,,,,,-4480133.0,,5791.0,28429.0,,-758680.0,,,,,,296457.0
2012-04-30,2012-06-14,10-Q,"VITAL PRODUCTS, INC.",XCPL,CIK0001331275,USD,117514.0,195003.0,,,40301.0,,,,,47181.0,3803744.0,,52782.0,52782.0,200.0,200.0,,0.0001,1000000000.0,579296457.0,,57930.0,,229607.0,135932.0,38950.0,,,,,,,,,,0.0,,,0.0,0.0,,,-109288.0,6694.0,,,27528.0,4162.0,,-120404.0,,,,,,,,,,,,12281.0,,743264.0,52782.0,743264.0,,,,,858.0,,,-121062.0,-658.0,,,,49500.0,-45338.0,,,-17360.0,-138422.0,,49500.0,,,,,,,,,,,-4601195.0,,43112.0,49500.0,,-691340.0,-690682.0,,,,,102385345.0
2012-07-31,2012-11-02,10-K,"VITAL PRODUCTS, INC.",XCPL,CIK0001331275,USD,,324594.0,195001.0,,0.0,128320.0,42909.0,216627.0,,47181.0,3803744.0,100000.0,244583.0,244583.0,1050.0,1050.0,-2819.0,0.0001,1000000000.0,579296457.0,579298478.0,57930.0,200.0,244403.0,,505841.0,0.0,95800.0,88763.0,23773.0,78088.0,,0.0,1133548.0,1133548.0,0.0,0.0,,135930.0,0.0,0.346,14328.0,214889.0,-8279.0,,,85688.0,28458.0,,-268495.0,45331.0,-92899.0,47568.0,276467.0,,-118331.0,2453.0,-110641.0,,,,115213.0,0.0,987968.0,244583.0,987968.0,,,,,-24049.0,86240.0,-103387.0,-244246.0,-24249.0,,,,159473.0,-131015.0,,,14328.0,-229918.0,,,1000.0,0.0,,0.0,-38979.0,,,0.0,,,-4629191.0,2000.0,534299.0,159473.0,21200.0,-719336.0,-743385.0,95800.0,21200.0,0.0,182416675.0,182416675.0
2012-10-31,2012-12-17,10-Q,"VITAL PRODUCTS, INC.",XCPL,CIK0001331275,USD,,308966.0,191124.0,,,103554.0,63270.0,33000.0,,47181.0,3803744.0,,247686.0,247686.0,20072.0,20072.0,19022.0,0.0001,1000000000.0,579296457.0,,57930.0,,277403.0,,484618.0,,,,36412.0,,,,,,,,,142228.0,0.0,,,-33000.0,7258.0,,,,69840.0,,-28883.0,,,,-14949.0,,24766.0,,-8847.0,,,,124060.0,,1019954.0,251686.0,1019954.0,,,,,-10431.0,16193.0,2829.0,-42501.0,-13618.0,,,,72981.0,-3141.0,,,,-42501.0,,,,,9000.0,,,,,,,,-4671692.0,5000.0,554458.0,72981.0,,-761837.0,-772268.0,,,,,579296457.0
2013-01-31,2013-03-18,10-Q,"VITAL PRODUCTS, INC.",XCPL,CIK0001331275,USD,,377710.0,191621.0,,,150471.0,,,,47181.0,3803744.0,,291199.0,291199.0,2757.0,2757.0,,0.0001,1000000000.0,579296457.0,,57930.0,,288059.0,,459995.0,,,,,,,,,,,,,142574.0,0.0,,,-34176.0,-931.0,,,23520.0,75099.0,,-34640.0,,,,,,,,,,,,137971.0,,1098107.0,291199.0,1098107.0,,,,,-14793.0,,,-30278.0,4362.0,,,,98152.0,-23053.0,,,,-30278.0,,,,,,,,,,,,,-4701970.0,,535094.0,98152.0,,-792115.0,-806908.0,,,,,579296457.0
2013-04-30,2013-06-14,10-Q,"VITAL PRODUCTS, INC.",XCPL,CIK0001331275,USD,,467570.0,188466.0,,,187374.0,,,,47181.0,3803744.0,,384284.0,384284.0,9604.0,9604.0,,0.0001,1000000000.0,579296457.0,,57930.0,,303615.0,,564344.0,,,,,66324.0,,,,,,,,140375.0,0.0,,,-30916.0,5905.0,,,15360.0,64362.0,,-7977.0,,,,,,,,,,,,187306.0,,1199169.0,384284.0,1199169.0,,,,,-15914.0,,,-6856.0,1121.0,,,,62688.0,1674.0,,,,-6856.0,,,,,,,,,,,,,-4708826.0,,628706.0,62688.0,,-798971.0,-814885.0,,,,,579296457.0
