end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableCurrentAndNoncurrent,AdditionalPaidInCapitalCommonStock,AssetManagementCosts,Assets,AssetsHeldInTrust,AssetsUnderManagementCarryingAmount,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CashEquivalentsAtCarryingValue,CashPeriodIncreaseDecrease,CashSegregatedUnderCommodityExchangeActRegulation,CommissionsPayableToBrokerDealersAndClearingOrganizations,Deposits,DepreciationAmortizationAndAccretionNet,DerivativeFairValueOfDerivativeAssetAmountOffsetAgainstCollateral,DerivativeFairValueOfDerivativeLiabilityAmountOffsetAgainstCollateral,DistributedEarnings,DividendIncomeOperating,DividendsReceivable,DueFromAffiliates,DueToRelatedPartiesCurrentAndNoncurrent,EarningsPerShareBasic,FinancialInstrumentsOwnedAtFairValue,FinancialInstrumentsOwnedDerivativesAndOtherContractualAgreementsAtFairValue,FinancialInstrumentsOwnedUSGovernmentAndAgencyObligationsAtFairValue,FloorBrokerageExchangeAndClearanceFees,GainLossOnInvestments,GainLossOnSaleOfDebtInvestments,GainLossOnSaleOfDerivatives,GainLossOnSaleOfInvestments,GainLossOnSaleOfSecuritiesNet,GeneralPartnersCapitalAccount,GeneralPartnersCapitalAccountUnitsOutstanding,GoodFaithAndMarginDepositsWithBrokerDealers,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInDividendsReceivable,IncreaseDecreaseInOperatingCapital,IncreaseDecreaseInPayablesToBrokerDealers,InterestAndDividendIncomeOperating,InterestExpense,InterestIncomeExpenseNet,InterestIncomeOperating,InterestPaid,InterestPaidNet,InvestmentCompanyContractualFeeWaived,InvestmentCompanyExpenseRatioIncludingVoluntaryFeeWaiver,InvestmentCompanyGainLossOnInvestmentPerShare,InvestmentCompanyGeneralPartnerAdvisoryService,InvestmentCompanyInvestmentIncomeLossFromOperationsPerShare,InvestmentCompanyInvestmentIncomeLossPerShare,InvestmentCompanyInvestmentIncomeLossRatio,InvestmentCompanyRealizedAndUnrealizedGainLossOnInvestmentAndForeignCurrency,InvestmentCompanyTaxReturnOfCapitalDistributionPerShare,InvestmentCompanyTaxReturnOfCapitalDistributionPerShare,InvestmentCompanyTotalReturn,InvestmentIncomeNet,InvestmentOwnedAtCost,InvestmentOwnedAtFairValue,InvestmentOwnedPercentOfNetAssets,InvestmentOwnedUnderlyingFaceAmountAtMarketValue,InvestmentOwnedUnrecognizedUnrealizedAppreciation,InvestmentOwnedUnrecognizedUnrealizedAppreciationDepreciationNet,InvestmentsInAndAdvancesToAffiliatesAtFairValue,Liabilities,LiabilitiesAndStockholdersEquity,LimitedPartnersCapitalAccount,LimitedPartnersCapitalAccountUnitsOutstanding,ManagementFeePayable,MarketableSecuritiesRealizedGainLoss,MarketableSecuritiesUnrealizedGainLoss,MinorityInterestDecreaseFromRedemptions,NetAssetValuePerShare,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,NetIncomeLossAttributableToNoncontrollingInterest,OperatingExpenses,OperatingIncomeLoss,OtherInvestmentsAndSecuritiesAtCost,OtherPayablesToBrokerDealersAndClearingOrganizations,PartnersCapitalAccountContributions,PartnersCapitalAccountReturnOfCapital,PartnersCapitalDistributionAmountPerShare,PayablesToBrokerDealersAndClearingOrganizations,PaymentsForProceedsFromInvestments,PaymentsForPurchaseOfSecuritiesOperatingActivities,PaymentsForRepurchaseOfCommonStock,PaymentsForRepurchaseOfRedeemableNoncontrollingInterest,PaymentsOfDividends,PaymentsToAcquireInvestments,PaymentsToAcquireMarketableSecurities,PaymentsToMinorityShareholders,ProceedsFromIssuanceOfCommonStock,ProceedsFromSaleAndMaturityOfMarketableSecurities,ProceedsFromSaleMaturityAndCollectionsOfInvestments,ProceedsFromSaleOfSecuritiesOperatingActivities,ProfessionalFees,ProfitLoss,RealizedGainLossOnMarketableSecuritiesCostMethodInvestmentsAndOtherInvestments,RealizedInvestmentGainsLosses,ReceivablesFromBrokersDealersAndClearingOrganizations,ReceivablesFromClearingOrganizations,RestrictedCashAndCashEquivalents,RestrictedCashAndInvestments,RestrictedInvestments,RestrictedInvestmentsPercentOfNetAssets,RetainedEarningsAccumulatedDeficit,SecuritiesPurchasedUnderAgreementsToResellLiability,SharesIssued,SharesOutstanding,StockholdersEquity,StockholdersEquityPeriodIncreaseDecrease,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodSharesPeriodIncreaseDecrease,StockIssuedDuringPeriodValueNewIssues,StockRedeemedOrCalledDuringPeriodShares,StockRedeemedOrCalledDuringPeriodValue,TaxBasisOfInvestmentsUnrealizedAppreciationDepreciationNet,TemporaryEquityValueExcludingAdditionalPaidInCapital,UnrealizedGainLossOnDerivatives,UnrealizedGainLossOnInvestments,UnrealizedGainLossOnMarketableSecuritiesCostMethodInvestmentsAndOtherInvestments,UnrealizedGainLossOnSecurities,UnrealizedGainOnSecurities,UnrealizedLossOnSecurities,MarketableSecuritiesRealizedGainLossExcludingOtherThanTemporaryImpairments,MarketableSecuritiesUnrealizedGainLossExcludingOtherThanTemporaryImpairments
2008-12-31,2009-03-02,10-K,INVESCO DB US DOLLAR INDEX BEARISH FUND,UDN,CIK0001383149,USD,,,,,,,,67132379.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-12-31,2010-02-24,10-K,INVESCO DB US DOLLAR INDEX BEARISH FUND,UDN,CIK0001383149,USD,,,1383499.0,,,,,33574291.0,-33558088.0,,,,,,,,-357150.0,,,,,,,,,,,,146851.0,15241864.0,8887.0,27209810.0,,8887.0,,,,104162.0,,204.0,,,,,,,357151.0,,,,,,,,,,,,,,-1173199.0,,,,,,,,,,,,,,,,,138279630.0,,-171837718.0,,,56.0,1530350.0,,,,,,,,,,215530858.0,,,,1166616711.0,,348575658.0,973994291.0,,,,14068665.0,,27218697.0,,,,,,,,,,,,,,,,,,,,-11979830.0,-11976833.0,,2997.0,,,,
2010-06-30,2010-08-04,10-Q,INVESCO DB US DOLLAR INDEX BEARISH FUND,UDN,CIK0001383149,USD,,,349012.0,,,,,5479017.0,,,,,,,,,,,,,,,,,,,,,25767.0,-11353040.0,,-16218653.0,,1720.0,,,,,,,,,,,,,60855.0,,,,,,,,,,,,,,-313924.0,,,,,,,,,,,,,,,,,,,,,,-66.0,374779.0,,,,,,,,,,,,,,,,,,,,,-11666964.0,,-16216933.0,,,,,,,,,,,,,,,,,,,,4863110.0,4863893.0,,783.0,,,,
2010-09-30,2010-11-08,10-Q,INVESCO DB US DOLLAR INDEX BEARISH FUND,UDN,CIK0001383149,USD,,,300261.0,,,,,14032370.0,,,,,,,,,,,,,,,,,,,,,19018.0,13810113.0,,9144857.0,,115.0,,,,,,,,,,,,,50974.0,,,,,,,,,,,,,,-268305.0,,,,,,,,,,,,,,,,,,,,,,87.0,319279.0,,,,,,,,,,,,,,,,,,,,,13541808.0,,9144972.0,,,,,,,,,,,,,,,,,,,,4657645.0,4665141.0,,7496.0,,,,
2010-12-31,2011-03-01,10-K,INVESCO DB US DOLLAR INDEX BEARISH FUND,UDN,CIK0001383149,USD,98614.0,148817426.0,1424186.0,151574112.0,,,,7442536.0,-26131755.0,,,,,,5089.0,,-202712.0,,,,,,,,,,2155588.0,141975988.0,99884.0,-6509551.0,4619.0,-16210181.0,,4619.0,1082.0,,151574112.0,-57133.0,,3334.0,,,,,,,202416.0,,,,,,,,,,,,,,-1321654.0,,,,,,,,103703.0,151574112.0,,,,,,1082.0,,-160563310.0,,134431555.0,,-7831184.0,-21.0,1524070.0,,,,,,,,,,283976186.0,1082.0,,,697769868.0,1082.0,123413958.0,849989769.0,,,,-7831205.0,,-16205562.0,,,,,,,2651901.0,,5600000.0,5600000.0,151470409.0,-160562228.0,4800000.0,-6000000.0,123413958.0,10800000.0,283976186.0,,,9692753.0,9696011.0,,3258.0,2155588.0,,,
2011-03-31,2011-05-09,10-Q,INVESCO DB US DOLLAR INDEX BEARISH FUND,UDN,CIK0001383149,USD,,,280754.0,,,,,19804027.0,12361491.0,,,,,,,,-46878.0,,,,,,,,,,,,18717.0,6406005.0,93.0,6400199.0,,93.0,,,,-1387.0,,2230.0,,,,,,,46878.0,,,,,,,,,,,,,,-252593.0,,,,,,,,,,,,,,,,,220570.0,,12140921.0,,,,299471.0,,,,,,,,,,5446300.0,,,,135959832.0,,5666870.0,141999182.0,,,,6153412.0,,6400292.0,,,,,,,,,,,,,,,,,,,,2222.0,5713.0,,3491.0,,,,
2011-06-30,2011-08-05,10-Q,INVESCO DB US DOLLAR INDEX BEARISH FUND,UDN,CIK0001383149,USD,97278.0,143508528.0,306150.0,155550309.0,,,,21415818.0,,,,,,,2018.0,,,,,,,,,,0.6,,135973.0,133998518.0,15186.0,3427687.0,,5453095.0,,1056.0,1152.0,,155550309.0,,,,,,,,,,29739.0,,,,,,,,,,,,,,-291597.0,,,,,,,,99296.0,155550309.0,,,,,,,,,,,,,,321336.0,,,,,,,,,,,,,,,,,,,,,3136090.0,,5454151.0,,,,,,,11941333.0,,5400000.0,5400000.0,155451013.0,-5529468.0,1000000.0,-200000.0,28969688.0,1200000.0,34499156.0,,,-2021837.0,-2026464.0,,-4627.0,,,,
2011-09-30,2011-11-07,10-Q,INVESCO DB US DOLLAR INDEX BEARISH FUND,UDN,CIK0001383149,USD,84619.0,121118528.0,278443.0,125424435.0,,,,16944017.0,,,,,,,967.0,,,,,,,,,,-1.54,,-2516878.0,110997296.0,25563.0,-7430557.0,,-4774219.0,,2129.0,1090.0,,125424435.0,,,,,,,,,,12399.0,,,,,,,,,,,,,,-291607.0,,,,,,,,85586.0,125424435.0,,,,,,,,,,,,,,304006.0,,110996265.0,,,,,,,,,,,,,,,,,,,-7722164.0,,-4772090.0,,,,,,,4219231.0,,4600000.0,4600000.0,125338849.0,-22390000.0,3200000.0,-800000.0,88921542.0,4000000.0,111311542.0,,,-2652851.0,-2658467.0,,-5616.0,,,,
2011-12-31,2012-02-28,10-K,INVESCO DB US DOLLAR INDEX BEARISH FUND,UDN,CIK0001383149,USD,68624.0,99488230.0,1087604.0,102224263.0,,,,1577141.0,-5865395.0,,,,,,2123.0,,-92578.0,,,0.0,,,,,,,650012.0,99997110.0,73742.0,1081071.0,3928.0,2591888.0,,3928.0,1075.0,,102224263.0,-29990.0,,-2966.0,,,,,,,92578.0,,,,,,,,,,,,,,-1068768.0,,,,,,,,70747.0,102224263.0,,,,,,,,-49329196.0,,43463801.0,,12303.0,,1161346.0,,,,,,,,,,178464890.0,,,,587931895.0,,129135694.0,629998110.0,,,,12303.0,,2595816.0,,,,,3016440.0,,2664211.0,,3800000.0,3800000.0,102153516.0,-49329196.0,4600000.0,-1800000.0,129135694.0,6400000.0,178464890.0,,,-1505576.0,-1514745.0,,-9169.0,650012.0,,,
2012-03-31,2012-05-09,10-Q,INVESCO DB US DOLLAR INDEX BEARISH FUND,UDN,CIK0001383149,USD,58750.0,88637296.0,180981.0,93332157.0,,,,19500447.0,17923306.0,,,,,,3582.0,,-3742.0,,,0.0,,,,,0.55,,1840417.0,71991293.0,18566.0,2163070.0,-508.0,967513.0,,-508.0,1097.0,,93332157.0,-9874.0,,1459.0,,,,,,,3720.0,,,,,,,,,,,,,,-195827.0,,,,,,,,62332.0,93332157.0,,,,,,,,-10850934.0,,28774240.0,,1967243.0,,199547.0,,,,,,,,,,32355908.0,,,,71984543.0,,21504974.0,99999254.0,,,,1967243.0,,967005.0,,,,,,,4631432.0,,3400000.0,3400000.0,93269825.0,-10850934.0,800000.0,-400000.0,21504974.0,1200000.0,32355908.0,,,1190405.0,1196065.0,,5660.0,,,,
