end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableRelatedPartiesCurrentAndNoncurrent,AccountsReceivableRelatedParties,AccruedFeesAndOtherRevenueReceivable,AccruedProfessionalFeesCurrentAndNoncurrent,AssetManagementCosts,Assets,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CommissionsPayableToBrokerDealersAndClearingOrganizations,DebtInstrumentCollateralAmount,Deposits,DepositsMoneyMarketDeposits,DividendIncomeOperating,DividendsReceivable,DueFromOfficersOrStockholders,DueToCorrespondentBrokers,DueToOfficersOrStockholdersCurrentAndNoncurrent,DueToRelatedPartiesCurrentAndNoncurrent,FloorBrokerageExchangeAndClearanceFees,GainLossOnSaleOfInvestments,GeneralPartnersCapitalAccount,IncreaseDecreaseDueFromOfficersAndStockholders,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInAccruedInterestReceivableNet,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInDividendsReceivable,IncreaseDecreaseInDueToOfficersAndStockholders,IncreaseDecreaseInFinancialInstrumentsUsedInOperatingActivities,IncreaseDecreaseInOtherAccountsPayable,IncreaseDecreaseInOtherOperatingAssets,IncreaseDecreaseInOtherOperatingLiabilities,IncreaseDecreaseInPayablesToBrokerDealers,IncreaseDecreaseInPrepaidExpense,IncreaseDecreaseInPrepaidInsurance,IncreaseDecreaseInTradingLiabilities,InterestIncomeOperating,InterestReceivable,InvestmentOwnedUnderlyingFaceAmountAtMarketValue,Liabilities,LiabilitiesAndStockholdersEquity,LicenseCosts,LimitedPartnersCapitalAccount,LimitedPartnersCapitalAccountUnitsOutstanding,LitigationSettlementInterest,LossContingencyDamagesAwardedValue,LossContingencyDamagesPaidValue,ManagementFeeExpense,ManagementFeePayable,MarketableSecuritiesRealizedGainLoss,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,NetIncomeLossNetOfTaxPerOutstandingLimitedPartnershipUnitDiluted,NetIncomeLossPerOutstandingLimitedPartnershipUnit,NetIncomeLossPerOutstandingLimitedPartnershipUnit,NetIncomeLossPerOutstandingLimitedPartnershipUnitBasicNetOfTax,NetIncomeLossPerOutstandingLimitedPartnershipUnitDiluted,NetIncomeLossPerOutstandingLimitedPartnershipUnitDiluted,NoninterestExpenseDirectorsFees,NoninterestExpenseTransferAgentAndCustodianFees,OperatingExpenses,OtherAssets,OtherExpenses,OtherGeneralExpense,OtherIncome,OtherLiabilities,PartnersCapital,PartnersCapitalAccountContributions,PartnersCapitalAccountRedemptions,PartnersCapitalAccountUnitsContributed,PartnersCapitalAccountUnitsRedeemed,PrepaidExpenseCurrentAndNoncurrent,PrepaidInsurance,ProceedsFromPartnershipContribution,ProfessionalFees,ReceivableFromShareholdersOrAffiliatesForIssuanceOfCapitalStock,RestrictedCashAndCashEquivalents,RestrictedCashAndInvestmentsCurrent,Revenues,TradingLiabilities,UnrealizedGainLossOnDerivativesAndCommodityContracts,UnrealizedGainLossOnInvestments,WeightedAverageLimitedPartnershipUnitsOutstanding
2008-12-31,2009-03-31,10-K,"United States Gasoline Fund, LP",UGA,CIK0001396878,USD,,,,,,,,11691510.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20209419.0,,,,,,,,,,,,,,,,
2009-12-31,2010-03-16,10-K,"United States Gasoline Fund, LP",UGA,CIK0001396878,USD,,,,,376611.0,,,61883040.0,50191530.0,,,,,,,,90303.0,,,,,,74584.0,28570005.0,,130007.0,,,,-1383.0,,-5760280.0,199456.0,197365.0,3513.0,1300.0,,,,4378.0,,,,,,,,,,,,,,16396318.0,,33795212.0,,32580003.0,,16.2,,,15.72,,,,,,20816.0,,29000.0,,69185740.0,80148752.0,63752434.0,2900000.0,2000000.0,,,80148752.0,350250.0,,,,33145909.0,,4452223.0,4452223.0,2072603.0
2010-06-30,2010-08-09,10-Q,"United States Gasoline Fund, LP",UGA,CIK0001396878,USD,,,,,130042.0,,,66684909.0,,,,,,,,,8835.0,,,,,,21796.0,-8276155.0,,,,,,,,,,,,,,,,834.0,,,,,,,,,,,,,,,,,,-11334621.0,,-4.27,,,-4.63,,,,204959.0,,20610.0,,6000.0,,,,,,,,,,89350.0,,,,-11129662.0,,,-2869176.0,2446154.0
2010-09-30,2010-11-09,10-Q,"United States Gasoline Fund, LP",UGA,CIK0001396878,USD,,,,,103692.0,,,53092768.0,,,,,,,,,10397.0,,,,,,17100.0,-5156031.0,,,,,,,,,,,,,,,,418.0,,,,,,,,,,,,,,,,,,1157519.0,,0.32,,,0.56,,,,155468.0,,47954.0,,5000.0,,,,,,,,,,,,,,1312987.0,,,6453203.0,2071739.0
2010-12-31,2011-03-14,10-K,"United States Gasoline Fund, LP",UGA,CIK0001396878,USD,,,,,430968.0,67708353.0,2568893.0,61356629.0,-526411.0,,,,2185.0,,,,29792.0,1556.0,266884.0,,33078.0,,67294.0,9508139.0,,10529.0,,,,-1312.0,,1214332.0,24376.0,51610.0,-789.0,-515.0,,,,1940.0,,,413769.0,67708353.0,17153.0,67294584.0,1600000.0,,,,,,,-8177299.0,,7650888.0,,6286143.0,,5.65,,,3.1,,,,918084.0,248975.0,45196.0,280000.0,16000.0,3880.0,67294584.0,40505135.0,48682434.0,1100000.0,1400000.0,,,40505135.0,374626.0,,,,6937343.0,,-2618528.0,-2618528.0,2026027.0
2011-03-31,2011-05-10,10-Q,"United States Gasoline Fund, LP",UGA,CIK0001396878,USD,,,,,146832.0,,,134270171.0,72913542.0,,,,,,,,6264.0,,,,,,20949.0,15642359.0,,-205042.0,,,,1396.0,,11970044.0,-276076.0,1234.0,2742.0,1780.0,,,,643.0,,,,,,,,,,,,,,69469023.0,,3444519.0,,19599195.0,,8.38,,,9.01,,,,277898.0,,11567.0,,13000.0,,,,,,,,,69469023.0,98550.0,,,,,,4152985.0,4152985.0,2174444.0
2011-06-30,2011-08-09,10-Q,"United States Gasoline Fund, LP",UGA,CIK0001396878,USD,,,,,232951.0,140505114.0,16767925.0,120113401.0,,,,,3765.0,,,,3519.0,956.0,103249.0,,67348.0,5007974.0,24920.0,2534107.0,,,,,,,,,,,,,,,,979.0,,,5289051.0,140505114.0,,135216063.0,2700000.0,,,,,,,,,,,-1931254.0,,-0.36,,,-0.63,,,,373791.0,247657.0,16275.0,,9000.0,11737.0,135216063.0,,,,,,,,99645.0,,,,-1598870.0,32.0,,-4146475.0,3057143.0
2011-09-30,2011-11-09,10-Q,"United States Gasoline Fund, LP",UGA,CIK0001396878,USD,,,,,178606.0,101399029.0,22026483.0,86612466.0,,,,,3315.0,,,,1946.0,461.0,104053.0,,53342.0,13817503.0,20507.0,2779514.0,,,,,,,,,,,,,,,,1967.0,,,14123528.0,101399029.0,,87275501.0,1900000.0,,,,,,,,,,,-8328316.0,,-4.15,,,-3.54,,,,254872.0,243765.0,14196.0,,2450.0,249368.0,87275501.0,,,,,,,,41563.0,,,,-8074248.0,,,-10860125.0,2354348.0
2011-12-31,2012-03-08,10-K,"United States Gasoline Fund, LP",UGA,CIK0001396878,USD,,,,,675949.0,77673016.0,4461674.0,68137372.0,6780743.0,,,,3315.0,,35117696.0,37481350.0,13520.0,692.0,104053.0,,38635.0,,81427.0,13406173.0,,-162831.0,,26.0,,-864.0,,1892781.0,-134868.0,-9501.0,297.0,1130.0,,,33.0,5649.0,26.0,,285918.0,77673016.0,26907.0,77387098.0,1600000.0,,,,,,,-3879478.0,-3879478.0,10660221.0,10660221.0,18604359.0,6.07,8.75,,6.31,6.07,,,,1189263.0,239474.0,50778.0,250000.0,26200.0,4177.0,77387098.0,90155234.0,-94034712.0,1900000.0,1900000.0,,,90155234.0,239758.0,,4461674.0,,14915851.0,33.0,1464309.0,1464309.0,2303014.0
2012-03-31,2012-05-10,10-Q,"United States Gasoline Fund, LP",UGA,CIK0001396878,USD,,,,,172555.0,165152262.0,,145508214.0,77370842.0,,,,3388.0,,,,2463.0,1111.0,17456.0,,85647.0,,20097.0,22202880.0,,-86597.0,,76.0,,419.0,,17183315.0,-180350.0,6194.0,5689.0,73.0,,,-33.0,4523.0,102.0,,158309.0,165152262.0,4314.0,164993953.0,2900000.0,,,,,,,72632604.0,,4738238.0,,14974251.0,,8.52,8.52,8.52,7.1,7.1,,,263318.0,245668.0,8983.0,250000.0,5250.0,9866.0,164993953.0,81310937.0,8678333.0,1450000.0,150000.0,,,81310937.0,59408.0,,21644989.0,,,,-6995003.0,-6995003.0,2109341.0
2012-06-30,2012-08-09,10-Q,"United States Gasoline Fund, LP",UGA,CIK0001396878,USD,,,,,158288.0,80296684.0,11370482.0,68460710.0,,,,,2348.0,,32343458.0,47487734.0,4724.0,1463.0,37425.0,,38377.0,,17288.0,-18707753.0,,,,,,,,,,,,,,,,2173.0,,,165376.0,80296684.0,,80131308.0,1650000.0,,,,,,,,,,,-16473015.0,-8.16,-8.33,,-8.33,-8.16,,,,246651.0,240859.0,9391.0,,3500.0,5834.0,80131308.0,,,,,,,,59409.0,,,,,,,2451023.0,2018681.0
2012-09-30,2012-11-09,10-Q,"United States Gasoline Fund, LP",UGA,CIK0001396878,USD,,,,,121989.0,73010345.0,12014097.0,60947068.0,,,,,2348.0,,25470080.0,47491085.0,2968.0,1080.0,75028.0,,36018.0,5977257.0,14218.0,18656454.0,,,,,,,,,,,,,,,,3125.0,22.0,,6205942.0,73010345.0,,66804403.0,1100000.0,,,,,,,,,,,18039587.0,12.5,12.17,,12.17,12.5,,,,215972.0,233996.0,7711.0,,2100.0,4100.0,66804403.0,,,,,,,,67402.0,,,,,,,-446691.0,1442935.0
