end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableCurrent,AccountsPayableRelatedParties,AdditionalPaidInCapital,AssetImpairmentCharges,Assets,AssetsCurrent,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashEquivalentsAtCarryingValue,CashPeriodIncreaseDecrease,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesSubscribedButUnissued,CommonStockSharesSubscribedButUnissuedValue,CommonStockValue,CostsAndExpenses,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,ExplorationAbandonmentAndImpairmentExpense,ExplorationExpense,ExplorationExpenseMining,GeneralAndAdministrativeExpense,ImpairmentOfOilAndGasProperties,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInNotesPayableCurrent,IncreaseDecreaseInOtherDeposits,IncreaseDecreaseInOtherLoans,LegalFees,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LoansPayable,LoansPayableCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NoncashContributionExpense,NotesPayableCurrent,OfficersCompensation,OperatingExpenses,OtherNoncashExpense,PaymentsToAcquireMineralRights,ProceedsFromIssuanceOfCommonStock,ProceedsFromLoans,ProceedsFromOtherDeposits,ProceedsFromRelatedPartyDebt,ProfessionalFees,StockholdersEquity,StockIssued1,StockIssuedDuringPeriodValueAcquisitions,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueOther,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfShareOutstandingBasicAndDiluted
2008-05-31,2008-08-11,10-K,PORTAGE RESOURCES INC.,OMHI,CIK0001403674,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-64586.0,,,,,,,,,,,,-68542.0,,,,,,
2009-05-31,2009-07-06,10-K,PORTAGE RESOURCES INC.,OMHI,CIK0001403674,USD,,,,,,,,,,6125.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-30604.0,,,,,,,,,,,,99146.0,,,,,,
2010-05-31,2010-08-31,10-K,PORTAGE RESOURCES INC.,OMHI,CIK0001403674,USD,24059.0,,-4045950.0,,,832.0,832.0,832.0,,832.0,-5293.0,0.001,5000000000.0,4072000000.0,,,4072000.0,,145260.0,95983.0,0.0,,,,16369.0,,,4886.0,,,,,832.0,120042.0,,,9885.0,,-15178.0,-25264.0,5200.0,,,,,,,,,9885.0,8895.0,-119210.0,,,,,4072000000.0,
2010-08-31,2010-10-15,10-Q,PORTAGE RESOURCES INC.,OMHI,CIK0001403674,USD,,,,,,,,576.0,,,-256.0,,,,,,,7168.0,,,0.0,,,,5518.0,,,-1099.0,4111.0,,,,,,,,4111.0,,-4367.0,-7168.0,3900.0,,,,,,,,,,1650.0,,,,,,4072000000.0,
2010-11-30,2011-01-13,10-Q,PORTAGE RESOURCES INC.,OMHI,CIK0001403674,USD,,,,,,,,554.0,,,,,,,,,,,,,0.0,,,,176.0,,,,,,,,,,,,,,,-176.0,,,,176.0,,,,,,,,,,,,,407200000.0,
2011-02-28,2011-04-19,10-Q,PORTAGE RESOURCES INC.,OMHI,CIK0001403674,USD,,,,,,,,533.0,,,,,,,,,,,,,0.0,,,,5033.0,,,,,,,756.0,,,,,,,,-5993.0,,,,5993.0,,,,,,,204.0,,,,,,,637200000.0
2011-05-31,2011-09-13,10-K,PORTAGE RESOURCES INC.,OMHI,CIK0001403674,USD,28537.0,108364.0,-377250.0,,,,,,-832.0,,-832.0,0.001,5000000000.0,407200000.0,,,407200.0,,-166851.0,,0.0,,,,14206.0,,4478.0,4478.0,,,,1286.0,,136901.0,,108364.0,12381.0,,-13213.0,-21591.0,3900.0,108364.0,,21591.0,3900.0,,,12381.0,,12381.0,6099.0,-136901.0,,,,,4072000000.0,407200000.0
2011-08-31,2011-10-24,10-Q,PORTAGE RESOURCES INC.,OMHI,CIK0001403674,USD,51471.0,,19945950.0,24378000.0,,702.0,702.0,702.0,702.0,,702.0,0.001,5000000000.0,4452000000.0,41274.0,,4452000.0,24431546.0,24598397.0,,-0.01,2470000.0,,,43895.0,2470000.0,22934.0,22934.0,40.0,41274.0,,2500.0,702.0,159875.0,,,41314.0,-10000.0,-30612.0,-2523546.0,,108404.0,,2523546.0,,-10000.0,,40.0,41274.0,,7151.0,-159173.0,2470000.0,24368000.0,,,4338739130.0,4338739130.0
2011-11-30,2012-01-23,10-Q,PORTAGE RESOURCES INC.,OMHI,CIK0001403674,USD,67978.0,,23772250.0,2484500.0,,,,,,,,0.001,5000000000.0,445700000.0,2752444.0,,445700.0,,27146776.0,,0.0,,,10375.0,38485.0,,,,,,,6089.0,,176382.0,,,,,,-2548379.0,,108404.0,,2548379.0,,,,,,,8930.0,-176382.0,,,,,445628571.0,
2012-02-29,2012-04-23,10-Q,PORTAGE RESOURCES INC.,OMHI,CIK0001403674,USD,68694.0,,23772250.0,,635.0,,635.0,635.0,,,,0.0,5000000000.0,445700000.0,,2760780.0,445700.0,,-27177085.0,,0.0,,23036.0,,176.0,,,,,,,1680.0,635.0,198990.0,,21892.0,,,,-30309.0,,108404.0,,30309.0,,,,,,,5417.0,-198355.0,,,,,,445700000.0
