end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableCurrent,AccruedLiabilitiesCurrent,AdditionalPaidInCapital,AdjustmentsToAdditionalPaidInCapitalOther,AdjustmentsToAdditionalPaidInCapitalStockIssuedIssuanceCosts,Assets,AssetsCurrent,Cash,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CommitmentsAndContingencies,CommonStockParOrStatedValuePerShare,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockSharesSubscribedButUnissued,CommonStockSharesSubscriptions,CommonStockSharesSubscriptions,CommonStockValue,DebtConversionConvertedInstrumentAmount1,DebtConversionConvertedInstrumentSharesIssued1,DebtConversionOriginalDebtAmount1,DebtConversionOriginalDebtAmount1,DeferredTaxAssetsGross,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsPropertyPlantAndEquipment,DeferredTaxAssetsValuationAllowance,Depreciation,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectOfExchangeRateOnCashAndCashEquivalents,ExplorationExpense,ExplorationExpenseMining,ExtinguishmentOfDebtAmount,ExtinguishmentOfDebtAmount,ForeignCurrencyTransactionGainLossBeforeTax,ForeignCurrencyTransactionGainLossRealized,GainsLossesOnExtinguishmentOfDebt,GeneralAndAdministrativeExpense,ImpairmentOfOngoingProject,IncomeTaxExaminationPenaltiesAndInterestExpense,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncomeTaxReceivable,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncomeTaxReconciliationOtherAdjustments,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInAccountsPayableTrade,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInDueToRelatedParties,IncreaseDecreaseInIncomeTaxesReceivable,IncreaseDecreaseInOtherReceivables,IncreaseDecreaseInPrepaidExpense,IncreaseDecreaseInReceivables,InterestIncomeExpenseNet,InterestPaid,InterestPaidNet,InterestReceivableCurrent,InvestmentIncomeInterest,IssuanceOfStockAndWarrantsForServicesOrClaims,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LoansAndLeasesReceivableRelatedParties,LoansPayableCurrent,MineralPropertiesNet,MineralRights,MineralRights,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NonoperatingIncomeExpense,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,OtherLiabilitiesCurrent,OtherNonoperatingIncomeExpense,OtherReceivablesNetCurrent,PaymentsOfStockIssuanceCosts,PaymentsToAcquireMineralRights,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToFundLongtermLoansToRelatedParties,PrepaidExpenseCurrent,ProceedsFromBankDebt,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOfPrivatePlacement,ProceedsFromIssuanceOfPrivatePlacement,ProceedsFromOtherDebt,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfShortTermDebt,ProceedsFromShortTermDebt,PropertyPlantAndEquipmentNet,ProvisionForDoubtfulAccounts,ReceivablesNetCurrent,RepaymentsOfOtherDebt,RepaymentsOfRelatedPartyDebt,RepaymentsOfShortTermDebt,RetainedEarningsAccumulatedDeficit,Revenues,SaleOfStockPricePerShare,ShareBasedCompensation,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableNumber,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableWeightedAverageExercisePrice,ShareBasedGoodsAndNonemployeeServicesTransactionStockholdersEquity,ShortTermBankLoansAndNotesPayable,ShortTermBorrowings,StockholdersEquity,StockIssued1,StockIssuedDuringPeriodSharesIssuedForServices,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,ValueAddedTaxReceivableCurrent,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,AccountsPayableRelatedPartiesCurrent
2009-05-31,2009-10-09,10-K,WOLVERINE TECHNOLOGIES CORP.,WOLV,CIK0001424404,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-583400.0,,,,,-674.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-352421.0,,,,,,,,,
2010-05-31,2010-08-31,10-K,WOLVERINE TECHNOLOGIES CORP.,WOLV,CIK0001424404,USD,,,,,,,,,96712.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1163186.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,746277.0,,,-52030.0,,,,,177000.0,,,,
2010-08-31,2010-10-15,10-Q,WOLVERINE TECHNOLOGIES CORP.,WOLV,CIK0001424404,USD,,,,,,,,,183907.0,87195.0,,,,,,,,,,,,,,,,,,,,,271.0,,,,,,,,,,1387.0,,0.0,99700.0,,,,,,,,,52922.0,,,657.0,-12692.0,,,17918.0,1075.0,,,,,,,,,,,,,,,308950.0,-3902.0,-217853.0,-240018.0,,240018.0,-240018.0,,,,,,42550.0,0.0,3902.0,,,,358500.0,,,,,,0.0,,,,,0.0,7000.0,,0.0,,0.0,,,,,,,,,,,,,93006000.0,,
2010-11-30,2011-01-14,10-Q,WOLVERINE TECHNOLOGIES CORP.,WOLV,CIK0001424404,USD,,,,,,,,,152829.0,,,,,,,,,,,,,,,,,,,,,,395.0,,,0.0,,,,,,,-3185.0,,0.0,89600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-191322.0,,191322.0,-191322.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,100259000.0,,
2011-02-28,2011-04-12,10-Q,WOLVERINE TECHNOLOGIES CORP.,WOLV,CIK0001424404,USD,,,,,,,,,73423.0,,,,,,,,,,,,,,,,,,,,,,436.0,,,,,,,,,,2008.0,,0.0,119871.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-163795.0,,163795.0,-163795.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,104330000.0,,
2011-05-31,2011-09-09,10-K,WOLVERINE TECHNOLOGIES CORP.,WOLV,CIK0001424404,USD,,235203.0,,2973097.0,,-54050.0,32359.0,28212.0,2934.0,-93778.0,,,,0.001,200000000.0,104330000.0,104330000.0,,,20000.0,104330.0,,,,,,,,,,1579.0,3301160.0,889.0,-0.01,,,,,,,-266.0,,0.0,409434.0,,,,,,,,,35808.0,,,-20163.0,-6463.0,,,-63117.0,3227.0,,,,,,,236092.0,32359.0,,,,,,,527450.0,-5726.0,-615502.0,-686153.0,0.0,686153.0,-686153.0,,,,,,54050.0,0.0,5726.0,,10986.0,,588500.0,,,,0.0,,0.0,4147.0,,14292.0,,0.0,7000.0,,0.0,,0.0,,,,,,-203733.0,,,,,568500.0,,100461000.0,,
2011-08-31,2011-10-17,10-Q,WOLVERINE TECHNOLOGIES CORP.,WOLV,CIK0001424404,USD,,260305.0,,2973097.0,,,41571.0,37901.0,1168.0,-1766.0,,,,0.001,200000000.0,104330000.0,104330000.0,,,92000.0,104330.0,,,,,,,,,,477.0,3392603.0,4442.0,,,,,,,,-943.0,,0.0,78705.0,,,,,,,,,25103.0,,,0.0,3553.0,,,6697.0,4759.0,,,,,,,264747.0,41571.0,,,,,,,72000.0,0.0,-73766.0,-91443.0,0.0,91443.0,-91443.0,,,,,,0.0,0.0,0.0,,17682.0,,72000.0,,,,0.0,,0.0,3670.0,,19051.0,,0.0,0.0,,0.0,,0.0,,,,,,-223176.0,,,,,,,104330000.0,,
2011-11-30,2012-01-18,10-Q,WOLVERINE TECHNOLOGIES CORP.,WOLV,CIK0001424404,USD,,255529.0,,3255052.0,,,22737.0,19544.0,1210.0,,,,,0.001,200000000.0,113413333.0,113413333.0,,,0.0,113413.0,,,,,,,,,,477.0,3605481.0,4224.0,0.0,,,,,,,-1145.0,,0.0,109142.0,,,,,,,,,,,,,,,,,,,,,,,,259753.0,22737.0,,,,,,,,,,-212878.0,0.0,212878.0,-212878.0,,,,,,,,,,15054.0,,,,,,,,,3193.0,,3280.0,,,,,0.0,,,,,,,,-237016.0,,,,,,,105029000.0,,
2012-02-29,2012-04-16,10-Q,WOLVERINE TECHNOLOGIES CORP.,WOLV,CIK0001424404,USD,,303747.0,,3255052.0,,,22594.0,19878.0,4747.0,,,,,0.001,200000000.0,113413333.0,113413333.0,,,20700.0,113413.0,,,,,,,,,,,3679657.0,9339.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313086.0,22594.0,,,,,,,,,,,,,,,,,,,,,,,7000.0,,,,,,,,,2716.0,,8131.0,,,,,,,,,,,,,-290492.0,,,,,,,,,
2012-05-31,2012-09-13,10-K,WOLVERINE TECHNOLOGIES CORP.,WOLV,CIK0001424404,USD,,291638.0,0.0,3255052.0,,,8074.0,5835.0,600.0,-2334.0,,,,0.001,200000000.0,113413333.0,113413333.0,,,18000.0,113413.0,,,,,,,,,,1908.0,3712350.0,42321.0,,,,,,,,3289.0,,0.0,331417.0,,,,,,,,,15165.0,,,0.0,10370.0,,,-10986.0,-9057.0,,,,,,,333959.0,8074.0,,,0.0,,,,291062.0,0.0,-293396.0,-411190.0,41270.0,452460.0,-452460.0,,,,,,0.0,0.0,0.0,,0.0,,260000.0,,,,31062.0,,0.0,2239.0,,5235.0,,0.0,0.0,,0.0,,29038.0,,,6820.0,,,-325885.0,,,,14000.0,242000.0,,109133370.0,,
