end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableAndOtherAccruedLiabilitiesCurrent,AccountsPayableRelatedPartiesCurrent,AdditionalPaidInCapital,AdjustmentsToAdditionalPaidInCapitalOther,AdjustmentsToAdditionalPaidInCapitalStockIssuedIssuanceCosts,AdjustmentsToAdditionalPaidInCapitalWarrantIssued,AllowanceForDoubtfulAccountsReceivable,Assets,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashEquivalentsAtCarryingValue,CommitmentsAndContingencies,CommonStockParOrStatedValuePerShare,CommonStockShareSubscribedButUnissuedSubscriptionsReceivable,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ConcentrationRiskPercentage1,DebtInstrumentFaceAmount,DebtInstrumentInterestRateStatedPercentage,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,EarningsPerShareBasic,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,EmployeeBenefitsAndShareBasedCompensation,EquityIssuancePerShareAmount,EquityMethodInvestmentOwnershipPercentage,GainLossOnRepurchaseOfDebtInstrument,GainsLossesOnExtinguishmentOfDebt,GeneralAndAdministrativeExpense,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncomeTaxReconciliationNondeductibleExpense,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInPrepaidExpense,InterestAndDividendsPayableCurrent,InterestExpenseDebt,InterestPaid,InterestPayableCurrent,InterestPayableCurrentAndNoncurrent,InterestReceivable,LegalFees,Liabilities,LiabilitiesAndStockholdersEquity,LicenseCosts,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NonoperatingIncomeExpense,NotesPayableCurrent,NotesPayableRelatedPartiesClassifiedCurrent,NumberOfOperatingSegments,OfficersCompensation,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OtherCostAndExpenseOperating,OtherExpenses,PaidInKindInterest,PaymentsForRepurchaseOfCommonStock,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOfWarrants,ProceedsFromNotesPayable,ProceedsFromRelatedPartyDebt,ProceedsFromWarrantExercises,ProfessionalFees,ProfitLoss,ProvisionForDoubtfulAccounts,RepaymentsOfNotesPayable,RepaymentsOfRelatedPartyDebt,RetainedEarningsAccumulatedDeficit,RevenueRecognitionMilestoneMethodRevenueRecognized,SaleOfStockPricePerShare,ShareBasedCompensation,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingNumber,SharePrice,SharesIssuedPricePerShare,SharesOutstanding,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodValueEmployeeStockOwnershipPlan,StockIssuedDuringPeriodValueIssuedForCash,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueShareBasedCompensationForfeited,StockIssuedDuringPeriodValueStockOptionsExercised,StockRepurchasedDuringPeriodValue,ValuationAllowanceDeferredTaxAssetChangeInAmount,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,AccountsPayableCurrent
2011-04-30,2011-06-16,10-Q,"POINT OF CARE NANO-TECHNOLOGY, INC.",PCNT,CIK0001504239,USD,,,,,,,,,,,23155.0,,,,,,,,,,,,,,,,-0.01,,,,,,,,,11449.0,,-52647.0,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,-52647.0,,,,,52647.0,,,16360.0,,,,,,,,,,,,,,24838.0,-52647.0,,,,,,,,,,,,,,,,,,,,,,,
2011-07-31,2011-11-10,10-K,"POINT OF CARE NANO-TECHNOLOGY, INC.",PCNT,CIK0001504239,USD,37289.0,37289.0,,756597.0,15600.0,-4175.0,,,5956.0,5956.0,5956.0,-489580.0,,0.0,0.0001,0.0,100000000.0,18037548.0,18037548.0,1804.0,,,,-297628.0,-297628.0,789734.0,-0.03,,,,,,,,,31943.0,,-577294.0,,,216534.0,-222548.0,6014.0,,22289.0,,,0.0,,,,0.0,,,37289.0,5956.0,,49825.0,,-539405.0,-577294.0,-577294.0,0.0,,,,577294.0,,,456860.0,,,,0.0001,10000000.0,0.0,0.0,0.0,49825.0,,,,,88491.0,-577294.0,,,,,,,,,,,0.0,-31333.0,-31333.0,,,,,,,,216534.0,18037548.0,
2011-10-31,2011-12-20,10-Q,"POINT OF CARE NANO-TECHNOLOGY, INC.",PCNT,CIK0001504239,USD,68571.0,,,761700.0,3900.0,,,,674.0,674.0,674.0,-5282.0,,0.0,0.0001,0.0,100000000.0,6012516.0,6012516.0,601.0,,,,,,840311.0,0.0,,,,,,,,,8161.0,,-49604.0,0.0,0.0,,,,31395.0,31395.0,,0.0,113.0,973.0,0.0,,,,,78684.0,674.0,,10000.0,,-15282.0,,-50577.0,10000.0,,,,49604.0,,,13500.0,,,,0.0001,10000000.0,0.0,0.0,0.0,0.0,,10000.0,,,27943.0,-50577.0,,,,,,,,,,,0.0,,-78010.0,,,,,,,,,18037548.0,
2012-01-31,2012-03-21,10-Q,"POINT OF CARE NANO-TECHNOLOGY, INC.",PCNT,CIK0001504239,USD,92627.0,,,765600.0,,,,,682.0,682.0,682.0,,,0.0,0.0001,,100000000.0,6012516.0,6012516.0,601.0,,,,,,878146.0,-0.01,0.0,,,,,,,,6407.0,,-35380.0,0.0,,,,,,,,,,2455.0,,,,,,112627.0,682.0,,,,,-37835.0,-37835.0,20000.0,,,,35380.0,-35380.0,,13500.0,,,,0.0001,10000000.0,0.0,0.0,0.0,,,,,,15473.0,-37835.0,,,,,,,,,,,0.0,,-111945.0,,,,,,,,,18037548.0,
2012-04-30,2012-06-14,10-Q,"POINT OF CARE NANO-TECHNOLOGY, INC.",PCNT,CIK0001504239,USD,114888.0,,,779499.0,,,,,1057.0,1057.0,1057.0,,,0.0,0.0001,,100000000.0,6025850.0,6025850.0,602.0,,,,,,914560.0,-0.01,0.0,,,,,,,,10265.0,,-35195.0,0.0,,,,,,,,,,1219.0,,,628.0,,,135516.0,1057.0,,,,,-36414.0,-36414.0,20000.0,,,,35195.0,-35195.0,,18000.0,,,,0.0001,10000000.0,0.0,0.0,0.0,,,,,,6930.0,-36414.0,,,,,,,,,,,0.0,,-134459.0,,,,,,,,,18069993.0,
2012-07-31,2012-11-13,10-K,"POINT OF CARE NANO-TECHNOLOGY, INC.",PCNT,CIK0001504239,USD,,139402.0,45000.0,782193.0,15600.0,,80004.0,,434.0,434.0,434.0,-5522.0,0.0,,0.0001,,100000000.0,18077550.0,18077550.0,1808.0,,,,-351047.0,-351047.0,943906.0,-0.01,-0.01,0.34,0.0455,,0.25,,,,34598.0,,-149216.0,,,53420.0,-59434.0,6014.0,,103050.0,,,,4956.0,,937.0,,,,160339.0,434.0,,30000.0,,-35522.0,-154172.0,-154172.0,20000.0,,1.0,,149216.0,-149216.0,910607.0,54000.0,,,,0.0001,10000000.0,,,,10000.0,,20000.0,,,60618.0,-154172.0,,,,,,0.25,,6155100.0,,,,-159905.0,-159905.0,,,10000.0,,,,,53420.0,18055632.0,
2012-10-31,2012-12-17,10-Q,"POINT OF CARE NANO-TECHNOLOGY, INC.",PCNT,CIK0001504239,USD,,178029.0,,786093.0,3900.0,,,,245.0,245.0,245.0,-189.0,0.0,,0.0001,,100000000.0,18077550.0,18077550.0,1808.0,,,,,,986936.0,0.0,0.0,,,,,,,,7982.0,-43030.0,-40039.0,,,,,,,38941.0,,,,2991.0,,1251.0,,,,199280.0,245.0,,,,-189.0,-43030.0,-43030.0,20000.0,,1.0,,40039.0,-40039.0,,13500.0,,,,0.0001,10000000.0,,,,,,,,,18557.0,-43030.0,,,,,,,,6155100.0,,,,,-199035.0,,,,,,,,,18077550.0,
2013-01-31,2013-03-15,10-Q,"POINT OF CARE NANO-TECHNOLOGY, INC.",PCNT,CIK0001504239,USD,,126666.0,72000.0,789993.0,,,,,124.0,124.0,124.0,,0.0,,0.0001,,100000000.0,18077550.0,18077550.0,1808.0,,,,,,1017947.0,,0.0,,,,,,,,7749.0,,,,,,,,,,,,,398.0,,1570.0,,,,226270.0,124.0,,,,,-31011.0,-31011.0,26034.0,,,,30613.0,-30613.0,,13500.0,,,,0.0001,10000000.0,,,,,,,,,9364.0,,,,,,,,,6155100.0,,,,-226146.0,,,,,,,,,,18077550.0,
2013-04-30,2013-06-14,10-Q,"POINT OF CARE NANO-TECHNOLOGY, INC.",PCNT,CIK0001504239,USD,,220931.0,,794060.0,,,,,125.0,125.0,125.0,,0.0,,0.0001,,100000000.0,18077550.0,18077550.0,1808.0,,,,,,1044601.0,,0.0,,,,,,,,5661.0,,,,,,,,,,,,,3248.0,,1893.0,,,,248858.0,125.0,,,,,-26654.0,-26654.0,26034.0,,,,23406.0,-23406.0,,13500.0,,,,0.0001,10000000.0,,,,,,,,,4245.0,,,,,,,,,6155100.0,,,,-248733.0,,,,,,,,,,18077550.0,
2013-07-31,2013-10-29,10-K,"POINT OF CARE NANO-TECHNOLOGY, INC.",PCNT,CIK0001504239,USD,,233859.0,,798148.0,15600.0,,,,125.0,,125.0,-309.0,0.0,,0.0001,,100000000.0,18077550.0,18077550.0,1808.0,,,,460931.0,460931.0,1071663.0,,-0.01,0.34,0.0455,,,,,,27389.0,-127757.0,,,,43099.0,-49250.0,6151.0,,95742.0,,,,9912.0,,2222.0,,2222.0,,271832.0,125.0,,15751.0,,-16060.0,-127757.0,-127757.0,26034.0,9717.0,1.0,,117845.0,-117845.0,1022409.0,54000.0,,355.0,,0.0001,10000000.0,,,,,,15751.0,,,36456.0,,,,,-1071663.0,,,,6155100.0,,,,-271707.0,,,,,,,,,43099.0,18077550.0,
