end,filed,form,Name,Ticker,CIK,Currency,AccruedLiabilitiesCurrent,AccruedLiabilitiesCurrentAndNoncurrent,AdditionalPaidInCapital,AdministrativeFeesExpense,Assets,AssetsNet,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValueOutstanding,CostMethodInvestmentsRealizedGains,CostMethodInvestmentsRealizedLosses,CostOfGoldProductsAndServices,EquityMethodInvestmentOwnershipPercentage,EquityMethodInvestmentQuotedMarketValue,GainLossOnInvestments,GainLossOnSaleOfInvestments,IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicShare,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInInventories,IncreaseDecreaseInOperatingAssets,InvestmentCompanyDistributableEarnings,InvestmentCompanyDistributableEarningsLossAccumulatedAppreciationDepreciation,InvestmentCompanyDistributableEarningsLossAccumulatedLongTermCapitalGainLoss,InvestmentCompanyDistributableEarningsLossAccumulatedOrdinaryIncomeLoss,InvestmentIncomeNet,InvestmentInPhysicalCommoditiesFairValueDisclosure,InvestmentOwnedAtCost,InvestmentOwnedAtFairValue,InvestmentOwnedPercentOfNetAssets,InvestmentOwnedUnrecognizedUnrealizedAppreciation,InvestmentOwnedUnrecognizedUnrealizedDepreciation,LegalFees,Liabilities,NetIncomeLoss,NetInvestmentIncome,OperatingExpenses,OperatingIncomeLoss,OtherLiabilities,ReceivableFromShareholdersOrAffiliatesForIssuanceOfCapitalStock,SponsorFees,StockholdersEquityPeriodIncreaseDecrease,StockIssuedDuringPeriodSharesConversionOfConvertibleSecurities,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodSharesPeriodIncreaseDecrease,StockIssuedDuringPeriodValueNewIssues,StockRedeemedOrCalledDuringPeriodShares,StockRedeemedOrCalledDuringPeriodValue,SubsidiaryOrEquityMethodInvesteeCumulativeNumberOfSharesIssuedForAllTransactions,TemporaryEquityRedemptionPricePerShare,TemporaryEquitySharesOutstanding,UnrealizedGainLossOnInvestments
2014-07-31,2014-09-12,10-Q,VanEck Merk Gold Trust,OUNZ,CIK0001546652,USD,18097.0,,56053331.0,,55848071.0,55829974.0,,100000.0,1306250.0,636.0,-37406.0,,0.72,40186632.0,,-37406.0,-0.01,-70286.0,54817367.0,-223357.0,,,,,-37406.0,,56016564.0,55829977.0,1.0,-186587.0,-186587.0,,18097.0,-185951.0,,37406.0,-37406.0,,18094.0,37406.0,56053331.0,,4252898.0,4347492.0,54817367.0,-5406.0,-70286.0,,12.84,4347492.0,-186587.0
2014-10-31,2014-12-12,10-Q,VanEck Merk Gold Trust,OUNZ,CIK0001546652,USD,19466.0,,62399073.0,,56406413.0,56386947.0,,100000.0,1306250.0,8476.0,-94950.0,,0.645,36370991.0,-0.01,,,-652036.0,6997778.0,-5788769.0,,,,,-57544.0,,62312599.0,56386947.0,1.0,-5925652.0,5925652.0,,19466.0,-5731225.0,,57544.0,-57544.0,,19466.0,57544.0,62399073.0,,4807619.0,4852213.0,61815145.0,-55406.0,-722322.0,,11.62,4852213.0,-5739065.0
2015-01-31,2015-04-29,10-K,VanEck Merk Gold Trust,OUNZ,CIK0001546652,USD,20600.0,,-66087586.0,,64771183.0,64750583.0,,5152630.0,66087586.0,,,,0.588,38074016.0,,,,,,,,,,,,64750586.0,65938882.0,64750586.0,1.0,-1188296.0,-1188296.0,,20600.0,,,,,,20597.0,,,,,,,,,,12.57,5152630.0,
2015-04-30,2015-06-15,10-Q,VanEck Merk Gold Trust,OUNZ,CIK0001546652,USD,7.0,,65586916.0,,60053590.0,60053583.0,,5107796.0,65586916.0,-215596.0,-216134.0,,0.4971,29851640.0,-0.01,,,-3608896.0,3108226.0,-4196330.0,,,,,-61449.0,,65155193.0,60053590.0,,-5101603.0,-3913307.0,,7.0,-4134881.0,,61449.0,-61449.0,,,61449.0,,,255166.0,,3108226.0,-300000.0,-3608896.0,,11.76,5107796.0,-3913307.0
2015-07-31,2015-09-11,10-Q,VanEck Merk Gold Trust,OUNZ,CIK0001546652,USD,4.0,,72962117.0,,62987484.0,62987480.0,,5762437.0,72962117.0,-216775.0,-277420.0,,0.4217,26509118.0,,,,,,-4441304.0,,,,,-61286.0,,72467926.0,62987484.0,,-9480442.0,-8292146.0,,4.0,-4380018.0,,61286.0,,,,61286.0,,,,,,,,,10.93,5762437.0,-4378839.0
2015-10-31,2015-12-15,10-Q,VanEck Merk Gold Trust,OUNZ,CIK0001546652,USD,11.0,,-86632077.0,,79145630.0,79145619.0,,6969119.0,86632077.0,,,,0.2942,23285728.0,-0.01,,,,,2488179.0,,,,,-75153.0,,86062740.0,79145630.0,1.0,-6917110.0,-5728814.0,,11.0,2563332.0,,75153.0,,,,75153.0,,,,,,,,,11.36,6969119.0,2563332.0
2016-01-31,2016-04-29,10-K,VanEck Merk Gold Trust,OUNZ,CIK0001546652,USD,2.0,,-93178688.0,100000.0,83657963.0,83657961.0,,7576528.0,93178688.0,,,,0.2613,21975780.0,-0.05,,,-3616635.0,30707737.0,-8183724.0,,,,,-277150.0,83657963.0,92530080.0,83657963.0,1.0,-8872117.0,-7683821.0,,2.0,-7906574.0,,277150.0,-277150.0,,,277150.0,,,2724602.0,,30707737.0,300704.0,-3616635.0,1979800.0,11.04,7576528.0,-7683821.0
2016-04-30,2016-06-14,10-Q,VanEck Merk Gold Trust,OUNZ,CIK0001546652,USD,11.0,,-104758862.0,,108749701.0,108749690.0,,8525374.0,104758862.0,,,,0.2173,23789767.0,,,,-110767.0,11690941.0,13511555.0,,,,,-97151.0,108749701.0,104014498.0,108749701.0,0.0,4735203.0,13607320.0,100000.0,11.0,13608706.0,,97151.0,-97151.0,,,97151.0,,,957813.0,,11690941.0,-8967.0,-110767.0,1852800.0,12.76,8525374.0,13607320.0
2016-07-31,2016-09-12,10-Q,VanEck Merk Gold Trust,OUNZ,CIK0001546652,USD,12.0,,-147039587.0,,158773377.0,158773365.0,,11936241.0,147039587.0,,,,0.1255,20100476.0,,,,,,7742950.0,,,,,-139575.0,158773377.0,146155649.0,158773377.0,,12617728.0,,,12.0,7882525.0,,139575.0,,,,139575.0,,,,,,,,,13.3,11936241.0,7882525.0
2016-10-31,2016-12-14,10-Q,VanEck Merk Gold Trust,OUNZ,CIK0001546652,USD,6.0,,-157980287.0,,160951105.0,160951099.0,,12778772.0,157980287.0,,,,0.1094,17696148.0,,,,,,-8762966.0,,,,,-161497.0,160951105.0,156953027.0,160951105.0,,3998078.0,,,6.0,-8601469.0,,161497.0,,,,161497.0,,,,,,,,,12.6,12778772.0,-8619650.0
2017-01-31,2017-04-14,10-K,VanEck Merk Gold Trust,OUNZ,CIK0001546652,USD,3.0,,-130038988.0,,123449687.0,123449684.0,,10290267.0,130038988.0,,,,0.078,9625572.0,,,,-36913293.0,73773593.0,2931423.0,,,,,-532642.0,123449687.0,126099244.0,123449687.0,,-2649557.0,,100000.0,3.0,3464065.0,,532642.0,-532642.0,,,532642.0,,,5942698.0,,73773593.0,3228959.0,-36913293.0,,12.0,10290267.0,6222560.0
2017-04-30,2017-06-08,10-Q,VanEck Merk Gold Trust,OUNZ,CIK0001546652,USD,4.0,,-130738040.0,,129537595.0,129537591.0,,10350282.0,130738040.0,,,,0.0742,9620534.0,,,,-1864346.0,2563398.0,5388855.0,,,,,-124247.0,129537595.0,126701524.0,129537595.0,,2836071.0,,100000.0,4.0,5513102.0,,124247.0,-124247.0,,,124247.0,,,210015.0,,2563398.0,-150000.0,-1864346.0,,12.52,10350282.0,5485628.0
2017-07-31,2017-09-06,10-Q,VanEck Merk Gold Trust,OUNZ,CIK0001546652,USD,7.0,,-130866653.0,,129650107.0,142168245.0,,10360629.0,130866653.0,,,,0.0741,9620534.0,,,,,,-16104.0,,,,,-128616.0,129650107.0,126701524.0,129650107.0,,2948583.0,,,7.0,112512.0,,128616.0,,,,128616.0,,,,,,,,,12.51,10360629.0,112512.0
2017-10-31,2017-12-08,10-Q,VanEck Merk Gold Trust,OUNZ,CIK0001546652,USD,9.0,,-135435696.0,,134251524.0,134251515.0,,10717203.0,135435696.0,,,,0.067,8994034.0,,,,,,32372.0,,,,,-135083.0,134251524.0,131137185.0,134251524.0,,3114339.0,,,9.0,167455.0,,135083.0,,,,135083.0,,,,,,,,,12.53,10717203.0,165756.0
2018-01-31,2018-04-13,10-K,VanEck Merk Gold Trust,OUNZ,CIK0001546652,USD,12.0,,-135573317.0,,142168257.0,142168245.0,,10727887.0,135573317.0,,,,0.0669,9525206.0,,,,-1915670.0,7449999.0,13184232.0,6594928.0,11031072.0,-2946097.0,-1490047.0,-525570.0,142168257.0,131137185.0,142168257.0,,11031072.0,,100000.0,12.0,13709802.0,,525570.0,-525570.0,,,525570.0,,,591676.0,,7449999.0,154056.0,-1915670.0,,13.25,10727887.0,13680629.0
2018-04-30,2018-06-07,10-Q,VanEck Merk Gold Trust,OUNZ,CIK0001546652,USD,12.0,,-142900623.0,,145914344.0,145914332.0,,11288701.0,142900623.0,,,,0.06,8770732.0,,,,,7327306.0,-3581219.0,,,,,-140371.0,,138324120.0,145914344.0,,7590224.0,,100000.0,12.0,-3440848.0,,140371.0,-140371.0,,,140371.0,,,560814.0,,7327306.0,,,,12.93,11288701.0,-3440848.0
