end,filed,form,Name,Ticker,CIK,Currency,AccruedLiabilitiesCurrent,AdditionalPaidInCapital,AdditionalPaidInCapitalCommonStock,AdditionalPaidInCapitalPreferredStock,AdjustmentsToAdditionalPaidInCapitalOther,AdjustmentsToAdditionalPaidInCapitalShareBasedCompensationStockOptionsRequisiteServicePeriodRecognition,AdjustmentsToAdditionalPaidInCapitalWarrantIssued,AdvertisingExpense,AmortizationOfDebtDiscountPremium,Assets,AssetsCurrent,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsFairValueDisclosure,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CashEquivalentsAtCarryingValue,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ConvertibleNotesPayableCurrent,CostOfRevenue,CurrentIncomeTaxExpenseBenefit,DebtConversionConvertedInstrumentAmount1,DebtInstrumentDecreaseForgiveness,DebtInstrumentIncreaseAccruedInterest,DebtInstrumentUnamortizedDiscountPremiumNet,DeferredTaxAssetsNet,Depreciation,DepreciationAndAmortization,DepreciationNonproduction,DerivativeLiabilities,DerivativeLiabilitiesCurrent,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,DividendsPayableCurrent,DueToOtherRelatedPartiesClassifiedCurrent,DueToRelatedPartiesCurrent,DueToRelatedPartiesCurrentAndNoncurrent,DueToRelatedPartiesNoncurrent,EarningsPerShareBasicAndDiluted,EmbeddedDerivativeGainOnEmbeddedDerivative,EquipmentExpense,FairValueAssumptionsExpectedVolatilityRate,FairValueNetDerivativeAssetLiabilityMeasuredOnRecurringBasisChangeInUnrealizedGainLoss,GainLossOnDispositionOfAssets,GainLossOnDispositionOfAssets1,GeneralAndAdministrativeExpense,IncomeLossFromContinuingOperations,IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncomeTaxesPaidNet,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInDerivativeLiabilities,IncreaseDecreaseInInterestPayableNet,IncreaseDecreaseInPrepaidExpense,InterestExpense,InterestExpenseTradingLiabilities,InterestIncomeExpenseAfterProvisionForLoanLoss,InterestPaid,InterestPayableCurrent,LegalFees,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LicenseCosts,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetCreditLossesDuringPeriodOnLoansManagedOrSecuritized,NetIncomeLoss,NetIncomeLossAvailableToCommonStockholdersBasic,NoncashOrPartNoncashAcquisitionFixedAssetsAcquired,NotesAndLoansPayable,NotesPayableRelatedPartiesClassifiedCurrent,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OtherAssetsCurrent,OtherCostAndExpenseOperating,OtherGeneralExpense,OtherIncome,OtherNonoperatingIncomeExpense,PaymentsToAcquirePropertyPlantAndEquipment,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpenseCurrent,ProceedsFromContributionsFromAffiliates,ProceedsFromConvertibleDebt,ProceedsFromIssuanceOfCommonStock,ProceedsFromNotesPayable,ProceedsFromRelatedPartyDebt,ProfessionalFees,ProfitLoss,PropertyPlantAndEquipmentDisposals,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,RelatedPartyCosts,RepaymentsOfConvertibleDebt,RepaymentsOfNotesPayable,RepaymentsOfRelatedPartyDebt,RetainedEarningsAccumulatedDeficit,Revenues,ShareBasedCompensation,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedDividendRate,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedVolatilityRate,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsRiskFreeInterestRate,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodGrantDateIntrinsicValue,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodGross,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageGrantDateFairValue,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingIntrinsicValue,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingNumber,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingWeightedAverageExercisePrice,ShareBasedCompensationArrangementByShareBasedPaymentAwardSharesIssuedInPeriod,ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageExercisePrice,SharePrice,SharesIssuedPricePerShare,StandardizedMeasureOfDiscountedFutureNetCashFlowOfProvedOilAndGasReservesPeriodIncreaseDecrease,StockGrantedDuringPeriodValueSharebasedCompensation,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockIssuedDuringPeriodSharesIssuedForServices,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueShareBasedCompensation,UnrealizedGainLossOnDerivatives,ValuationAllowanceDeferredTaxAssetChangeInAmount,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasicAndDiluted,OtherNoncashIncomeExpense,RelatedPartyTransactionDueFromToRelatedParty,RepaymentsOfDebt,IncomeLossFromContinuingOperationsPerBasicAndDilutedShare
2013-04-30,2013-05-29,10-Q,ARAX HOLDINGS CORP.,ARAT,CIK0001566243,USD,,,,,,,,,,613.0,,42.0,42.0,,,,42.0,,,,,8000.0,,,,,,,,,,0.0,0.0,,,-9608.0,,,,,,0.0,,,,,,0.0,,-3311.0,,,,0.0,,,,,,,,,,,0.0,,,,2221.0,613.0,,0.0,,,,,,,-3311.0,,571.0,2221.0,,3311.0,-3311.0,,,,71.0,,,,,,,,,,,,,,,3240.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-1608.0,,,,,,,,,,8000000.0,,,,,
2013-07-31,2013-08-29,10-Q,ARAX HOLDINGS CORP.,ARAT,CIK0001566243,USD,1500.0,,,20700.0,,,,,,18222.0,,,17651.0,,,,,,75000000.0,10300000.0,10300000.0,10300.0,,,0.0,,,,,,,0.0,,,,,,,,,4221.0,0.0,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,8080.0,5721.0,18222.0,,0.0,,,,,,,-8891.0,,,,,8891.0,-8891.0,,,,811.0,,,,,,,,,,,,,,,8080.0,,,571.0,,,,,,-18499.0,0.0,,,,,,,,,,,,,,,,,,12501.0,,,,,,,,,9096522.0,8331842.0,,,,
2013-10-31,2014-01-13,10-K,ARAX HOLDINGS CORP.,ARAT,CIK0001566243,USD,0.0,20700.0,,20700.0,,,,,,4209.0,3752.0,,3752.0,3752.0,-4269.0,,3752.0,0.001,75000000.0,10300000.0,10300000.0,10300.0,,,0.0,,0.0,,,,,114.0,114.0,,,31012.0,,,4221.0,,4221.0,0.0,,,,,0.0,0.0,,,,,,0.0,0.0,,0.0,,,,,,,,,0.0,,29734.0,4221.0,4209.0,4221.0,167.0,26550.0,,0.0,-30819.0,,,-30933.0,,,,4221.0,30933.0,-30933.0,81306.0,,167.0,918.0,,,0.0,,,,,,,3550.0,,23000.0,,3550.0,29734.0,-30933.0,,457.0,457.0,,,,,-31012.0,0.0,,,,,,,,,,,,,,,,,-12.0,-12.0,,,,,,,,,9096522.0,0.0,,,,
2014-01-31,2014-03-17,10-Q,ARAX HOLDINGS CORP.,ARAT,CIK0001566243,USD,,25548.0,,,,,,,,0.0,0.0,,0.0,3752.0,-3752.0,,0.0,0.001,75000000.0,10300000.0,10300000.0,10300.0,,,,,4848.0,,,,29.0,29.0,29.0,,,-35848.0,,,,,,0.0,,,,,-428.0,-428.0,,,,,,0.0,0.0,0.0,,,,,,0.0,,,,0.0,,,,0.0,0.0,0.0,627.0,,0.0,-4379.0,,,-4836.0,,,,0.0,4836.0,-4836.0,,,,,,,0.0,,,,,,,,,0.0,,627.0,4354.0,-4836.0,428.0,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,10300000.0,,,,,
2014-04-30,2014-06-16,10-Q,ARAX HOLDINGS CORP.,ARAT,CIK0001566243,USD,,25548.0,,,,,,,,0.0,0.0,,0.0,,-3752.0,,0.0,0.001,75000000.0,10300000.0,10300000.0,10300.0,,,,,4848.0,,,,,0.0,29.0,,,46954.0,,,,11106.0,,0.0,,,,,-428.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,0.0,11106.0,0.0,2127.0,,,-5879.0,,,-1500.0,,,,11106.0,1500.0,-1500.0,,,,,,,,,,,,,,,,,,2127.0,1500.0,-6336.0,,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,-11106.0,,,,,,,,,,1030000.0,,,,,
2014-07-31,2014-09-22,10-Q,ARAX HOLDINGS CORP.,ARAT,CIK0001566243,USD,,25548.0,,,,,,0.0,,0.0,0.0,,0.0,,,,0.0,0.001,75000000.0,10300000.0,10300000.0,10300.0,,,,,,,,,,0.0,,,,55085.0,,,,,,0.0,,,,,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,0.0,19237.0,0.0,,,,,,,-8131.0,,,,19237.0,8131.0,-8131.0,,,,,,,,,,,,,,,,,,,8131.0,,,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,-19237.0,,,,,,,,,,10300000.0,,,,,
2014-10-31,2015-02-13,10-K,ARAX HOLDINGS CORP.,ARAT,CIK0001566243,USD,0.0,25548.0,,,,,,,0.0,0.0,0.0,,0.0,0.0,-3752.0,,0.0,0.001,75000000.0,10300000.0,10300000.0,10300.0,0.0,,,,4848.0,,0.0,,,29.0,29.0,0.0,0.0,81306.0,,,,,,0.0,,,,0.0,-428.0,-428.0,,,,,-50294.0,0.0,0.0,,,,0.0,,,,0.0,0.0,,0.0,,,45458.0,0.0,45458.0,0.0,46085.0,,0.0,-49837.0,,,-50294.0,,,,45458.0,50294.0,-50294.0,,0.0,,,0.0,,,,,,,,0.0,,0.0,0.0,,46085.0,49813.0,-50294.0,,0.0,0.0,,,,0.0,-81306.0,0.0,,,,,,,,,,,,,,,,0.0,-45458.0,,,,,,,,,,10300000.0,,,,,
2015-01-31,2015-03-23,10-Q,ARAX HOLDINGS CORP.,ARAT,CIK0001566243,USD,,25548.0,,,,,,0.0,,2000.0,2000.0,,0.0,,0.0,,0.0,0.001,75000000.0,10300000.0,10300000.0,10300.0,,7557.0,,,0.0,,,,,0.0,0.0,,,88863.0,,,,,,0.0,,,,,0.0,0.0,,,,-7557.0,,0.0,0.0,,,,,,,2000.0,,,,0.0,,,55015.0,2000.0,55015.0,,9557.0,9557.0,0.0,-9557.0,-9557.0,,-7557.0,,,,55015.0,7557.0,-7557.0,88863.0,,,,,,,,,,,,2000.0,,,,,9557.0,7557.0,-7557.0,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,-53015.0,,,,,,,,,,10300000.0,,,,,
2015-04-30,2015-06-19,10-Q,ARAX HOLDINGS CORP.,ARAT,CIK0001566243,USD,,25548.0,,,,,,,,0.0,0.0,,,,,,,0.001,75000000.0,10300000.0,10300000.0,10300.0,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,-28870.0,,,0.0,,,,,,,,,0.0,,,,,,60135.0,0.0,60135.0,,14677.0,,,-14677.0,,,-28870.0,,,,60135.0,28870.0,-28870.0,95983.0,,,,0.0,,,,,,,,,,,,,14677.0,28870.0,-14677.0,,,,,,,,-95983.0,0.0,,,,,,,,,,,,,,,,,-60135.0,,,,,,,,0.0,,10300000.0,,,,,
2015-07-31,2015-09-18,10-Q,ARAX HOLDINGS CORP.,ARAT,CIK0001566243,USD,,25548.0,,,,,,0.0,,0.0,0.0,,0.0,,,,,0.001,75000000.0,10300000.0,10300000.0,10300.0,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,0.0,,2533.0,,-8033.0,,,0.0,,,,,,,,,,,,,,,68168.0,0.0,68168.0,,,,,,,,-8033.0,,,,68168.0,8033.0,-8033.0,104016.0,0.0,,,,,,,,,,,,,,,,,5500.0,,,,,,,,,-104016.0,0.0,,,,,,,,,,,,,,,,,-68168.0,,,,,,,,,,10300000.0,,,,,
