end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableCurrent,AccountsReceivableNetCurrent,AccruedLiabilitiesCurrent,AccruedPayrollTaxesCurrent,AccruedRentCurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AdditionalPaidInCapital,AdjustmentsToAdditionalPaidInCapitalConvertibleDebtWithConversionFeature,AllocatedShareBasedCompensationExpense,AllowanceForDoubtfulAccountsReceivableCurrent,AmortizationOfDebtDiscountPremium,Assets,AssetsCurrent,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CashEquivalentsAtCarryingValue,CommitmentsAndContingencies,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ConvertibleNotesPayable,CostOfGoodsAndServicesSold,CostOfRevenue,DebtConversionConvertedInstrumentRate,DebtInstrumentConvertibleBeneficialConversionFeature,DebtInstrumentConvertibleConversionPrice1,DebtInstrumentFaceAmount,DebtInstrumentInterestRateDuringPeriod,DebtInstrumentInterestRateStatedPercentage,DepreciationAndAmortization,DepreciationDepletionAndAmortization,EarningsPerShareBasicAndDiluted,EffectOfExchangeRateOnCashAndCashEquivalents,GeneralAndAdministrativeExpense,GrossProfit,IncomeLossFromContinuingOperations,IncomeLossFromContinuingOperationsAttributableToNoncontrollingEntity,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeTaxExpenseBenefit,IncomeTaxesPaidNet,IncreaseDecreaseInAccountsAndOtherReceivables,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInInventories,IncreaseDecreaseInOtherCurrentAssets,IncreaseDecreaseInOtherCurrentLiabilities,IncreaseDecreaseInOtherOperatingAssets,IncreaseDecreaseInOtherReceivables,IncreaseDecreaseInPrepaidExpense,InterestExpense,InterestExpenseOther,InterestIncomeExpenseNet,InterestPaidNet,InterestPayableCurrent,InventoryNet,LaborAndRelatedExpense,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LineOfCredit,LineOfCreditFacilityInterestRateDuringPeriod,LoansPayable,LoansPayableCurrent,LongTermNotesPayable,MinorityInterest,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NetIncomeLossAttributableToNoncontrollingInterest,NetIncomeLossAvailableToCommonStockholdersBasic,NonoperatingIncomeExpense,NotesPayableCurrent,OperatingExpenses,OperatingIncomeLoss,OperatingLeaseExpense,OtherAccruedLiabilitiesCurrent,OtherAssetsNoncurrent,OtherIncome,OtherNonoperatingIncome,OtherReceivablesNetCurrent,PaymentsForProceedsFromOtherDeposits,PaymentsToAcquirePropertyPlantAndEquipment,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpenseCurrent,ProceedsFromConvertibleDebt,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOfLongTermDebt,ProceedsFromIssuanceOfPreferredStockAndPreferenceStock,ProceedsFromIssuanceOfPrivatePlacement,ProceedsFromNotesPayable,ProceedsFromRepaymentsOfNotesPayable,ProceedsFromRepaymentsOfShortTermDebt,ProceedsFromRepaymentsOfShortTermDebtMaturingInMoreThanThreeMonths,ProfessionalAndContractServicesExpense,ProfitLoss,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,RepaymentsOfNotesPayable,RepaymentsOfShortTermDebt,RetainedEarningsAccumulatedDeficit,RevenueFromContractWithCustomerExcludingAssessedTax,Revenues,SalariesWagesAndOfficersCompensation,SalesAndExciseTaxPayableCurrent,ShareBasedCompensation,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueOther,ValueAddedTaxReceivableCurrent,WeightedAverageNumberOfShareOutstandingBasicAndDiluted
2018-09-30,2018-11-09,10-Q,KISSES FROM ITALY INC.,KITL,CIK0001608092,USD,37494.0,,122302.0,102283.0,,128297.0,1615062.0,19814.0,,,,125018.0,23639.0,,20935.0,,,,,0.001,200000000.0,81780170.0,81780170.0,81780.0,208150.0,,65355.0,,,,250000.0,,0.08,,9939.0,0.0,,40951.0,49638.0,,,-127760.0,0.0,,,,,,,,,,,,,,-23297.0,,4641.0,,59489.0,159796.0,125018.0,159796.0,0.0,,,0.0,,33073.0,,,,-117609.0,-10151.0,-127760.0,10435.0,,187834.0,-138196.0,12630.0,,1093.0,33732.0,33732.0,2704.0,,,0.001,25000000.0,0.0,0.0,0.0,,,,,,,,,,,64825.0,-127760.0,228584.0,100287.0,,,-1972843.0,,114993.0,0.0,15379.0,0.0,-276001.0,-242927.0,,,,,,81780170.0
2018-12-31,2019-04-16,10-K,KISSES FROM ITALY INC.,KITL,CIK0001608092,USD,50374.0,,158089.0,109642.0,12114.0,138236.0,1638253.0,92457.0,,,92457.0,114318.0,22877.0,22877.0,22877.0,-29078.0,,22877.0,,0.001,200000000.0,81780170.0,81780170.0,81780.0,277650.0,209568.0,209568.0,,92457.0,,500000.0,,0.08,39573.0,39753.0,-0.01,,111808.0,234853.0,,-25574.0,-471022.0,0.0,0.0,,36893.0,,34747.0,0.0,0.0,,0.0,0.0,,0.0,,-114286.0,0.0,21728.0,0.0,174225.0,491756.0,114318.0,214106.0,5643.0,,,5643.0,,27160.0,238094.0,0.0,-267172.0,-445448.0,-25574.0,-445448.0,-114286.0,,591589.0,-356736.0,99843.0,2000.0,1093.0,,,0.0,,0.0,0.001,25000000.0,0.0,0.0,0.0,,277650.0,,,0.0,0.0,,,-39556.0,,149007.0,-471022.0,228584.0,90348.0,,,-2124631.0,444421.0,444421.0,16953.0,12605.0,0.0,-404598.0,-377438.0,,,,,,81780170.0
2019-03-31,2019-05-20,10-Q,KISSES FROM ITALY INC.,KITL,CIK0001608092,USD,65691.0,,152163.0,112198.0,0.0,148764.0,1671886.0,33633.0,,,33633.0,114606.0,31694.0,31694.0,31694.0,8817.0,,,,0.001,200000000.0,81780170.0,81780170.0,81780.0,378650.0,48144.0,48144.0,0.0007,126090.0,,250000.0,,0.08,10528.0,10528.0,0.0,0.0,28165.0,67428.0,-135962.0,-6197.0,-142159.0,0.0,0.0,,15319.0,,-5927.0,,,0.0,0.0,,,,,-47681.0,0.0,19266.0,,70386.0,600570.0,114606.0,221920.0,4066.0,,,4066.0,,20963.0,99423.0,-2000.0,-88606.0,-135962.0,-6197.0,-135962.0,-47681.0,,161906.0,-94478.0,31455.0,0.0,1092.0,,,,,2000.0,0.001,25000000.0,0.0,0.0,0.0,,101000.0,,,0.0,101000.0,,,-1577.0,,21372.0,-142159.0,230584.0,81820.0,,1577.0,-2260593.0,,115572.0,0.0,20699.0,0.0,-506927.0,-485964.0,,,,,,81780170.0
2019-06-30,2019-08-19,10-Q,KISSES FROM ITALY INC.,KITL,CIK0001608092,USD,79501.0,,161989.0,113026.0,0.0,159493.0,1692799.0,20913.0,,,,84903.0,10422.0,10422.0,10422.0,,,,,0.001,200000000.0,81780170.0,81780170.0,81780.0,441450.0,78790.0,78790.0,,,,,,,,10730.0,0.0,,77112.0,83639.0,,,-142286.0,0.0,,,,,,,,,,,,,,-26004.0,,28430.0,,68420.0,692241.0,84903.0,250791.0,9301.0,,,9301.0,,17586.0,,,,-138909.0,-3377.0,-142286.0,-26004.0,,199921.0,-116282.0,33418.0,0.0,1092.0,,,,,,0.001,25000000.0,0.0,0.0,0.0,,,,,,,,,,,10241.0,-142286.0,232882.0,73389.0,,,-2399503.0,162429.0,162429.0,0.0,20533.0,0.0,-624924.0,-607338.0,,,,,,81780170.0
2019-09-30,2019-11-19,10-Q,KISSES FROM ITALY INC.,KITL,CIK0001608092,USD,79504.0,,131214.0,124367.0,0.0,170476.0,2443615.0,20913.0,0.0,,,163323.0,97366.0,97366.0,97366.0,,,97366.0,,0.001,200000000.0,92074455.0,92074455.0,92074.0,10000.0,39659.0,39659.0,,,,,,,,10983.0,0.0,,32687.0,54175.0,,,-215700.0,0.0,,,,,,,,,,,,,,-88988.0,,2966.0,,63933.0,225251.0,163323.0,215251.0,4533.0,,,4533.0,,14418.0,,,,-212532.0,-3168.0,-215700.0,-88988.0,,180887.0,-126712.0,17127.0,0.0,1092.0,0.0,,,,,0.001,25000000.0,0.0,0.0,0.0,,,,,,,,,,,56157.0,-215700.0,235341.0,64865.0,,,-2612035.0,93834.0,371835.0,0.0,3881.0,,-76346.0,-61928.0,,,,,,81892064.0
2019-12-31,2020-05-18,10-K,KISSES FROM ITALY INC.,KITL,CIK0001608092,USD,65486.0,0.0,143276.0,132706.0,0.0,181583.0,4945109.0,55669.0,372755.0,,160583.0,95048.0,33270.0,26841.0,26841.0,3964.0,3964.0,26841.0,0.0,0.001,200000000.0,126550535.0,126550535.0,126550.0,10000.0,214357.0,,,,,,,,43303.0,43303.0,-0.03,0.0,150307.0,246941.0,,-21092.0,-3103952.0,0.0,0.0,,15112.0,0.0,-14813.0,1987.0,,,1572.0,4442.0,,175000.0,175000.0,-339362.0,0.0,2940.0,1987.0,234778.0,224762.0,95048.0,214762.0,0.0,,6000.0,6000.0,0.0,6068.0,438904.0,-12069.0,-422871.0,-3082860.0,-21092.0,-3082860.0,-339362.0,,3011531.0,-2764590.0,121881.0,0.0,2664.0,,,4442.0,,12069.0,,,,,,0.0,388547.0,0.0,,50000.0,,0.0,,357.0,357.0,102832.0,-3103952.0,240697.0,59114.0,,,-5207491.0,461298.0,461298.0,48633.0,7630.0,2309897.0,-135782.0,-129714.0,,,225000.0,2309897.0,,92838606.0
2020-03-31,2020-06-29,10-Q,KISSES FROM ITALY INC.,KITL,CIK0001608092,USD,67470.0,,158716.0,144308.0,,194566.0,5399211.0,55669.0,,,351920.0,63281.0,14958.0,8643.0,8643.0,-18785.0,,8643.0,,0.001,200000000.0,127092335.0,127092335.0,127092.0,10000.0,43974.0,,,,,,,,8480.0,12951.0,0.0,587.0,43257.0,65771.0,,2004.0,-497901.0,0.0,0.0,,1985.0,0.0,15440.0,0.0,,,-29.0,,,,,-354633.0,0.0,1145.0,1951.0,47018.0,236186.0,63281.0,226186.0,0.0,,,,,8072.0,60490.0,0.0,-79275.0,-499905.0,2004.0,-499905.0,-354633.0,,209040.0,-143268.0,29689.0,,2635.0,,,4364.0,,0.0,,,,,,,0.0,0.0,,66490.0,,,,-6000.0,,29830.0,-497901.0,240254.0,45688.0,,,-5707396.0,,109746.0,9994.0,13263.0,36301.0,-180977.0,-172905.0,,36301.0,66490.0,,,127092335.0
2020-06-30,2020-08-12,10-Q,KISSES FROM ITALY INC.,KITL,CIK0001608092,USD,73376.0,,150875.0,148442.0,,207558.0,7503088.0,,,,,323569.0,288308.0,281993.0,281993.0,,,281993.0,,0.001,200000000.0,144202335.0,144202335.0,144202.0,10000.0,7511.0,,,,0.0667,47171.0,,,,13034.0,-0.01,,13448.0,293410.0,,-1707.0,-1905849.0,0.0,,,,,,,,,,,,,,-107791.0,,597.0,1951.0,11532.0,281422.0,323569.0,224251.0,0.0,,,0.0,47171.0,6365.0,,,,-1904140.0,-1707.0,-1904142.0,-107791.0,,2091468.0,-1798058.0,28914.0,,2565.0,,,4364.0,,,,,,,,0.0,,,,,,,,,,39914.0,-1905849.0,240254.0,32696.0,,,-7611538.0,300921.0,300921.0,2687.0,1836.0,1981939.0,35782.0,42147.0,,1982000.0,32600.0,,,129957170.0
2020-09-30,2020-11-13,10-Q,KISSES FROM ITALY INC.,KITL,CIK0001608092,USD,46630.0,,138770.0,135722.0,,220583.0,8335553.0,,0.0,,,129493.0,106556.0,99838.0,99838.0,,,99838.0,0.0,0.001,200000000.0,152112335.0,152112335.0,152112.0,10000.0,29164.0,,,,0.0667,47171.0,,,,12992.0,-0.01,,38419.0,15167.0,,-6365.0,-960630.0,0.0,,,,,,,,,,,,,,-34943.0,,1823.0,2076.0,29576.0,207571.0,129493.0,185400.0,0.0,,,0.0,12171.0,0.0,,,,-954265.0,-6365.0,-954265.0,-34943.0,,940854.0,-925687.0,49269.0,,2635.0,,,4642.0,,,,,,,,,,,,,,,,,,85648.0,-960630.0,240885.0,20302.0,35000.0,,-8565803.0,44331.0,44331.0,4950.0,1225.0,720000.0,-78078.0,-78078.0,203.0,770000.0,36777.0,,,150776792.0
2020-12-31,2021-04-15,10-K,KISSES FROM ITALY INC.,KITL,CIK0001608092,USD,64762.0,5761.0,148519.0,142648.0,,233399.0,8612683.0,,2258201.0,0.0,491645.0,63102.0,51987.0,,37336.0,,10495.0,37336.0,0.0,0.001,200000000.0,154832335.0,154832335.0,154832.0,10000.0,114101.0,,,,,,,,51970.0,51970.0,-0.03,-1283.0,154495.0,399937.0,,-29120.0,-3738522.0,0.0,0.0,,-724.0,5761.0,5243.0,0.0,,,-29.0,2064.0,,,0.0,-497613.0,0.0,2067.0,4051.0,123079.0,235452.0,63102.0,213281.0,0.0,,0.0,0.0,12171.0,-23052.0,181761.0,0.0,-169984.0,-3709402.0,-29120.0,-3709402.0,-497613.0,12171.0,3640846.0,-3240909.0,125644.0,,2635.0,,,4839.0,,0.0,,,,,,,0.0,19990.0,,155600.0,,12171.0,,,-6000.0,189826.0,-3738522.0,241879.0,8480.0,,,-8916893.0,,514038.0,17631.0,3804.0,3028201.0,-149298.0,-172350.0,203.0,3028201.0,155847.0,,4839.0,140515422.0
