end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableCurrent,AccountsPayableRelatedPartiesCurrent,AdditionalPaidInCapital,AdditionalPaidInCapitalCommonStock,AdjustmentsToAdditionalPaidInCapitalOther,Assets,AssetsCurrent,AssetsNoncurrent,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CashEquivalentsAtCarryingValue,CashUninsuredAmount,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ConvertibleDebt,ConvertibleLongTermNotesPayable,ConvertibleNotesPayableCurrent,CurrentFederalTaxExpenseBenefit,CurrentIncomeTaxExpenseBenefit,DebtInstrumentConvertibleConversionPrice1,DeferredRevenueCurrent,DeferredTaxAssetsGross,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsTaxDeferredExpense,DeferredTaxAssetsValuationAllowance,DueToRelatedPartiesCurrent,EarningsPerShareBasic,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,GeneralAndAdministrativeExpense,ImpairmentOfIntangibleAssetsIndefinitelivedExcludingGoodwill,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,IncomeTaxExaminationPenaltiesAccrued,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInDeferredRevenue,IncreaseDecreaseInDueToRelatedPartiesCurrent,IncreaseDecreaseInIntangibleAssetsCurrent,IncreaseDecreaseInInterestPayableNet,IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,IncreaseDecreaseInPrepaidExpense,IntangibleAssetsCurrent,InterestExpense,InterestExpenseDebt,InterestExpenseRelatedParty,InterestIncomeExpenseNet,InterestPayableCurrent,InvestmentIncomeInterest,LeaseAndRentalExpense,LesseeOperatingLeaseDiscountRate,LesseeOperatingLeaseLiabilityPaymentsDue,LesseeOperatingLeaseLiabilityPaymentsDueNextTwelveMonths,LesseeOperatingLeaseLiabilityPaymentsDueYearFour,LesseeOperatingLeaseLiabilityPaymentsDueYearThree,LesseeOperatingLeaseLiabilityPaymentsDueYearTwo,LesseeOperatingLeaseLiabilityUndiscountedExcessAmount,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LoansPayableCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NonoperatingIncomeExpense,OperatingExpenses,OperatingIncomeLoss,OperatingLeaseCost,OperatingLeaseLiability,OperatingLeaseLiabilityCurrent,OperatingLeaseLiabilityNoncurrent,OperatingLeasePayments,OperatingLeaseRightOfUseAsset,OperatingLeasesFutureMinimumPaymentsDue,OperatingLeasesFutureMinimumPaymentsDueCurrent,OperatingLeasesFutureMinimumPaymentsDueInFiveYears,OperatingLeasesFutureMinimumPaymentsDueInFourYears,OperatingLeasesFutureMinimumPaymentsDueInThreeYears,OperatingLeasesFutureMinimumPaymentsDueInTwoYears,OperatingLeaseWeightedAverageDiscountRatePercent,OperatingLossCarryforwards,OtherGeneralAndAdministrativeExpense,OtherNonoperatingExpense,OtherPrepaidExpenseCurrent,PaymentsToAcquireIntangibleAssets,PaymentsToAcquirePropertyPlantAndEquipment,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PrepaidExpenseCurrent,ProceedsFromContributionsFromAffiliates,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOrSaleOfEquity,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfDebt,ProfessionalFees,ProfitLoss,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,RepaymentOfNotesReceivableFromRelatedParties,RepaymentsOfRelatedPartyDebt,ResearchAndDevelopmentExpense,RetainedEarningsAccumulatedDeficit,RevenueFromRelatedParties,Revenues,SellingGeneralAndAdministrativeExpense,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockIssuedDuringPeriodValueNewIssues,ValuationAllowanceDeferredTaxAssetChangeInAmount,WeightedAverageNumberDilutedSharesOutstandingAdjustment,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasicAndDiluted,AmortizationOfLeasedAsset
2014-08-31,2014-10-14,10-Q,"WEWARDS, INC.",WEWA,CIK0001616156,USD,468.0,,,,,8338.0,2338.0,6000.0,1588.0,-1907.0,,,,,75000000.0,6000000.0,6000000.0,6000.0,,,,,0.0,,,,,,,,0.0,0.0,,,,,6387.0,,,,468.0,,,,,-750.0,,,-750.0,,,,,,,,,,,,,,,,,8861.0,8338.0,,8393.0,4762.0,,-6669.0,-6387.0,,6387.0,-6387.0,,,,,,,,,,,,,,,,,,,,,,,,750.0,0.0,,,4762.0,4762.0,,-6387.0,6000.0,,0.0,,,-6523.0,,0.0,6387.0,,-523.0,,,0.0,6000000.0,6000000.0,
2014-11-30,2014-12-29,10-Q,"WEWARDS, INC.",WEWA,CIK0001616156,USD,387.0,,,18358.0,,8141.0,2141.0,6000.0,2141.0,,,,,,75000000.0,8130000.0,8130000.0,8130.0,,,,,0.0,,,,,,,,0.0,0.0,,,,,23515.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11691.0,8141.0,,11304.0,,,,-23515.0,,23515.0,-23515.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6000.0,,,,,-30038.0,,0.0,23515.0,,-3550.0,,,,6866374.0,6866374.0,
2015-02-28,2015-04-08,10-Q,"WEWARDS, INC.",WEWA,CIK0001616156,USD,468.0,,,18358.0,,6676.0,676.0,6000.0,676.0,,,,,,75000000.0,,,8130.0,,,,,0.0,,,,,,,,0.0,0.0,,,,,3545.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13772.0,6676.0,,13304.0,,,,-3545.0,,3545.0,-3545.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6000.0,,,,,-33584.0,,0.0,3545.0,,-7096.0,,,,8130000.0,8130000.0,
2015-05-31,2015-08-28,10-K,"WEWARDS, INC.",WEWA,CIK0001616156,USD,468.0,,27661.0,,9303.0,22.0,22.0,,22.0,-3473.0,,,,0.001,75000000.0,8130000.0,8130000.0,8130.0,,,,12274.0,,,,,12321.0,,12321.0,,0.0,,,0.34,,,18547.0,,,,468.0,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,468.0,,32160.0,,-35633.0,-36101.0,,36101.0,-36101.0,,,,,,,,,,,,,,36237.0,,,,,,,,,,,,20488.0,,11672.0,,17554.0,,,,,,,-36237.0,,,,-446.0,,20488.0,,0.0,7278082.0,,
2015-08-31,2015-10-13,10-Q,"WEWARDS, INC.",WEWA,CIK0001616156,USD,1218.0,,27661.0,,,,,,,-22.0,,,,0.001,75000000.0,8130000.0,8130000.0,8130.0,,,,,,,,,,,,25489.0,0.0,,,,,,834.0,,-26261.0,,750.0,750.0,,,,,,,,,,,,,,,,,,,,,,,,,,26707.0,,25489.0,,-25511.0,-26261.0,,26261.0,-26261.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,25489.0,,25427.0,,,,,,,-62498.0,,,,-26707.0,,,,0.0,8130000.0,,
2015-11-30,2016-01-13,10-Q,"WEWARDS, INC.",WEWA,CIK0001616156,USD,6200.0,,27661.0,,,,,,,,,,,0.001,75000000.0,8130000.0,8130000.0,8130.0,,,,,,,,,,,,53612.0,0.0,,,,,,795.0,,-33105.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59812.0,,,,,-33105.0,,33105.0,-33105.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32310.0,,,,,,,-95603.0,,,,-59812.0,,,,,8130000.0,,
2016-02-29,2016-04-04,10-Q,"WEWARDS, INC.",WEWA,CIK0001616156,USD,,,27661.0,,,55200.0,55200.0,,55200.0,,,,,0.001,75000000.0,8130000.0,8130000.0,8130.0,,,,,,,,,,,,124653.0,0.0,,,,,,495.0,,-9641.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,55200.0,124653.0,,,,,-9641.0,,9641.0,-9641.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9146.0,,,,,,,-105244.0,,,,-69453.0,,,,,8130000.0,,
2016-05-31,2016-08-25,10-K,"WEWARDS, INC.",WEWA,CIK0001616156,USD,,,27661.0,,,46755.0,46755.0,,46755.0,46733.0,,,,0.001,500000000.0,8130000.0,8130000.0,8130.0,,,,26334.0,,,,,38654.0,,38654.0,124653.0,-0.01,,,0.34,,,2425.0,,-77452.0,,-468.0,-468.0,,,,,,,,,,,,,,,,,,,,,,,,124653.0,46755.0,124653.0,,124653.0,,-77920.0,-77452.0,,77452.0,-77452.0,,,,,,,,,,,,,,114000.0,,,,,,0.001,50000000.0,0.0,0.0,,,,,124653.0,,75027.0,,,,,,,-113689.0,,,,-77898.0,,,,0.0,8130000.0,,
2016-08-31,2016-10-21,10-Q,"WEWARDS, INC.",WEWA,CIK0001616156,USD,,,27661.0,,,452862.0,452862.0,,452862.0,406107.0,,,,0.001,250000000.0,8130000.0,8130000.0,8130.0,,1000000.0,,,,,,,,,,174153.0,0.0,,,,,,1838.0,,-647560.0,,,4167.0,,,,,,,,,,4167.0,,,,4167.0,,,,,,,,,,1178320.0,452862.0,178320.0,,1049500.0,,-643393.0,-647560.0,-4167.0,643393.0,-643393.0,,,,,,,,,,,,,,,,,,,,0.001,50000000.0,0.0,0.0,,,,,1049500.0,,19850.0,,,,,,621705.0,-761249.0,,,,-725458.0,,,,,8130000.0,,
2016-11-30,2017-01-17,10-Q,"WEWARDS, INC.",WEWA,CIK0001616156,USD,,,27662.0,,,878710.0,878710.0,,878710.0,,,,,0.001,250000000.0,8130000.0,8130000.0,8130.0,,3000000.0,,,,0.04,,,,,,174152.0,-0.2,,,,,,630.0,,-1604569.0,,,,,,,,,,,,,30417.0,,,,34584.0,,,,,,,,,,3208736.0,878710.0,208736.0,,,,,-1604569.0,-30417.0,1574152.0,-1574152.0,,,,,,,,,,,,,,,,,,,,0.001,50000000.0,0.0,0.0,,,,,,,31345.0,,,,,,1542177.0,-2365818.0,,,,-2330026.0,,,,,8130000.0,,
