end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableCurrent,AccountsPayableOtherCurrent,AccountsPayableRelatedPartiesCurrent,AccruedLiabilitiesAndOtherLiabilities,AccruedLiabilitiesCurrent,AccruedLiabilitiesFairValueDisclosure,AccumulatedOtherComprehensiveIncomeLossNetOfTax,AdditionalPaidInCapital,AdditionalPaidInCapitalCommonStock,AdjustmentsToAdditionalPaidInCapitalOther,AdjustmentsToAdditionalPaidInCapitalShareBasedCompensationStockOptionsRequisiteServicePeriodRecognition,AdjustmentsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities,AmortizationOfIntangibleAssets,Assets,AssetsCurrent,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashAndCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CommitmentsAndContingencies,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,CostOfGoodsAndServicesSold,DeferredTaxAssetsGross,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsOther,DeferredTaxAssetsValuationAllowance,DepositsAssetsCurrent,DueToOfficersOrStockholdersCurrentAndNoncurrent,DueToRelatedPartiesCurrent,DueToRelatedPartiesCurrentAndNoncurrent,EarningsPerShareBasic,EarningsPerShareBasicAndDiluted,EarningsPerShareDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,EffectiveIncomeTaxRateReconciliationTaxCredits,GainsLossesOnExtinguishmentOfDebt,GeneralAndAdministrativeExpense,GrossProfit,IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncomeTaxesPaidNet,IncreaseDecreaseDueFromOtherRelatedParties,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInAccountsPayableTrade,IncreaseDecreaseInAccruedInterestReceivableNet,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInDueToOfficersAndStockholdersCurrent,IncreaseDecreaseInDueToOtherRelatedParties,IncreaseDecreaseInDueToRelatedParties,IncreaseDecreaseInNotesPayableRelatedParties,IncreaseDecreaseInNotesPayableRelatedPartiesCurrent,IncreaseDecreaseInOtherAccountsPayable,IncreaseDecreaseInOtherAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInOtherAccruedLiabilities,IncreaseDecreaseInOtherCurrentAssets,IncreaseDecreaseInOtherCurrentLiabilities,IncreaseDecreaseInPrepaidExpense,IntangibleAssetsCurrent,IntangibleAssetsNetExcludingGoodwill,InterestExpense,InterestIncomeExpenseNet,InterestPaid,InterestPayableCurrentAndNoncurrent,LegalFees,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NetIncomeLossAvailableToCommonStockholdersBasic,NotesPayable,NotesPayableRelatedPartiesClassifiedCurrent,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OtherGeneralAndAdministrativeExpense,OtherPrepaidExpenseCurrent,PaymentsToAcquireOtherPropertyPlantAndEquipment,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpenseCurrent,ProceedsFromContributedCapital,ProceedsFromIssuanceInitialPublicOffering,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOfDebt,ProceedsFromOtherShortTermDebt,ProceedsFromRepaymentsOfRelatedPartyDebt,ProfessionalFees,ProfitLoss,RepaymentsOfNotesPayable,RetainedEarningsAccumulatedDeficit,RevenueFromContractWithCustomerIncludingAssessedTax,Revenues,SalesRevenueNet,ShareBasedCompensation,SharesIssued,SharesOutstanding,ShortTermNonBankLoansAndNotesPayable,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockIssuedDuringPeriodSharesIssuedForServices,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodSharesOther,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueOther,StockRepurchasedDuringPeriodValue,TreasuryStockCommonValue,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic
2014-12-31,2015-01-09,10-Q,"PO YUEN CULTURAL HOLDINGS (HONG KONG) CO., LTD.",POYN,CIK0001617431,USD,,75000.0,,,,,,,-50.0,,,,,11780.0,105298.0,105298.0,,105298.0,,,,,150000000.0,20050000.0,,20050.0,0.0,,,,,,,,,,,0.0,,,,,,,30925.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,757022.0,,-1664.0,,2405.0,,,105298.0,187405.0,,,,,,112405.0,110000.0,30925.0,-30925.0,,,,,,25000000.0,0.0,,,,,,,,,,,-32589.0,,-102107.0,,,0.0,,,,,-82107.0,,,,,,,,,,,,20050000.0
2015-03-31,2015-05-11,10-K,"PO YUEN CULTURAL HOLDINGS (HONG KONG) CO., LTD.",POYN,CIK0001617431,USD,105000.0,105000.0,,,,,,,35788.0,,,20000.0,,,131448.0,131448.0,,131448.0,131448.0,,,,150000000.0,20412000.0,20412000.0,20412.0,0.0,56075.0,0.0,50324.0,0.0,-50324.0,,,,,,-0.01,,0.0,-0.35,-0.05,0.35,0.0,139752.0,0.0,,,,,,,,0.0,,105000.0,4032.0,,,105000.0,,,,110000.0,,,,,,,,,,,-4032.0,0.0,4032.0,,219032.0,131448.0,219032.0,146200.0,0.0,-14752.0,-143784.0,,114032.0,110000.0,139752.0,-139752.0,143784.0,,,0.0,,25000000.0,0.0,,0.0,,0.0,,36200.0,110000.0,,,,-143784.0,,-143784.0,,,0.0,20000.0,,,,-87584.0,,20050000.0,36200.0,,,362600.0,,,,,20117656.0,20117656.0
2015-06-30,2015-07-23,10-Q,"PO YUEN CULTURAL HOLDINGS (HONG KONG) CO., LTD.",POYN,CIK0001617431,USD,,135537.0,,,,,,,35788.0,,,0.0,,,11363.0,11363.0,,11363.0,-120085.0,,,,150000000.0,20412000.0,,20412.0,0.0,,,,,,,,,,,0.0,,,,,,,36065.0,0.0,,,,,,,,0.0,,30980.0,-4476.0,,,30980.0,,,0.0,,,,,-4476.0,,,,,,524.0,-524.0,4557.0,,,,11363.0,135537.0,-110000.0,0.0,-10085.0,-36589.0,,0.0,,36065.0,-36065.0,,,,0.0,,25000000.0,0.0,,0.0,,,,0.0,-110000.0,,,,-36589.0,110000.0,-180374.0,,,0.0,,,,,-124174.0,,,,,,,,,,,20412000.0,20412000.0
2015-09-30,2015-11-03,10-Q,"PO YUEN CULTURAL HOLDINGS (HONG KONG) CO., LTD.",POYN,CIK0001617431,USD,,148500.0,,,,,,,35788.0,,,,,,7095.0,7095.0,,7095.0,,,,,150000000.0,20412000.0,,20412.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,17231.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,7095.0,148500.0,,,,-17231.0,,0.0,,-17231.0,-17231.0,,,,,,25000000.0,0.0,,0.0,,,,,,,,,-17231.0,,-197605.0,,,0.0,,,,,-141405.0,,,,,,,,,,,,20412000.0
2015-12-31,2016-01-19,10-Q,"PO YUEN CULTURAL HOLDINGS (HONG KONG) CO., LTD.",POYN,CIK0001617431,USD,,154500.0,,,,,,,35788.0,,,,,,5141.0,5141.0,,5141.0,,,,,150000000.0,20412000.0,,20412.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,7955.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,5141.0,154500.0,,,,-7955.0,,0.0,,-7955.0,-7955.0,,,,,,25000000.0,0.0,,0.0,,,,,,,,,-7955.0,,-205559.0,,,0.0,,,,,-149359.0,,,,,,,,,,,,20412000.0
2016-03-31,2016-06-24,10-K,"PO YUEN CULTURAL HOLDINGS (HONG KONG) CO., LTD.",POYN,CIK0001617431,USD,11434.0,,,,,11434.0,11434.0,,168387.0,,,,,,0.0,,0.0,0.0,-131448.0,,,0.001,150000000.0,19412000.0,19412000.0,19412.0,,,0.0,69732.0,,-69732.0,,,,0.0,0.0,0.0,,0.0,-0.35,,0.35,46750.0,101674.0,,,,,,,,,0.0,-110000.0,,-93566.0,,-4032.0,-93566.0,,,,-110000.0,,,,,,,131599.0,,,-525.0,-525.0,0.0,,,11434.0,0.0,11434.0,21599.0,,-153047.0,-55449.0,,0.0,,-101674.0,-101674.0,-199233.0,,,,0.001,25000000.0,0.0,0.0,0.0,,131599.0,,0.0,,,,,-55449.0,,-199233.0,,,0.0,0.0,,19412000.0,,-11434.0,-11434.0,3050000.0,,,20000.0,,,0.0,,,19412000.0,19412000.0
2016-06-30,2016-08-12,10-Q,"PO YUEN CULTURAL HOLDINGS (HONG KONG) CO., LTD.",POYN,CIK0001617431,USD,,,,,,,15108.0,,168387.0,,,,,,0.0,,,0.0,0.0,,,0.001,150000000.0,19412000.0,19412000.0,19412.0,,,,,,,,,,22909.0,0.0,0.0,,,,,,,26583.0,,,,,,,,,0.0,22909.0,,3673.0,,,3673.0,,,22909.0,,,,,0.0,,,,,,0.0,,0.0,,,38017.0,0.0,,0.0,,0.0,-26583.0,,,,-26583.0,-26583.0,,,,,0.001,25000000.0,0.0,0.0,0.0,,,,,,,,,,0.0,-225816.0,,,0.0,,,,,-38017.0,,,,,,,,,,,19412000.0,19412000.0
2016-09-30,2016-11-14,10-Q,"PO YUEN CULTURAL HOLDINGS (HONG KONG) CO., LTD.",POYN,CIK0001617431,USD,,,,,,4815.0,,,168387.0,,,,,,488.0,488.0,488.0,,,,,0.001,150000000.0,19412000.0,19412000.0,19412.0,,,,,,,,,41907.0,,0.0,,,,,,,,8217.0,,-8217.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,488.0,46722.0,,,,-8217.0,,,,8217.0,-8217.0,,,,,0.001,25000000.0,0.0,0.0,,,,,,,,,,,,-234033.0,,0.0,,,,,,-46234.0,,,,,,,,,,,,19412000.0
2016-12-31,2017-02-13,10-Q,"PO YUEN CULTURAL HOLDINGS (HONG KONG) CO., LTD.",POYN,CIK0001617431,USD,,,,,,2554.0,,,168387.0,,,,,,527.0,527.0,527.0,,,,,0.001,150000000.0,19412000.0,19412000.0,19412.0,,,,,,,,,53007.0,,0.0,,,,,,,,8801.0,,-8801.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,527.0,55561.0,,,,-8801.0,,,,8801.0,-8801.0,,,,,0.001,25000000.0,0.0,0.0,,,,,,,,,,,,-242833.0,,0.0,,,,,,-55034.0,,,,,,,,,,,,19412000.0
2017-03-31,2017-06-29,10-K,"PO YUEN CULTURAL HOLDINGS (HONG KONG) CO., LTD.",POYN,CIK0001617431,USD,9555.0,,9555.0,58761.0,,9555.0,,-255498.0,168387.0,,,,-1880.0,,617.0,617.0,617.0,617.0,617.0,,0.0,0.001,150000000.0,19412000.0,19412000.0,19412.0,,,,,,,,,58761.0,,0.0,,0.0,,,,,,56265.0,,,-56265.0,,-56265.0,,,,,58762.0,-1880.0,-1879.0,,,,,,,,,,,,,,,,,,,,,,68316.0,617.0,68316.0,58762.0,,-58145.0,-56265.0,,,,56265.0,-56265.0,,,,,0.001,0.0,0.0,0.0,0.0,0.0,,,,,,58762.0,,-56265.0,,-255498.0,,,,,,19412000.0,,-67699.0,-67699.0,,,,,,,,,19412000.0,,19412000.0
