end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableAndOtherAccruedLiabilitiesCurrent,AccountsPayableCurrent,AccountsPayableCurrentAndNoncurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipmentPeriodIncreaseDecrease,AdditionalPaidInCapital,AdditionalPaidInCapitalCommonStock,AdvancesOnInventoryPurchases,Assets,AssetsCurrent,AssetsNoncurrent,AssetsOfDisposalGroupIncludingDiscontinuedOperation,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashPeriodIncreaseDecrease,CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,CommitmentsAndContingencies,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,CostOfGoodsSold,CurrentFederalTaxExpenseBenefit,CurrentIncomeTaxExpenseBenefit,CustomerAdvancesCurrent,DebtConversionConvertedInstrumentSharesIssued1,DebtConversionOriginalDebtAmount1,DebtInstrumentDecreaseForgiveness,DebtInstrumentIncreaseDecreaseOtherNet,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsOperatingLossCarryforwardsDomestic,DeferredTaxAssetsValuationAllowance,Depreciation,DepreciationAndAmortization,DiscontinuedOperationIncomeLossFromDiscontinuedOperationBeforeIncomeTax,DiscontinuedOperationProvisionForLossGainOnDisposalBeforeIncomeTax,DisposalGroupIncludingDiscontinuedOperationAccruedLiabilities,DisposalGroupIncludingDiscontinuedOperationCostsOfGoodsSold,DisposalGroupIncludingDiscontinuedOperationGeneralAndAdministrativeExpense,DisposalGroupIncludingDiscontinuedOperationGrossProfitLoss,DisposalGroupIncludingDiscontinuedOperationOperatingExpense,DisposalGroupIncludingDiscontinuedOperationOperatingIncomeLoss,DisposalGroupIncludingDiscontinuedOperationOtherIncome,DisposalGroupIncludingDiscontinuedOperationRevenue,DueFromRelatedPartiesCurrent,DueToRelatedPartiesCurrent,DueToRelatedPartiesCurrentAndNoncurrent,EarningsPerShareBasicAndDiluted,EarningsPerShareDiluted,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,GeneralAndAdministrativeExpense,GoodwillTransfers,GrossProfit,IncomeLossFromContinuingOperations,IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeLossFromContinuingOperationsBeforeIncomeTaxesForeign,IncomeLossFromContinuingOperationsBeforeInterestExpenseInterestIncomeIncomeTaxesExtraordinaryItemsNoncontrollingInterestsNet,IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,IncomeLossFromDiscontinuedOperationsNetOfTax,IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicAndDilutedShare,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableTrade,IncreaseDecreaseInDueToAffiliates,IncreaseDecreaseInInventories,IncreaseDecreaseInOperatingAssets,IncreaseDecreaseInOtherAccountsPayable,IncreaseDecreaseInOtherAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInOtherCurrentLiabilities,IncreaseDecreaseInPrepaidExpense,InterestPaid,InventoryNet,InventoryNoncurrent,LegalFees,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LoansPayable,LoansPayableCurrent,NetCashProvidedByUsedInDiscontinuedOperations,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,NoncashContributionExpense,NotesPayableCurrent,NotesPayableRelatedPartiesClassifiedCurrent,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OtherAssetsNoncurrent,OtherExpenses,OtherGeneralExpense,OtherNoncashExpense,OtherNoncashIncome,OtherNoncashIncomeExpense,PaymentsToAcquirePropertyPlantAndEquipment,PrepaidExpenseCurrent,PrepaidExpenseCurrentAndNoncurrent,ProceedsFromCollectionOfLongtermLoansToRelatedParties,ProceedsFromContributionsFromAffiliates,ProceedsFromIssuanceOfCommonStock,ProceedsFromLoans,ProceedsFromNotesPayable,ProceedsFromPaymentsForLongTermLoansForRelatedParties,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfDebt,ProceedsFromRepaymentsOfNotesPayable,ProfessionalFees,ProfitLoss,PropertyPlantAndEquipmentGross,RepaymentOfNotesReceivableFromRelatedParties,RetainedEarningsAccumulatedDeficit,Revenues,SalesRevenueGoodsNet,SellingGeneralAndAdministrativeExpense,SharesIssuedPricePerShare,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockIssued1,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodSharesOther,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueOther,ValuationAllowancesAndReservesAdjustments,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasicAndDiluted
2014-12-31,2015-02-11,10-Q,STAR WEALTH GROUP INC.,SWGI,CIK0001626696,USD,,,,,,,,,11167.0,1167.0,10000.0,,,1167.0,-6482.0,,,,,75000000.0,4000000.0,4000000.0,4000.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,14325.0,11167.0,,,14325.0,,0.0,0.0,,0.0,,-6482.0,,,,6482.0,-6482.0,,,,,,,,0.0,,,,0.0,0.0,,,,,0.0,,,-6482.0,10000.0,0.0,-7158.0,0.0,0.0,6482.0,,,-3158.0,,,,,,,,4000000.0
2015-03-31,2015-05-12,10-Q,STAR WEALTH GROUP INC.,SWGI,CIK0001626696,USD,,,1000.0,,,,20039.0,,13977.0,3977.0,10000.0,,3977.0,254.0,,,,,,75000000.0,6280000.0,6280000.0,6280.0,0.0,,0.0,,,,,,,,,,,,-1000.0,-1000.0,,,1000.0,,1000.0,,,,,,,0.0,,,19509.0,,0.0,-19509.0,,,-20509.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,15325.0,13977.0,,,14325.0,,,,,,,-20509.0,,,,19509.0,-20509.0,,,,,,,,,,,,,,,,,,,,,,10000.0,,-27667.0,0.0,,20509.0,0.01,,-1348.0,,,,,,,4899722.0,4899722.0
2015-06-30,2015-07-21,10-Q,STAR WEALTH GROUP INC.,SWGI,CIK0001626696,USD,,,2600.0,,,,21479.0,,12854.0,2854.0,10000.0,,2854.0,2854.0,,,,,,75000000.0,6440000.0,6440000.0,6440.0,0.0,,,,,,,,,,,,0.0,,,-1500.0,,0.0,1500.0,0.0,1500.0,,0.0,0.0,,,,0.0,0.0,,2823.0,,0.0,-2823.0,,,-4323.0,,0.0,-1500.0,0.0,0.0,,,,,,,,,,,,,,,,,16925.0,12854.0,16925.0,,14325.0,,,,,,,-4323.0,,,,2823.0,-4323.0,,,,,,,,,,,,,,,,,,,,,,10000.0,,-31990.0,0.0,,4323.0,,,-4071.0,,,,,,,6436484.0,
2015-09-30,2015-12-28,10-K,STAR WEALTH GROUP INC.,SWGI,CIK0001626696,USD,,,6420.0,,,21479.0,21479.0,,10254.0,10254.0,10000.0,10000.0,254.0,254.0,-7395.0,-7395.0,,,0.001,75000000.0,6440000.0,6440000.0,6440.0,0.0,,,,,,,,0.0,38410.0,13059.0,-13059.0,0.0,,,-6420.0,6420.0,,6420.0,,-6420.0,,,,,14325.0,,-0.01,,,31314.0,,0.0,-31314.0,,,-37734.0,,-0.01,-6420.0,0.0,0.0,0.0,-12830.0,12830.0,6420.0,,,,,,,6420.0,,0.0,,,,20745.0,10254.0,20745.0,,14325.0,,23919.0,,,-31314.0,-31314.0,-37734.0,,,14325.0,31314.0,-37734.0,,0.0,,,,,,,,0.0,,,23919.0,,,,,0.0,,,-37734.0,10000.0,,-38410.0,0.0,0.0,37734.0,,-10491.0,-10491.0,,,,23919.0,,,5444315.0,
2015-12-31,2016-02-02,10-Q,STAR WEALTH GROUP INC.,SWGI,CIK0001626696,USD,,,7790.0,,,21479.0,21479.0,,10254.0,10254.0,9583.0,10000.0,30.0,254.0,-224.0,-224.0,5734.0,0.0,,75000000.0,6440000.0,6440000.0,6440.0,0.0,,,,,,0.0,,,,,,417.0,,,4357.0,6420.0,656.0,1787.0,6144.0,1787.0,,,6800.0,,,,0.0,,,6424.0,,0.0,-6424.0,,,-2067.0,,0.0,4357.0,0.0,0.0,0.0,-703.0,703.0,1370.0,,,-410.0,,,,1370.0,,0.0,410.0,0.0,,20745.0,10254.0,20745.0,,14791.0,0.0,466.0,0.0,0.0,-690.0,-6424.0,-2067.0,,,14325.0,6424.0,-2067.0,,-417.0,,,,,,,,0.0,,,466.0,466.0,,,,466.0,,,-2067.0,10000.0,,-38410.0,0.0,6800.0,8211.0,,-10491.0,-12558.0,,,,,,,6440000.0,
2016-03-31,2016-05-27,10-Q,STAR WEALTH GROUP INC.,SWGI,CIK0001626696,USD,,,,,,26208.0,,466.0,,,,,,,,,,,0.001,75000000.0,6440000.0,6440000.0,6440.0,0.0,,,,,,-8157.0,,0.0,32648.0,11100.0,-11100.0,327.0,,10446.0,10446.0,,-317.0,694.0,2983.0,-7463.0,,-8157.0,3300.0,,,,0.0,,,2617.0,,0.0,-2617.0,7829.0,,7829.0,,0.0,10446.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7829.0,,,,2617.0,,,,,,,,,,,,,,,,,,,,,,,,,-32648.0,0.0,,,,,,,,,,,,6440000.0,
2016-06-30,2016-08-17,10-Q,STAR WEALTH GROUP INC.,SWGI,CIK0001626696,USD,,,,1490.0,,26208.0,,466.0,,,,,0.0,,,,,,0.001,75000000.0,6440000.0,6440000.0,6440.0,0.0,,,,,,,,0.0,66091.0,22471.0,-22471.0,327.0,,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,,,-0.01,,,33443.0,,0.0,-33443.0,,,-33443.0,,-0.01,0.0,0.0,0.0,,,,,,,,,,,,,,,,,33443.0,,33443.0,11326.0,,,,,,,,-33443.0,,11326.0,20627.0,33443.0,,,,,,,,,,,,,,,,,,,,,,,,,-66091.0,0.0,,,,-33443.0,,,,,,,,6440000.0,
2016-09-30,2016-12-23,10-K,STAR WEALTH GROUP INC.,SWGI,CIK0001626696,USD,200.0,200.0,,200.0,,26208.0,,466.0,9167.0,9167.0,,,,,,-254.0,8787.0,,0.001,75000000.0,6440000.0,6440000.0,6440.0,,,,,,,8157.0,,0.0,82502.0,28051.0,-28051.0,744.0,,,14803.0,,973.0,2481.0,9127.0,-5676.0,,-8157.0,10100.0,,58821.0,,-0.01,,,6996.0,10062.0,,-58895.0,-44092.0,,-44092.0,,-0.01,14803.0,0.0,0.0,0.0,-14991.0,14991.0,200.0,,,-340.0,,,,1737.0,-9167.0,0.0,,,,59021.0,9167.0,59021.0,,,,58821.0,,,-67862.0,-67862.0,-44092.0,4791.0,,58821.0,58895.0,,,,14803.0,,-10062.0,14791.0,466.0,,9167.0,9167.0,,,,,,58821.0,58821.0,,,51899.0,-44092.0,,,-82502.0,0.0,,,,-49854.0,-49854.0,,,,,,,6440000.0,
2016-12-31,2017-02-21,10-Q,STAR WEALTH GROUP INC.,SWGI,CIK0001626696,USD,,6481.0,,200.0,,26208.0,,,5833.0,5833.0,,,,,,,,0.0,0.001,75000000.0,6440000.0,6440000.0,6440.0,0.0,,,,,,0.0,,0.0,110217.0,37474.0,-37474.0,,,,,,,,,,,,,,18100.0,76921.0,0.0,,,4814.0,,0.0,-27715.0,-27715.0,,-27715.0,,0.0,,,0.0,0.0,-9423.0,9423.0,6281.0,,,,,,,,3334.0,0.0,,,,83402.0,5833.0,83402.0,,,0.0,18100.0,0.0,0.0,-18100.0,-18100.0,-27715.0,,,76921.0,27715.0,,,,,,,,,,5833.0,5833.0,,,,,,18100.0,18100.0,,,22900.0,-27715.0,,,-110217.0,0.0,,,,-77569.0,,,,,,,,6440000.0,
2017-03-31,2017-05-22,10-Q,STAR WEALTH GROUP INC.,SWGI,CIK0001626696,USD,300.0,,,,,26208.0,,,3333.0,3333.0,,,,,,,,,,,,,6440.0,,,,,,,,,,,,,,,,,,,,,,,,,,103552.0,,,,,22949.0,,,-22949.0,-22949.0,,,,0.0,,,,,,,,,,,,,,,,,,,,103852.0,3333.0,103852.0,,,,,,,,,-22949.0,,,,22949.0,,,,,,,,,,,3333.0,,,,,,,,,,22949.0,,,,-133167.0,,,,,-100519.0,,,,,,,,6440000.0,
