end,filed,form,Name,Ticker,CIK,Currency,AccountsAndNotesReceivableNet,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableCurrent,AccountsReceivableGross,AccountsReceivableGrossCurrent,AccountsReceivableNetCurrent,AccruedLiabilitiesCurrent,AccumulatedOtherComprehensiveIncomeLossNetOfTax,AdditionalPaidInCapital,AdjustmentForAmortization,AdjustmentsToAdditionalPaidInCapitalOther,AdvancesOnInventoryPurchases,AdvertisingExpense,AllowanceForDoubtfulAccountsReceivable,AllowanceForDoubtfulAccountsReceivableCurrent,AmortizationOfDebtDiscountPremium,AssetImpairmentCharges,Assets,AssetsCurrent,CapitalizedComputerSoftwareAccumulatedAmortization,CapitalizedComputerSoftwareGross,CapitalizedComputerSoftwareNet,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CommonStockParOrStatedValuePerShare,CommonStockShareSubscribedButUnissuedSubscriptionsReceivable,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ComprehensiveIncomeNetOfTax,CostOfRevenue,CumulativeTranslationAdjustmentNetOfTaxPeriodIncreaseDecrease,CustomerAdvancesAndDeposits,DeferredTaxAssetsGross,DeferredTaxAssetsNet,DeferredTaxAssetsValuationAllowance,Depreciation,DepreciationAndAmortization,DepreciationDepletionAndAmortization,DueFromRelatedPartiesCurrent,DueToOtherRelatedPartiesClassifiedCurrent,DueToRelatedPartiesCurrent,EarningsPerShareBasic,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectOfExchangeRateOnCashAndCashEquivalents,ForeignCurrencyTransactionGainLossBeforeTax,GainLossOnDispositionOfAssets,GainLossOnSaleOfPropertyPlantEquipment,GeneralAndAdministrativeExpense,GrossProfit,HealthCareOrganizationPatientServiceRevenueProvisionforBadDebts,ImpairmentOfIntangibleAssetsFinitelived,IncomeLossAttributableToNoncontrollingInterest,IncomeLossFromContinuingOperationsAttributableToNoncontrollingEntity,IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInCustomerDeposits,IncreaseDecreaseInDeposits,IncreaseDecreaseInDueFromOtherRelatedPartiesCurrent,IncreaseDecreaseInDueFromRelatedPartiesCurrent,IncreaseDecreaseInDueToOtherRelatedPartiesCurrent,IncreaseDecreaseInDueToRelatedPartiesCurrent,IncreaseDecreaseInInventories,IncreaseDecreaseInOtherCurrentAssets,IncreaseDecreaseInOtherCurrentLiabilities,IncreaseDecreaseInOtherOperatingAssets,IncreaseDecreaseInPrepaidExpense,IncreaseDecreaseInPrepaidSupplies,InformationTechnologyAndDataProcessing,InterestExpense,InterestIncomeExpenseNet,InterestPaid,InterestPaidNet,InventoryFinishedGoods,InventoryGross,InventoryNet,InventoryRawMaterialsAndSupplies,InventoryValuationReserves,InventoryWorkInProcess,InventoryWriteDown,InvestmentIncomeInterest,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LiabilitiesNoncurrent,LoansPayable,LoansPayableCurrent,LongTermLoansPayable,MinorityInterest,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NonoperatingIncomeExpense,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OtherAssetImpairmentCharges,OtherAssetsCurrent,OtherComprehensiveIncomeDefinedBenefitPlansNetUnamortizedGainLossArisingDuringPeriodNetOfTax,OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentBeforeTaxPortionAttributableToParent,OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPortionAttributableToParent,OtherComprehensiveIncomeForeignCurrencyTranslationGainLossArisingDuringPeriodTax,OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent,OtherExpenses,OtherIncome,OtherLiabilitiesCurrent,OtherLoansPayable,OtherNoncashIncomeExpense,OtherNonoperatingExpense,OtherNonoperatingIncome,OtherNonoperatingIncomeExpense,OtherNotesPayable,PaidInKindInterest,PaymentsForLoans,PaymentsToAcquireProductiveAssets,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToAcquireSoftware,PaymentsToSuppliers,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpenseCurrent,ProceedsFromContributedCapital,ProceedsFromContributionsFromAffiliates,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOrSaleOfEquity,ProceedsFromLoans,ProceedsFromRefundsFromSuppliersOfMaterial,ProceedsFromRelatedPartyDebt,ProfessionalFees,ProfitLoss,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,PropertyPlantAndEquipmentOtherAccumulatedDepreciation,ProvisionForDoubtfulAccounts,RedemptionPremium,RepaymentsOfDebt,RepaymentsOfLongtermLoansFromVendors,RepaymentsOfRelatedPartyDebt,RepaymentsOfShortTermDebt,RetainedEarningsAccumulatedDeficit,Revenues,SaleOfStockPercentageOfOwnershipAfterTransaction,SaleOfStockPricePerShare,SecuritiesLoanedAsset,SellingGeneralAndAdministrativeExpense,ShareBasedCompensation,SharePrice,StockholdersEquity,StockIssuedDuringPeriodSharesIssuedForServices,StockIssuedDuringPeriodSharesRestrictedStockAwardGross,StockIssuedDuringPeriodValueAcquisitions,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,StockRedeemedOrCalledDuringPeriodShares,StockRedeemedOrCalledDuringPeriodValue,TechnologyServicesCosts,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic
2015-03-31,2015-05-15,10-Q,CAT9 Group Inc.,CATN,CIK0001632275,USD,,1317.0,,,,,,,1000.0,,,,,,,,,,,,,,,0.0,0.0,,,0.0001,,100000000.0,10000000.0,10000000.0,1000.0,,,,,,,,,,,,,,0.0,,,,,,,3317.0,,,,,,-3317.0,0.0,0.0,,1317.0,1317.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,1317.0,,,,,,1000.0,0.0,-1000.0,-3317.0,,3317.0,-3317.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0001,5000000.0,0.0,0.0,,,1000.0,,,,,,,,,,,,,,,,,,-3317.0,0.0,,,,,1000.0,,1317.0,10000000.0,,,1000.0,,,,,,10000000.0
2015-06-30,2015-08-14,10-Q,CAT9 Group Inc.,CATN,CIK0001632275,USD,,3466.0,,,,,,,1000.0,,,,,,,,,0.0,,,,,0.0,,,,,0.0001,,100000000.0,10000000.0,10000000.0,1000.0,,,,,,,,,,,,,,0.0,,,,,,,2149.0,,,,,,-2149.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3466.0,,,,,,,,,-2149.0,,2149.0,-2149.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0001,5000000.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,-5466.0,,,,,,,,-3466.0,,,,,,,,,,10000000.0
2015-09-30,2015-11-16,10-Q,CAT9 Group Inc.,CATN,CIK0001632275,USD,,,3466.0,,,,,,3839.0,,,,,,,,,0.0,,,,,0.0,0.0,,,,0.0001,,100000000.0,10000000.0,10000000.0,1000.0,,,,,,,,,,,,,3243.0,0.0,,,,,,,6082.0,,,,,,-6082.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,6709.0,,,,,,,,,-6082.0,,6082.0,-6082.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0001,5000000.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,-11548.0,0.0,,,,,,,-6709.0,,,,,,,,,,10000000.0
2015-12-31,2016-04-15,10-K,CAT9 Group Inc.,CATN,CIK0001632275,USD,0.0,,15437.0,,,23825.0,,453.0,425158.0,,,417046.0,,,,,,443646.0,443646.0,,,,2.0,2.0,0.0,,,0.0001,,100000000.0,10000000.0,10000000.0,1000.0,,,,0.0,,6918.0,20576.0,,,,,9545.0,15507.0,,,0.25,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,24982.0,443646.0,15507.0,,,,,,19346.0,,-19346.0,-20346.0,,,,7957.0,,,,,,,,,,,,,,,,,,,,,,,417046.0,0.0001,5000000.0,0.0,0.0,0.0,,3839.0,,,,,,15507.0,,-20346.0,0.0,,,,,,,,,-20346.0,,,,,,1000.0,,418664.0,10000000.0,,,1000.0,,,,,,
2016-03-31,2016-05-16,10-Q,CAT9 Group Inc.,CATN,CIK0001632275,USD,,,,,,,,,17714.0,,,,,,,,,0.0,0.0,,,,0.0,71027.0,71025.0,,,0.0001,,100000000.0,10000000.0,10000000.0,1000.0,776.0,11927.0,,,,,,0.0,,,,,15507.0,0.0,,,,-68.0,,,14624.0,15468.0,,,,,844.0,0.0,0.0,,-323.0,14011.0,,,,,,,,-1850.0,28249.0,,-15071.0,,,,,,0.0,,,,,,,,,,15507.0,0.0,15507.0,,,,,,45233.0,0.0,25792.0,844.0,,14624.0,844.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0001,5000000.0,0.0,0.0,0.0,,,42403.0,,,,,2830.0,,,,,,,,,,,,-34221.0,27395.0,,,,,0.0,,-15507.0,,,,,,,,,,10000000.0
2016-06-30,2016-08-18,10-Q,CAT9 Group Inc.,CATN,CIK0001632275,USD,,,,,,,,3028.0,21114.0,,,,,,,,,0.0,0.0,,,,0.0,71027.0,,,,0.0001,,100000000.0,10000000.0,10000000.0,1000.0,-6392.0,2585.0,,,,,,,,,,,15507.0,0.0,,,,-6493.0,,,8451.0,8552.0,0.0,,,,101.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15507.0,0.0,15507.0,,,,,,,,,101.0,,8451.0,101.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0001,5000000.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,-37621.0,11137.0,,0.0001,,,,,-15507.0,,,,,,,,,,10000000.0
2016-09-30,2016-11-08,10-Q,CAT9 Group Inc.,CATN,CIK0001632275,USD,,,,,,,,3028.0,29014.0,,,,,,,,,0.0,0.0,,,,0.0,63262.0,,,,0.0001,,100000000.0,10000000.0,10000000.0,1000.0,-25805.0,3716.0,,,,,,,,,,,15507.0,0.0,,,,6418.0,,,37789.0,9566.0,0.0,,,,-28223.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15507.0,0.0,15507.0,,,,,,,,,-28223.0,,37789.0,-28223.0,,,,,,,,6418.0,-25805.0,,,,,,,,,,,,,,,,0.0001,5000000.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,-45521.0,13282.0,,0.0001,,,,,-15507.0,,,,,,,,,,10000000.0
2016-12-31,2017-04-28,10-K,CAT9 Group Inc.,CATN,CIK0001632275,USD,2737.0,0.0,0.0,,,0.0,,3028.0,381918.0,,,181002.0,,,,,181003.0,262821.0,261972.0,,,,78233.0,78233.0,78231.0,,,0.0001,0.0,500000000.0,20000000.0,20000000.0,2000.0,,19750.0,2575.0,27235.0,52360.0,,52360.0,,,,2737.0,58068.0,58068.0,,-0.02,0.25,,,,,25438.0,37940.0,,,,,-201481.0,,,,,11798.0,-23825.0,,,,2737.0,,,-2773.0,-55041.0,,,,,,,,,,0.0,,0.0,,,,,,85303.0,262821.0,85303.0,,,,,,48508.0,-849.0,30572.0,-201481.0,,239421.0,-201481.0,209428.0,181003.0,0.0,,,-2575.0,,2575.0,-198906.0,,,,58068.0,42225.0,,,,0.0,,,,849.0,,,0.0001,5000000.0,0.0,0.0,0.0,,,,,,,,48523.0,7150.0,,849.0,849.0,,,,,,15.0,,-209428.0,57690.0,,,,,,,177518.0,,,-42240.0,,,,,25830.0,10000000.0,
2017-03-31,2017-05-15,10-Q,CAT9 Group Inc.,CATN,CIK0001632275,USD,,30627.0,,,,6325.0,,-4498.0,408255.0,,,194398.0,,,,,,308175.0,306818.0,,,,16866.0,16866.0,-61367.0,,,0.0001,100.0,500000000.0,21000000.0,21000000.0,2100.0,-9980.0,29657.0,,57575.0,,,,51.0,,,89229.0,,26098.0,0.0,0.0,,-7526.0,-7526.0,,,61277.0,58823.0,,,,,-2454.0,0.0,0.0,,-6325.0,60967.0,6325.0,,,,86492.0,,,0.0,13396.0,,-86492.0,,,,,,0.0,,,,,,,,,,114300.0,308175.0,114300.0,,,,,,-5633.0,-559.0,-55175.0,-2454.0,,61277.0,-2454.0,,,,,,,,-7526.0,-9980.0,,,,26098.0,,,,,,,,,559.0,,,0.0001,5000000.0,0.0,0.0,0.0,,26337.0,10590.0,,,,,10590.0,,,1357.0,,,,,,,42560.0,,-211882.0,88480.0,1.0,0.0001,,,,,193875.0,,,,,,10000000.0,1000.0,,20011111.0,20011111.0
2017-06-30,2017-08-14,10-Q,CAT9 Group Inc.,CATN,CIK0001632275,USD,,3749.0,,,,10714.0,,6146.0,399099.0,,,0.0,,,,,,422116.0,404654.0,,,,287072.0,287072.0,,,,0.0001,8100.0,500000000.0,101000000.0,101000000.0,10100.0,104651.0,14553.0,,54790.0,,,,,,,79736.0,,54162.0,0.0,0.0,,,10644.0,,,80353.0,-8859.0,-183219.0,,,,94007.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,25947.0,,,,,,132746.0,422116.0,132746.0,,,,,,,,,94007.0,,-102866.0,94007.0,,,1185.0,,,,,10644.0,104651.0,,,,54162.0,,,,,20045.0,,,,,,,0.0001,5000000.0,0.0,0.0,0.0,,,,,,,181000.0,,,,17462.0,,,-183219.0,,,,,,-117875.0,5694.0,,0.0001,,,,,289370.0,,,,,,,,,66714286.0,66714286.0
