end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableCurrent,AccountsReceivableNetCurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AdditionalPaidInCapital,AdjustmentForAmortization,AdjustmentsToAdditionalPaidInCapitalOther,AdjustmentsToAdditionalPaidInCapitalWarrantIssued,AmortizationOfIntangibleAssets,AssetImpairmentCharges,Assets,AssetsCurrent,BankOverdrafts,CapitalizedComputerSoftwareGross,CapitalizedComputerSoftwareNet,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsAtCarryingValueIncludingDiscontinuedOperations,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CashEquivalentsAtCarryingValue,CommercialPaper,CommitmentsAndContingencies,CommonStockConvertibleConversionPriceDecrease,CommonStockConvertibleConversionPriceIncrease,CommonStockParOrStatedValuePerShare,CommonStockShareSubscribedButUnissuedSubscriptionsReceivable,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockSharesSubscriptions,CommonStockValue,ConversionOfStockSharesConverted1,ConvertibleNotesPayableCurrent,ConvertiblePreferredStockSharesIssuedUponConversion,CustomerAdvancesAndDeposits,DebtConversionConvertedInstrumentSharesIssued1,DebtConversionOriginalDebtAmount1,DebtInstrumentConvertibleConversionPrice1,DebtInstrumentFaceAmount,DebtInstrumentInterestRateStatedPercentage,DebtIssuanceCostsLineOfCreditArrangementsNet,DeferredFinanceCostsNet,DeferredTaxAssetsLiabilitiesNet,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,DefinedBenefitPlanInterestCost,Depreciation,DepreciationAndAmortization,DepreciationDepletionAndAmortization,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,ExpenseRelatedToDistributionOrServicingAndUnderwritingFees,FiniteLivedIntangibleAssetsAccumulatedAmortization,FiniteLivedIntangibleAssetsGross,FiniteLivedIntangibleAssetsNet,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInInterestPayableNet,IncrementalCommonSharesAttributableToConversionOfDebtSecurities,IncrementalCommonSharesAttributableToConversionOfPreferredStock,InterestExpense,InterestPaid,InterestPaidNet,InterestPayableCurrent,InterestPayableCurrentAndNoncurrent,IssuanceOfStockAndWarrantsForServicesOrClaims,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LoansPayable,LongTermNotesPayable,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,NotesIssued1,NotesPayable,NotesPayableCurrent,NotesPayableRelatedPartiesCurrentAndNoncurrent,NotesReduction,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,PaymentForManagementFee,PaymentsForOtherTaxes,PaymentsToAcquireIntangibleAssets,PaymentsToAcquireProductiveAssets,PaymentsToAcquirePropertyPlantAndEquipment,PreferredStockNoParValue,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,ProceedsFromContributedCapital,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOfLongTermDebt,ProceedsFromIssuanceOfPreferredStockAndPreferenceStock,ProceedsFromNotesPayable,ProceedsFromRepaymentsOfBankOverdrafts,ProceedsFromRepaymentsOfNotesPayable,ProfessionalFees,ProfitLoss,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,RepaymentsOfNotesPayable,ResultsOfOperationsIncomeBeforeIncomeTaxes,RetainedEarningsAccumulatedDeficit,RevenueFromContractWithCustomerIncludingAssessedTax,Revenues,SaleOfStockPricePerShare,SalesRevenueGoodsGross,SalesRevenueNet,SellingGeneralAndAdministrativeExpense,ShareBasedCompensation,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsRiskFreeInterestRate,SharesIssuedPricePerShare,StockholdersEquity,StockIssued1,StockIssuedDuringPeriodSharesIssuedForServices,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodSharesOther,StockIssuedDuringPeriodSharesPurchaseOfAssets,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,StockIssuedDuringPeriodValueConversionOfUnits,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValuePurchaseOfAssets,StockRedeemedOrCalledDuringPeriodValue,WeightedAverageNumberOfShareOutstandingBasicAndDiluted
2016-03-31,2016-06-03,10-Q,"APPSOFT TECHNOLOGIES, INC.",ASFT,CIK0001651992,USD,,385.0,0.0,,190978.0,2500.0,,,833.34,,96424.0,56424.0,,,,,55049.0,55048.0,48723.0,,,,,,,0.0001,35850.0,1000000000.0,3017500.0,4291600.0,35450.0,429.0,,,,,,,,,,,,,0.0,99293.0,99293.0,,0.0,2500.0,,-0.01,0.34,21036.0,10000.0,50000.0,40000.0,0.0,0.0,385.0,385.0,0.0,53.0,51.0,,,53.0,0.0,,98.0,,,483.0,96424.0,483.0,,0.0,,86800.0,,-4000.0,,-38077.0,-41013.0,,,,,,41573.0,-41013.0,41000.0,,,,0.0,,,0.0001,10000000.0,2000000.0,2000000.0,200.0,0.0,90800.0,,0.0,0.0,,-4000.0,788.0,,,,4000.0,,-96641.0,,,,560.0,560.0,17196.0,,,,95941.0,,,,,,,,,90800.0,,,4110000.0
2016-06-30,2016-08-22,10-Q,"APPSOFT TECHNOLOGIES, INC.",ASFT,CIK0001651992,USD,5000.0,,0.0,,271556.0,2500.0,,,,,110330.0,12830.0,,,60000.0,,20830.0,12830.0,,,,,,,,0.0001,400.0,1000000000.0,3017500.0,3017500.0,0.0,302.0,,,,,,,,,,,,,0.0,37000.0,37000.0,,,,2500.0,-0.017,,39865.0,12500.0,37500.0,97500.0,0.0,,,,,,,,,53.0,,,150.0,,0.0,5150.0,110330.0,5150.0,,0.0,,,,,,,-69837.0,,,,,,70328.0,-69837.0,111902.0,,,,,,,,,,,200.0,,,,,,,,9985.0,,,,,,-166478.0,,,,491.0,491.0,17925.0,,,0.5,105180.0,,,,,,,,,,,,4085657.0
2016-09-30,2016-11-21,10-Q,"APPSOFT TECHNOLOGIES, INC.",ASFT,CIK0001651992,USD,6181.0,,0.0,,319541.0,2500.0,,,,,98667.0,1692.0,,1975.0,60000.0,,1692.0,1692.0,,,,,,,,0.0001,400.0,1000000000.0,3183500.0,3168500.0,,317.0,,,,,,,,,,,,,0.0,76000.0,76000.0,,104.0,,2604.0,-0.037,,87950.0,12500.0,35000.0,95000.0,0.0,,,,,,,,,208.0,,,359.0,,0.0,18040.0,98667.0,6540.0,,11500.0,,,,,,,-114952.0,,,,,,115654.0,-114952.0,225803.0,,,,,,,0.0001,10000000.0,2000000.0,2000000.0,200.0,,,,,,,,7651.0,,,1975.0,,,-281431.0,,,,702.0,702.0,17241.0,,,0.05,85727.0,,55000.0,,,,,,,,,,3090326.0
2016-12-31,2017-04-18,10-K,"APPSOFT TECHNOLOGIES, INC.",ASFT,CIK0001651992,USD,20989.0,,0.0,,319140.0,13000.0,,42400.0,833.34,,91371.0,0.0,62.0,1871.0,57000.0,,0.0,0.0,-6324.0,,0.0,,,,,0.0001,0.0,1000000000.0,3183500.0,3183500.0,,318.0,,0.0,,,,,,,,,,70000.0,0.0,58400.0,58400.0,,208.0,13208.0,13208.0,-0.08,0.34,154851.0,17500.0,32500.0,89500.0,0.0,0.0,,21051.0,0.0,,797.0,,,799.0,0.0,,841.0,937.02,0.0,63321.0,91371.0,21892.0,,41429.0,216679.0,216679.0,-22079.0,-22079.0,-200924.0,-200924.0,-278380.0,,40628.0,0.0,300.0,,280417.0,-278380.0,334000.0,15000.0,,20000.0,,2079.0,0.005,0.0001,10000000.0,2000000.0,2000000.0,200.0,0.0,179251.0,,0.0,41428.0,,-4000.0,44689.0,,,1871.0,,,-334008.0,,,,2037.0,2037.0,66870.0,42400.0,,0.05,28050.0,40000.0,,,,,,,-1.0,179251.0,40000.0,0.0,3641025.0
2017-03-31,2017-05-15,10-Q,"APPSOFT TECHNOLOGIES, INC.",ASFT,CIK0001651992,USD,20304.0,,0.0,,319140.0,5500.0,,,833.34,,86533.0,766.0,,1767.0,54000.0,,766.0,766.0,766.0,,,,,,,0.0001,0.0,1000000000.0,3183500.0,3183500.0,,318.0,,,,,,,,,,,,72000.0,0.0,117336.0,117336.0,,104.0,5604.0,5604.0,0.0,0.34,0.0,20000.0,30000.0,84000.0,0.0,0.0,,-747.0,,,107.0,,,107.0,0.0,,949.0,12.68,0.0,69582.0,86533.0,21253.0,,48329.0,6900.0,6900.0,,,-6134.0,-6134.0,-11098.0,,6900.0,,3300.0,,11364.0,-11098.0,345000.0,,,,,,,0.0001,10000000.0,2000000.0,2000000.0,200.0,0.0,0.0,,,6900.0,,0.0,315.0,,,1767.0,,,-345107.0,,,,266.0,266.0,5338.0,,,0.05,16951.0,,,,,,,,,,,,3183500.0
2017-06-30,2017-08-21,10-Q,"APPSOFT TECHNOLOGIES, INC.",ASFT,CIK0001651992,USD,23597.0,,0.0,,402123.0,,,,,,85577.0,5414.0,,1663.0,51000.0,,5414.0,5414.0,,,,,,,,0.0001,0.0,1000000000.0,3349500.0,3349500.0,,335.0,,10000.0,,,,,,,,,,,0.0,40000.0,40000.0,,104.0,,5604.0,-0.03,,15300.0,22500.0,27500.0,78500.0,0.0,,,,,,,,,352.0,,,1301.0,,52500.0,91627.0,85577.0,34898.0,,56729.0,,,,,,,-105572.0,,9200.0,,,,105858.0,-105572.0,117000.0,,,,,,,0.0001,10000000.0,2000000.0,2000000.0,200.0,,,,,,,,2864.0,,,1663.0,,,-451108.0,286.0,286.0,,286.0,286.0,29238.0,,,,-6050.0,,,,,,,,,,,,3257159.0
2017-09-30,2017-11-16,10-Q,"APPSOFT TECHNOLOGIES, INC.",ASFT,CIK0001651992,USD,38775.0,,0.0,,473060.0,,,,,,75217.0,658.0,,1559.0,48000.0,,658.0,658.0,,,,,,,,0.0001,0.0,1000000000.0,4032500.0,4032500.0,,403.0,,10000.0,,,,,,,0.0,,,,0.0,81000.0,81000.0,,104.0,,5604.0,-0.03,,3240.0,25000.0,25000.0,73000.0,0.0,,,,,,,,,190.0,,,1491.0,,71000.0,132475.0,75217.0,50266.0,,82209.0,,,,,,,-122208.0,,25480.0,,,,122410.0,-122208.0,239000.0,,,,,,,0.0001,10000000.0,1945900.0,1945900.0,195.0,,,,,,,,18979.0,,,1559.0,,,-573316.0,202.0,202.0,,202.0,202.0,23397.0,,,,-57258.0,,,,,,,,,,,,3553098.0
2017-12-31,2018-04-17,10-K,"APPSOFT TECHNOLOGIES, INC.",ASFT,CIK0001651992,USD,44959.0,,0.0,623.0,474409.0,,,,833.34,,68955.0,0.0,844.0,1455.0,45000.0,,0.0,0.0,0.0,,0.0,,0.0,,,0.0001,0.0,1000000000.0,4032500.0,4032500.0,,403.0,,10000.0,,,,,,,0.08,,,125000.0,0.0,54000.0,54000.0,,416.0,22415.0,22416.0,-0.07,0.21,20540.0,27500.0,22500.0,67500.0,0.0,0.0,,23126.0,,,1015.0,20000.0,1937400.0,1013.0,0.0,,1856.0,1856.0,123500.0,147024.0,68955.0,147024.0,,0.0,91412.0,,0.0,,-91412.0,,-261468.0,,8000.0,90209.0,,,262419.0,-261468.0,595000.0,19540.0,,0.0,,0.0,,0.0001,10000000.0,1945900.0,1945900.0,195.0,1350.0,30500.0,7182.5,,59580.0,782.0,-800.0,25844.0,,,1455.0,,,-595476.0,951.0,951.0,,951.0,951.0,69106.0,0.0,,,-78069.0,0.0,,,,,,,123500.0,30500.0,,,3509018.0
2018-03-31,2018-05-17,10-Q,"APPSOFT TECHNOLOGIES, INC.",ASFT,CIK0001651992,USD,43084.0,,0.0,,474509.0,,,,833.34,,63351.0,0.0,0.0,1351.0,42000.0,,0.0,0.0,0.0,0.0,,,,,,0.0001,0.0,1000000000.0,4032500.0,4032500.0,,403.0,,10000.0,,,,,,,0.08,,,127827.0,,,,,104.0,5604.0,5605.0,0.0,,0.0,,20000.0,62000.0,0.0,0.0,,-1033.0,,,532.0,20000.0,19459000.0,532.0,0.0,,2388.0,2388.0,0.0,154603.0,63351.0,154603.0,,0.0,8180.0,,,,-8180.0,,-13283.0,,55925.0,99131.0,,,13283.0,-13283.0,608700.0,0.0,,,,,,0.0001,10000000.0,1945300.0,1945900.0,195.0,100.0,,5400.0,,8923.0,-843.0,,6540.0,-13282.0,,1351.0,,,-608759.0,0.0,0.0,,0.0,0.0,606.0,,,,-91251.0,,,,,,,,,,,,3183500.0
2018-06-30,2018-08-20,10-Q,"APPSOFT TECHNOLOGIES, INC.",ASFT,CIK0001651992,USD,43614.0,,0.0,,480508.0,,,,,,57747.0,0.0,,1247.0,39000.0,,0.0,0.0,,,,,,,,0.0001,0.0,1000000000.0,4032500.0,4032500.0,,404.0,,10000.0,,,,,,,0.08,,,135000.0,,,,,104.0,,5604.0,-0.01,,3400.0,,17500.0,56500.0,0.0,,,,,,,,,572.0,,,2960.0,2960.0,0.0,177635.0,57747.0,56574.0,,121061.0,,,,,,,-34637.0,,55925.0,,,,34843.0,-34637.0,643000.0,,,,,,,0.0001,10000000.0,1945900.0,1945900.0,195.0,,,,,,,,18405.0,-34637.0,,1247.0,,,-643395.0,206.0,206.0,,,,6862.0,,,,-119888.0,,,,,,,,6000.0,,,,4036905.0
