end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableCurrent,AccountsPayableRelatedPartiesCurrent,AccountsPayableRelatedPartiesCurrentAndNoncurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AdditionalPaidInCapital,AmortizationOfDebtDiscountPremium,Assets,AssetsCurrent,Cash,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CommonStockNoParValue,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ConversionOfStockAmountIssued1,ConvertibleDebtCurrent,DebtInstrumentInterestRateDuringPeriod,DebtInstrumentUnamortizedDiscount,DebtSecuritiesAvailableForSalePurchasedWithCreditDeteriorationDiscountPremium,DebtSecuritiesGainLoss,DeferredOfferingCosts,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsTaxCreditCarryforwards,DeferredTaxAssetsValuationAllowance,DepositsAssets,Depreciation,DerivativeGainLossOnDerivativeNet,DerivativeLiabilities,DerivativeLiabilitiesCurrent,DerivativeLossOnDerivative,DueToRelatedPartiesCurrent,DueToRelatedPartiesCurrentAndNoncurrent,EarningsPerShareBasic,EarningsPerShareBasicAndDiluted,EarningsPerShareDiluted,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,GainsLossesOnExtinguishmentOfDebt,GeneralAndAdministrativeExpense,IncomeTaxesPaidNet,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationChangeInEnactedTaxRate,IncomeTaxReconciliationNondeductibleExpense,IncomeTaxReconciliationOtherReconcilingItems,IncomeTaxReconciliationTaxCredits,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInDepositOtherAssets,IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,IncreaseDecreaseInPrepaidExpense,InterestExpense,InterestExpenseOther,InterestOnConvertibleDebtNetOfTax,InterestPaidNet,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LoansPayable,ManagementFeeExpense,ManagementFeesRevenue,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NetIncomeLossAttributableToParentDiluted,NonoperatingIncomeExpense,NotesAndLoansReceivableNetCurrent,NotesPayableCurrent,OperatingExpenses,OperatingLossCarryforwards,OtherExpenses,OtherPrepaidExpenseCurrent,PaymentsToAcquireNotesReceivable,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToFundLongtermLoansToRelatedParties,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpenseAndOtherAssets,PrepaidExpenseCurrent,ProceedsFromConvertibleDebt,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOrSaleOfEquity,ProceedsFromLinesOfCredit,ProceedsFromNotesPayable,ProceedsFromRelatedPartyDebt,ProfessionalFees,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,RepaymentsOfConvertibleDebt,RepaymentsOfNotesPayable,RepaymentsOfRelatedPartyDebt,RetainedEarningsAccumulatedDeficit,RevenueFromContractWithCustomerIncludingAssessedTax,ShareBasedCompensation,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedDividendRate,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedVolatilityRateMaximum,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedVolatilityRateMinimum,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsRiskFreeInterestRateMaximum,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsRiskFreeInterestRateMinimum,ShareBasedCompensationArrangementByShareBasedPaymentAwardNonOptionEquityInstrumentsForfeitures,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresInPeriod,SharesIssuedPricePerShare,StockholdersEquity,StockholdersEquityNoteStockSplitConversionRatio1,StockIssued1,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueShareBasedCompensation,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic
2015-12-31,2016-03-30,10-K,"FOURTH WAVE ENERGY, INC.",FWAV,CIK0001652958,USD,,6113.0,92500.0,92600.0,3626.0,-110125.0,,10847.0,6575.0,6575.0,-3726.0,,,0.001,200000000.0,141525000.0,141525000.0,141525.0,,,,,,,,,47000.0,47000.0,,1545.0,,,,,6300.0,,,0.0,,0.34,,135150.0,,-96000.0,,,,96000.0,4524.0,,-100.0,,,,,,,,261913.0,10847.0,261913.0,,,48000.0,127000.0,,-130726.0,-136695.0,,,,157000.0,136695.0,282000.0,,,,,,0.001,500000000.0,0.0,0.0,,,,,,,,127000.0,,,9443.0,4272.0,,,,-282466.0,,,,,,,,,,,-251066.0,,,,,,,,,141525000.0,
2016-03-31,2016-05-09,10-Q,"FOURTH WAVE ENERGY, INC.",FWAV,CIK0001652958,USD,,5191.0,96500.0,92600.0,,-110125.0,,16659.0,12774.0,2774.0,-3801.0,,,0.001,200000000.0,141525000.0,141525000.0,141525.0,,,,,,,,,,,,386.0,,,,,6300.0,,,0.0,,,,21880.0,,,,,,,-921.0,,4000.0,,-10000.0,-10000.0,,,,,289991.0,16659.0,289991.0,,,12000.0,25000.0,,-28801.0,-22266.0,,,,182000.0,22266.0,,,,,,,0.001,500000000.0,0.0,0.0,,,10000.0,,,,,25000.0,,,,3885.0,,,,-304732.0,,,,,,,,,,,-273332.0,,,,,,,,,141525000.0,
2016-06-30,2016-08-09,10-Q,"FOURTH WAVE ENERGY, INC.",FWAV,CIK0001652958,USD,,670.0,108500.0,108500.0,,-110125.0,,6233.0,2733.0,2733.0,,,,0.001,200000000.0,141525000.0,141525000.0,141525.0,,,,,,,,,,,,386.0,,,,,9300.0,,,0.0,,,,35519.0,,,,,,,,,,,,,,,,,315470.0,6233.0,315470.0,,,,,,,-35905.0,,,,197000.0,35905.0,,,,,,,0.001,500000000.0,0.0,0.0,,,,,,,,,,,,3500.0,,,,-340637.0,,,,,,,,,,,-309237.0,,,,,,,,,141525000.0,
2016-09-30,2016-11-14,10-Q,"FOURTH WAVE ENERGY, INC.",FWAV,CIK0001652958,USD,,1000.0,114500.0,114500.0,,-110125.0,,15866.0,12752.0,12752.0,,,,0.001,200000000.0,141525000.0,141525000.0,141525.0,,,,,,,,,,,,386.0,,,,,12300.0,,,0.0,,,,14311.0,,,,,,,,,,,,,,,,,339800.0,15866.0,339800.0,,,,,,,-14697.0,,,,212000.0,14697.0,,,,,,,0.001,500000000.0,0.0,0.0,,,,,,,,,,,,3114.0,,,,-355334.0,,,,,,,,,,,-323934.0,,,,,,,,,141525000.0,
2016-12-31,2017-03-22,10-K,"FOURTH WAVE ENERGY, INC.",FWAV,CIK0001652958,USD,,1443.0,120500.0,120500.0,6715.0,-110125.0,,4399.0,1671.0,1671.0,-4904.0,,,0.001,200000000.0,141525000.0,141525000.0,141525.0,,,,,,,,,32000.0,32000.0,,1544.0,,,,,17100.0,,,0.0,,0.34,,94034.0,,-128000.0,,,,128000.0,-4670.0,,28000.0,,,,,,,,351043.0,4399.0,351043.0,,,36000.0,65800.0,,-70704.0,-95578.0,,,,212000.0,95578.0,378000.0,,,,,,0.001,500000000.0,0.0,0.0,,,,,,,,55000.0,,,9443.0,2728.0,,,,-378044.0,,,,,,,,,,,346644.0,,,,,,,,,141525000.0,
2017-03-31,2017-05-12,10-Q,"FOURTH WAVE ENERGY, INC.",FWAV,CIK0001652958,USD,,558.0,126500.0,120500.0,,-110125.0,,12163.0,9821.0,9821.0,8150.0,,,0.001,200000000.0,141525000.0,141525000.0,141525.0,,,,,,,,,,,,386.0,,,,,25100.0,,,0.0,,,,16965.0,,,,,,,-885.0,,6000.0,,,,,,,,376158.0,12163.0,376158.0,,,6000.0,20000.0,,-11850.0,-17351.0,,,,224000.0,17351.0,,,,,,,0.001,500000000.0,0.0,0.0,,,,,,,,12000.0,,,,2342.0,,,,-395395.0,,,,,,,,,,,-363995.0,,,,,,,,,141525000.0,
2017-06-30,2017-08-04,10-Q,"FOURTH WAVE ENERGY, INC.",FWAV,CIK0001652958,USD,,524.0,132500.0,120500.0,,-110125.0,,5180.0,3224.0,3224.0,,,,0.001,200000000.0,141525000.0,141525000.0,141525.0,,,,,,,,,,,,386.0,,,,,30600.0,,,0.0,,,,18063.0,,,,,,,,,,,,,,,,,387624.0,5180.0,387624.0,,,,,,,-18449.0,,,,224000.0,18449.0,,,,,,,0.001,500000000.0,0.0,0.0,,,,,,,,,,,,1956.0,,,,-413844.0,,,,,,,,,,,-382444.0,,,,,,,,,141525000.0,
2017-09-30,2017-11-03,10-Q,"FOURTH WAVE ENERGY, INC.",FWAV,CIK0001652958,USD,,955.0,138500.0,138500.0,,-110125.0,,10829.0,9259.0,9259.0,,,,0.001,200000000.0,141525000.0,141525000.0,141525.0,,,,,,,,,,,,386.0,,,,,38600.0,,,0.0,,,,8397.0,,,,,,,,,,,,,,,,,402055.0,10829.0,402055.0,,,,,,,-8783.0,,,,224000.0,8783.0,,,,,,,0.001,500000000.0,0.0,0.0,,,,,,,,,,,,1570.0,,,,-422626.0,,,,,,,,,,,-391226.0,,,,,,,,,141525000.0,
2017-12-31,2018-03-30,10-K,"FOURTH WAVE ENERGY, INC.",FWAV,CIK0001652958,USD,,4879.0,144500.0,144500.0,8259.0,3095.0,,1184.0,,,-1671.0,,,0.001,200000000.0,28305000.0,28305000.0,28305.0,,,,,,,,92800.0,21000.0,92800.0,,1544.0,,,,,38488.0,,,0.0,,0.21,,62495.0,,-92800.0,-57200.0,,150000.0,150000.0,3436.0,,24000.0,,,,,,,,411867.0,1184.0,411867.0,,,24000.0,33388.0,,-35059.0,-64039.0,,,,224000.0,64039.0,442000.0,,,,,,0.001,500000000.0,0.0,0.0,,,,,,,,12000.0,,,9443.0,1184.0,,812.0,812.0,-442083.0,24000.0,,,,,,,,,,-410683.0,,,,,,,,,28305000.0,
2018-03-31,2018-05-17,10-Q,"FOURTH WAVE ENERGY, INC.",FWAV,CIK0001652958,USD,,7260.0,150500.0,150500.0,,-110125.0,,3132.0,2334.0,2334.0,2334.0,,,0.001,200000000.0,141525000.0,141525000.0,141525.0,,,,,,,,,,,,386.0,,,,,51400.0,,,0.0,,,,18959.0,,,,,,,2381.0,,6000.0,,,,,,,,433160.0,3132.0,433160.0,,,6000.0,12912.0,,-10578.0,-19345.0,,,,224000.0,19345.0,,,,,,,0.001,500000000.0,0.0,0.0,,,,,,,,,,,,798.0,,,,-461428.0,6000.0,,,,,,,,,,-430028.0,,,,,,,,,29051800.0,
