end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableCurrent,AccruedLiabilitiesCurrent,AccruedLiabilitiesCurrentAndNoncurrent,AccruedPayrollTaxesCurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AdditionalPaidInCapital,AssetImpairmentCharges,Assets,AssetsCurrent,AssetsNoncurrent,BankOverdrafts,BillingsInExcessOfCost,BuildingsAndImprovementsGross,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CommonStockNoParValue,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,CostOfGoodsAndServicesSold,CostOfGoodsSold,CostOfRevenue,CurrentIncomeTaxExpenseBenefit,DeferredIncomeTaxesAndTaxCredits,DeferredRentAssetNetCurrent,DeferredRevenueRevenueRecognized1,DeferredTaxAssetsGross,DeferredTaxAssetsNet,DeferredTaxAssetsValuationAllowance,DepositAssets,Depreciation,DueToOfficersOrStockholdersCurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,FinanceLeaseLiability,FinanceLeaseRightOfUseAsset,ForeignIncomeTaxExpenseBenefitContinuingOperations,GainOrLossOnSaleOfStockInSubsidiary,GeneralAndAdministrativeExpense,GrossProfit,IncomeLossFromContinuingOperations,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,IncomeTaxExpenseBenefit,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccruedIncomeTaxesPayable,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInOtherAccountsPayable,IncreaseDecreaseInOtherReceivables,IncreaseDecreaseInPrepaidExpense,IncreaseDecreaseInUnearnedPremiumsNet,InterestExpense,InterestPaidNet,Land,LeaseAndRentalExpense,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LoansPayableCurrent,MarketingAndAdvertisingExpense,MinimumNetWorthRequiredForCompliance,MinorityInterest,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NetIncomeLossAttributableToNoncontrollingInterest,OperatingExpenses,OperatingIncomeLoss,OperatingLeasesFutureMinimumPaymentsDue,OperatingLeasesFutureMinimumPaymentsDueCurrent,OperatingLeasesFutureMinimumPaymentsDueInFiveYears,OperatingLeasesFutureMinimumPaymentsDueInFourYears,OperatingLeasesFutureMinimumPaymentsDueInThreeYears,OperatingLeasesFutureMinimumPaymentsDueInTwoYears,OperatingLeasesFutureMinimumPaymentsReceivable,OperatingLeasesFutureMinimumPaymentsReceivableCurrent,OperatingLeasesFutureMinimumPaymentsReceivableInFiveYears,OperatingLeasesFutureMinimumPaymentsReceivableInFourYears,OperatingLeasesFutureMinimumPaymentsReceivableInThreeYears,OperatingLeasesFutureMinimumPaymentsReceivableInTwoYears,OperatingLossCarryforwards,OperatingLossCarryforwardsValuationAllowance,OtherExpenses,OtherReceivables,OtherSalesRevenueNet,OtherTaxExpenseBenefit,PaymentsToAcquirePropertyPlantAndEquipment,PrepaidExpenseCurrent,ProceedsFromContributionsFromAffiliates,ProceedsFromIssuanceOfCommonStock,ProceedsFromLoans,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfBankOverdrafts,ProceedsFromRepaymentsOfDebt,ProfitLoss,PropertyPlantAndEquipmentNet,RetainedEarningsAccumulatedDeficit,Revenues,SaleOfStockNumberOfSharesIssuedInTransaction,SalesRevenueNet,SecurityDeposit,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueOther,TaxCreditCarryforwardValuationAllowance,TaxesPayableCurrent,WeightedAverageNumberOfShareOutstandingBasicAndDiluted
2016-09-30,2016-10-21,10-Q,APEX RESOURCES INC/NV,APXX,CIK0001653710,USD,,,,,361.0,,,8361.0,66.0,8294.0,,,4328.0,66.0,,-3.0,,0.001,75000000.0,4000000.0,4000000.0,4000.0,31073.0,31073.0,,,,,,,0.0,13.0,,72.0,,0.0,0.17,,,,,,,769.0,765.0,,,,,,,,,,,,,,4328.0,,1728.0,8361.0,,431.0,,,,,-3.0,-75.0,,841.0,-75.0,,,,,,,,,,,,,-75.0,,,,31838.0,,,,,,,,,,,,2633.0,,,31838.0,,6633.0,,,,,1297.0,4000000.0
2016-12-31,2017-02-15,10-Q,APEX RESOURCES INC/NV,APXX,CIK0001653710,USD,10000.0,,,,433.0,42120.0,,8962.0,740.0,8222.0,,,4328.0,740.0,,,,0.001,75000000.0,5080000.0,5080000.0,5080.0,23922.0,23922.0,,,,2633.0,,,0.0,8942.0,,72.0,,-0.0104,,,,,,,,16110.0,6684.0,,,,,,,,,,,,,,4328.0,,11728.0,8962.0,,431.0,43100.0,,,,,-52598.0,,59282.0,-52598.0,,,,,,,,,,,,,-52598.0,,,,30606.0,,,,,,,,,,,,-49965.0,,,30606.0,,-2765.0,,,,,1297.0,5080000.0
2017-03-31,2017-05-19,10-Q,APEX RESOURCES INC/NV,APXX,CIK0001653710,USD,10000.0,,,,505.0,42120.0,,8525.0,375.0,8150.0,,500.0,4328.0,375.0,,,,0.001,75000000.0,5080000.0,5080000.0,5080.0,30387.0,-30388.0,,,,,,,0.0,159.0,,72.0,,-0.0002,0.17,,,,,,,1715.0,849.0,-938.0,,,,,,,,,,,,,4328.0,,12228.0,8525.0,,931.0,,,,,,-938.0,,1787.0,-938.0,,,,,,,,,,,,,-938.0,,,,31237.0,,,,,,,,,,,,-50903.0,31237.0,,31237.0,,-3703.0,,,,,1297.0,5080000.0
2017-06-30,2017-08-14,10-K,APEX RESOURCES INC/NV,APXX,CIK0001653710,USD,10000.0,,1500.0,,577.0,42120.0,,10834.0,2756.0,8078.0,,800.0,4328.0,2756.0,2756.0,2686.0,,0.001,75000000.0,5080000.0,5080000.0,5080.0,113880.0,113880.0,113880.0,-9027.0,,,,17134.0,0.0,17134.0,,289.0,,-0.01,0.34,0.17,,,,-53102.0,,21221.0,11507.0,,,-53102.0,,10000.0,,1500.0,,,,,,,4328.0,,14028.0,10834.0,14028.0,1231.0,43100.0,,,44000.0,-41314.0,-53102.0,,64609.0,-53102.0,,,,,,,,,,,,,50394.0,,,,125386.0,-9027.0,,,,43200.0,,800.0,,,,,-50394.0,125386.0,,125386.0,,-3194.0,-3194.0,43200.0,43200.0,,1297.0,5080000.0
2017-09-30,2017-11-14,10-Q,APEX RESOURCES INC/NV,APXX,CIK0001653710,USD,10000.0,,500.0,,649.0,42120.0,,9995.0,1989.0,8006.0,,,4328.0,1989.0,1989.0,-767.0,,0.001,75000000.0,5080000.0,5080000.0,5080.0,29854.0,29854.0,,,0.0,,,,0.0,228.0,,72.0,,0.0,0.17,0.17,,,,,,1521.0,254.0,,-1339.0,-1339.0,,-1000.0,,-10000.0,,,,,,,4328.0,,14528.0,9995.0,,2731.0,,,,1500.0,-2267.0,-1339.0,,1593.0,-1339.0,,,,,,,,,,,,,-1339.0,,,,30108.0,,,,,,,1500.0,,1500.0,,,-51733.0,30108.0,,30108.0,,-4533.0,,,,,1297.0,5080000.0
2017-12-31,2018-01-26,10-Q,APEX RESOURCES INC/NV,APXX,CIK0001653710,USD,0.0,,500.0,,721.0,42120.0,,8172.0,239.0,7934.0,,,4328.0,239.0,239.0,,,0.001,75000000.0,5080000.0,5080000.0,5080.0,20989.0,20989.0,,,,,,,,,,72.0,,0.0,,,,,,,,1627.0,9377.0,,7678.0,7678.0,,,,,,,,,,,4328.0,,5028.0,8172.0,,3231.0,,,,,,7678.0,,1699.0,7678.0,,,,,,,,,,,,,,,,,30366.0,,,,,,,,,,,,-44055.0,30366.0,,30366.0,,3145.0,,,,6339.0,1297.0,5080000.0
2018-03-31,2018-07-03,10-Q,APEX RESOURCES INC/NV,APXX,CIK0001653710,USD,497.0,,261.0,,793.0,45851.0,,41206.0,33343.0,7863.0,14.0,,4328.0,507.0,507.0,,,0.001,75000000.0,5080000.0,5080000.0,5080.0,,,,,,,,,,,,72.0,,0.0,,,,,,,,1458.0,,-1530.0,-1530.0,-232.0,-1298.0,,,,,,,,,,4328.0,,34562.0,41206.0,34562.0,,,,,,,-232.0,,1530.0,-1530.0,,,,,,,,,,,,,44287.0,,,,,,,32836.0,,,,,,,,,-44287.0,,,,,6644.0,,,,,,5080000.0
2018-06-30,2019-01-11,10-K,APEX RESOURCES INC/NV,APXX,CIK0001653710,USD,1000.0,,,,865.0,45851.0,,80435.0,72644.0,7791.0,,,4328.0,71499.0,71499.0,68743.0,,0.001,75000000.0,5080000.0,5080000.0,5080.0,83679.0,,83679.0,,,,,25772.0,,25772.0,,289.0,155000.0,-0.01,0.21,0.21,1.0,,,,,83403.0,10584.0,,-77401.0,-76103.0,-1298.0,-9000.0,-1298.0,-1500.0,,,-1146.0,,,,4328.0,,156000.0,80435.0,156000.0,155000.0,4293.0,,-3771.0,157500.0,-88757.0,-72332.0,3771.0,87984.0,-77401.0,,,,,,,,,,,,,122725.0,,,,,,8655.0,1145.0,2500.0,,155000.0,2500.0,,155000.0,-72332.0,7791.0,-122725.0,94264.0,,,,-71795.0,-75565.0,,,,,5080000.0
2018-09-30,2019-02-20,10-Q,APEX RESOURCES INC/NV,APXX,CIK0001653710,USD,10125.0,,,,,45851.0,7791.0,16109.0,16109.0,,,,,,14964.0,-56535.0,,0.001,75000000.0,5080000.0,5080000.0,5080.0,,,,,0.0,,,,,,,,252648.0,-0.03,,,,,,,,171050.0,,,171099.0,-171099.0,,9125.0,,,,,,,49.0,49.0,,,262773.0,16109.0,262773.0,,,-235102.0,-3771.0,97648.0,-154183.0,-171099.0,,171050.0,-171050.0,,,,,,,,,,,,,,-293824.0,,,,,8655.0,1145.0,,,,,,97648.0,,,-293824.0,,,,,-242893.0,-246664.0,,,,,5080000.0
2018-12-31,2019-04-09,10-Q,APEX RESOURCES INC/NV,APXX,CIK0001653710,USD,13552.0,,,,,45851.0,,52926.0,52926.0,,12115.0,,,,-12115.0,,,0.001,75000000.0,5080000.0,5080000.0,5080.0,,,,,,,,,,,51781.0,,345648.0,-0.01,,,,,,,,71724.0,,,-71724.0,-71724.0,,,,,,,,,,,,,371315.0,52926.0,371315.0,,,,-3771.0,,,-71724.0,,71724.0,-71724.0,,,,,,,,,,,,,-365549.0,,,,,,,1145.0,,,,,,,,,-365549.0,,,,,-314618.0,-318389.0,,,,,5080000.0
