end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesNoncurrent,AccruedLiabilitiesCurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AdditionalPaidInCapital,AdditionalPaidInCapitalCommonStock,AdjustmentsToAdditionalPaidInCapitalOther,AdvertisingExpense,Assets,AssetsCurrent,AssetsFairValueDisclosure,BusinessAcquisitionPercentageOfVotingInterestsAcquired,CapitalizedComputerSoftwareGross,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CashPeriodIncreaseDecrease,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ConcentrationRiskPercentage1,CostOfRevenue,DeferredTaxAssetsGross,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,Depreciation,DepreciationDepletionAndAmortization,DueToRelatedPartiesCurrent,DueToRelatedPartiesNoncurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,FederalIncomeTaxExpenseBenefitContinuingOperations,ForeignIncomeTaxExpenseBenefitContinuingOperations,FurnitureAndFixturesGross,GeneralAndAdministrativeExpense,GrossProfit,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeTaxExpenseBenefit,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInDueToRelatedParties,IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,IncreaseDecreaseInPrepaidExpense,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LiabilitiesFairValueDisclosure,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OtherAssetsNoncurrent,OtherNonrecurringIncomeExpense,PaymentsToAcquirePropertyPlantAndEquipment,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PrepaidExpenseCurrent,ProceedsFromContributionsFromAffiliates,ProceedsFromIssuanceOfCommonStock,ProceedsFromRelatedPartyDebt,ProfitLoss,PropertyPlantAndEquipmentNet,RetainedEarningsAccumulatedDeficit,RevenueFromContractWithCustomerExcludingAssessedTax,Revenues,SaleOfStockConsiderationReceivedOnTransaction,SaleOfStockNumberOfSharesIssuedInTransaction,SaleOfStockPercentageOfOwnershipAfterTransaction,SalesRevenueServicesNet,SharesIssued,SharesIssuedPricePerShare,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodSharesOther,StockIssuedDuringPeriodValueNewIssues,StockRepurchasedAndRetiredDuringPeriodShares,StockRepurchasedAndRetiredDuringPeriodValue,ValuationAllowanceDeferredTaxAssetChangeInAmount,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic
2016-12-31,2017-02-03,10-Q,BYLOG GROUP CORP.,BYLG,CIK0001668082,USD,2000.0,,,,,,,4148.0,,,,,,798.0,,,,,,75000000.0,9000000.0,9000000.0,9000.0,,0.0,,,,,,,,914.0,0.0,,,,,,0.0,,,,,,,,,,2914.0,4148.0,,,,,,-4880.0,4880.0,-4880.0,,2250.0,4880.0,,,,,,1100.0,,,,,,-7766.0,,0.0,,,,,,,,1234.0,,,,,,,,9000000.0
2017-03-31,2017-06-16,10-K,BYLOG GROUP CORP.,BYLG,CIK0001668082,USD,5000.0,,,,20880.0,20880.0,,16838.0,,,,,11538.0,11538.0,2780.0,11538.0,,,,75000000.0,11320000.0,11320000.0,11320.0,,0.0,,,,,1000.0,,,914.0,0.0,,,,,,12500.0,,0.0,,,1000.0,,,-500.0,,5914.0,16838.0,,,23200.0,-2800.0,-17620.0,-19120.0,31620.0,-19120.0,,4800.0,31620.0,-2800.0,,,,,500.0,,23200.0,,-19120.0,,-21276.0,,12500.0,,,,12500.0,11320000.0,,10924.0,10924.0,,2320000.0,,,,,,9250698.0
2017-06-30,2017-08-11,10-Q,BYLOG GROUP CORP.,BYLG,CIK0001668082,USD,2500.0,,,,22455.0,,,20692.0,,,,,12508.0,12508.0,970.0,,,970.0,,75000000.0,11495000.0,11495000.0,11495.0,,0.0,,,,,616.0,616.0,,914.0,0.0,,,,,6296.0,10900.0,4604.0,,,,-2500.0,-2500.0,,500.0,-500.0,3414.0,20692.0,,,1750.0,-4000.0,3220.0,4604.0,6296.0,4604.0,,8184.0,6296.0,4000.0,,,,,,,1750.0,,4604.0,,-16672.0,,10900.0,,,,10900.0,,,,17278.0,,,,,,,11410385.0,11410385.0
2017-09-30,2017-11-20,10-Q,BYLOG GROUP CORP.,BYLG,CIK0001668082,USD,,,,,22455.0,,,24012.0,,,,,14544.0,14544.0,,,,,,75000000.0,11495000.0,11495000.0,11495.0,,0.0,,,,,,,,914.0,0.0,,,,,6480.0,12300.0,5820.0,,,,,,,,,914.0,24012.0,,,,,,5820.0,6480.0,5820.0,,9468.0,6480.0,,,,,,,,,,,,-10852.0,,12300.0,,,,12300.0,,,,23098.0,,,,,,,11495000.0,11495000.0
2017-12-31,2018-02-15,10-Q,BYLOG GROUP CORP.,BYLG,CIK0001668082,USD,,,,,21645.0,,,20421.0,,,,,,11944.0,,11944.0,,,,75000000.0,11405000.0,11405000.0,11405.0,,0.0,,,,,,,,914.0,0.0,,,,,2691.0,0.0,-2691.0,,,,,,,,,914.0,20421.0,,,,,,-2691.0,2691.0,-2691.0,,8477.0,2691.0,,,,,,,,,,,,-13543.0,,0.0,,,,,,,,19507.0,,,,,,,11420652.0,11420652.0
2018-03-31,2018-06-27,10-K,BYLOG GROUP CORP.,BYLG,CIK0001668082,USD,10500.0,10500.0,1264.0,21645.0,21645.0,765.0,,19235.0,11749.0,,,6650.0,11749.0,11749.0,211.0,11749.0,211.0,,0.001,75000000.0,11405000.0,11405000.0,11405.0,0.94,0.0,5298.0,5298.0,5298.0,5298.0,3414.0,3414.0,914.0,914.0,0.0,0.34,,,2100.0,27153.0,23200.0,-3953.0,,-1344.0,1344.0,5500.0,,,500.0,-500.0,11414.0,19235.0,11414.0,,850.0,-6100.0,5461.0,-3953.0,27153.0,-3953.0,,7486.0,27153.0,6100.0,,,,,,,850.0,,-3953.0,7486.0,-25229.0,23200.0,23200.0,,,,23200.0,11405000.0,0.01,7821.0,7821.0,175000.0,175000.0,1750.0,-90000.0,-900.0,,11432972.0,11432972.0
2018-06-30,2018-09-27,10-Q,BYLOG GROUP CORP.,BYLG,CIK0001668082,USD,,3000.0,8750.0,21645.0,,,,2874.0,2874.0,,,6650.0,2874.0,,,2874.0,-8875.0,-8875.0,0.001,75000000.0,11405000.0,11405000.0,11405.0,,,7159.0,,7159.0,7159.0,,991.0,914.0,,0.0,0.21,,,2100.0,8861.0,,-8861.0,,1861.0,-1861.0,-7500.0,-7500.0,,,,3914.0,2874.0,3914.0,,,,-8875.0,-8861.0,,,34090.0,,,,,,,,,,,,,,-34090.0,,,,,,,,,-1040.0,,,,,,,1861.0,11405000.0,
2018-09-30,2018-11-19,10-Q,BYLOG GROUP CORP.,BYLG,CIK0001668082,USD,,13395.0,,21645.0,,,,,,,,,,,,,,,0.001,75000000.0,11405000.0,11405000.0,11405.0,,,,11096.0,11096.0,11096.0,,,6395.0,,0.0,,,,,18750.0,,-18750.0,,,,,,,,,19790.0,,19790.0,,,,,-18750.0,,,52840.0,,,,,,,,,,,,,,-52840.0,,,,,,,,,-19790.0,,,,,,,,11405000.0,
2018-12-31,2019-02-14,10-Q,BYLOG GROUP CORP.,BYLG,CIK0001668082,USD,,12915.0,,,21645.0,,,2081.0,2081.0,,,,,,,,,,0.001,75000000.0,11405000.0,11405000.0,11405.0,,,,15086.0,15086.0,15086.0,,,27956.0,,0.0,,,,,19000.0,,-19000.0,,,,,,,,,40871.0,2081.0,40871.0,,,,,-19000.0,,,71424.0,,,,,,,,2081.0,,,,,,-71840.0,,,,,,,,,-38790.0,,,,,,,,11405000.0,
2019-03-31,2021-01-20,10-K,BYLOG GROUP CORP.,BYLG,CIK0001668082,USD,,20429.0,,,21645.0,,,2497.0,2497.0,,,,,,,,-11749.0,,0.001,75000000.0,11405000.0,11405000.0,11405.0,0.0,,,20295.0,20295.0,20295.0,,992.0,45661.0,,0.0,0.34,,,,71414.0,,-71414.0,,-14997.0,14997.0,9929.0,,-2498.0,,,66090.0,2497.0,66090.0,,44747.0,,-56496.0,-71414.0,,,96643.0,,,,,,,,2497.0,,,44747.0,,,-96643.0,,,,,,,,,-63593.0,,175000.0,,1750.0,,,9701.0,11405000.0,
