end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,AccountsPayableCurrent,AccountsReceivableNet,AccountsReceivableNetCurrent,AccruedLiabilitiesCurrent,AdditionalPaidInCapital,AdjustmentForAmortization,AmortizationOfLeasedAsset,Assets,AssetsCurrent,AssetsNoncurrent,CapitalExpendituresIncurredButNotYetPaid,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CashFDICInsuredAmount,CashUninsuredAmount,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,DebtInstrumentFaceAmount,DebtInstrumentPeriodicPaymentInterest,DeferredRevenueCurrent,DeferredTaxAssetsGross,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsOther,DeferredTaxAssetsValuationAllowance,DepositAssets,Deposits,Depreciation,DerivativeFixedInterestRate,DueFromOtherRelatedPartiesCurrent,DueFromRelatedPartiesCurrent,DueToOfficersOrStockholdersCurrent,DueToOfficersOrStockholdersCurrentAndNoncurrent,DueToOtherRelatedPartiesClassifiedCurrent,DueToRelatedPartiesCurrent,DueToRelatedPartiesNoncurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,EffectiveIncomeTaxRateReconciliationChangeInEnactedTaxRate,FederalDepositInsuranceCorporationPremiumExpense,GrossProfit,ImpactOfRestatementOnOpeningRetainedEarningsNetOfTax,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncomeTaxesPaidNet,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncreaseDecreaseDueFromOtherRelatedParties,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInDueFromRelatedParties,IncreaseDecreaseInDueToOtherRelatedParties,IncreaseDecreaseInDueToRelatedParties,IncreaseDecreaseInDueToRelatedPartiesCurrent,IncreaseDecreaseInOtherAccountsPayable,IncreaseDecreaseInOtherCurrentAssets,IncreaseDecreaseInOtherCurrentLiabilities,IncreaseDecreaseInOtherOperatingAssets,IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,IncreaseDecreaseInPrepaidExpense,InterestIncomeExpenseNet,InterestIncomeOther,InvestmentIncomeInterest,InvestmentIncomeNet,Land,LeaseAndRentalExpense,LeaseCost,LesseeOperatingLeaseLiabilityPaymentsDue,LesseeOperatingLeaseLiabilityPaymentsDueNextTwelveMonths,LesseeOperatingLeaseLiabilityPaymentsDueYearThree,LesseeOperatingLeaseLiabilityPaymentsDueYearTwo,LesseeOperatingLeaseLiabilityPaymentsRemainderOfFiscalYear,LesseeOperatingLeaseLiabilityUndiscountedExcessAmount,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LoansPayableCurrent,LongTermLoansPayable,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,NewAccountingPronouncementOrChangeInAccountingPrincipleEffectOfAdoptionQuantification,NoncashOrPartNoncashDivestitureAmountOfConsiderationReceived1,NonoperatingIncomeExpense,NotesAndLoansReceivableNetCurrent,NotesAndLoansReceivableNetNoncurrent,NotesAssumed1,OfficersCompensation,OperatingExpenses,OperatingLeaseCost,OperatingLeaseLeaseIncomeLeasePayments,OperatingLeaseLiability,OperatingLeaseLiabilityCurrent,OperatingLeaseLiabilityNoncurrent,OperatingLeasePayments,OperatingLeaseRightOfUseAsset,OperatingLeaseRightOfUseAssetAmortizationExpense,OperatingLeasesFutureMinimumPaymentsDue,OperatingLeasesFutureMinimumPaymentsDueCurrent,OperatingLeasesFutureMinimumPaymentsDueInFiveYears,OperatingLeasesFutureMinimumPaymentsDueInFourYears,OperatingLeasesFutureMinimumPaymentsDueInThreeYears,OperatingLeasesFutureMinimumPaymentsDueInTwoYears,OperatingLeasesRentExpenseNet,OperatingLeaseWeightedAverageDiscountRatePercent,OtherAssetsCurrent,OtherAssetsNoncurrent,OtherLiabilitiesCurrent,OtherNonoperatingIncome,OtherNotesPayableCurrent,OtherPrepaidExpenseCurrent,OtherSellingGeneralAndAdministrativeExpense,PaymentsToAcquirePropertyPlantAndEquipment,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PrepaidExpenseCurrent,ProceedsFromIssuanceOfCommonStock,ProceedsFromOtherDebt,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfOtherLongTermDebt,ProceedsFromSaleOfNotesReceivable,ProfessionalFees,ProfitLoss,PropertyPlantAndEquipmentNet,RepaymentsOfRelatedPartyDebt,RetainedEarningsAccumulatedDeficit,RevenueFromContractWithCustomerExcludingAssessedTax,RevenueFromContractWithCustomerIncludingAssessedTax,RevenueFromRelatedParties,Revenues,RightOfUseAssetObtainedInExchangeForOperatingLeaseLiability,SalesRevenueNet,SalesRevenueServicesNet,SellingGeneralAndAdministrativeExpense,ShareBasedCompensation,StockholdersEquity,StockIssued1,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueShareBasedCompensationForfeited,StockIssuedDuringPeriodValueShareBasedCompensationGross,StockRepurchasedAndRetiredDuringPeriodShares,StockRepurchasedAndRetiredDuringPeriodValue,ValuationAllowanceDeferredTaxAssetChangeInAmount,WeightedAverageNumberOfShareOutstandingBasicAndDiluted
2017-09-30,2017-11-01,10-Q,FORGE INNOVATION DEVELOPMENT CORP.,FGNV,CIK0001687919,USD,,,,,300000.0,1198463.0,,,1185937.0,,,,875937.0,,,,,643726.0,0.0001,200000000.0,57771868.0,57771868.0,5777.0,,,26667.0,117290000.0,,117290.0,,117290000.0,,,,,,,,,,,,0.0,,,,,,6000.0,,,,,,27308.0,,,,,,,,,,,,,,,,,1550.0,,1500.0,,,,,,,,,1185937.0,326667.0,,,,,,,,-80316.0,,,1550.0,310000.0,,,,87866.0,,,,,,,,,,,,,,,,,,,,,,,23116.0,,0.0001,50000000.0,,,,,,,,,,,,,-344970.0,,,,6000.0,,6000.0,6000.0,,,859270.0,,,,,,,27308.0,57771868.0
2017-12-31,2018-04-02,10-K,FORGE INNOVATION DEVELOPMENT CORP.,FGNV,CIK0001687919,USD,,,,,300000.0,1168478.0,,,1134777.0,1024777.0,110000.0,,824777.0,169607.0,,,,572937.0,0.0001,200000000.0,57621868.0,57621868.0,5762.0,,,26667.0,12708.0,,76887.0,-64179.0,12708.0,,,,,,,,,,,,-0.01,0.0,0.21,-0.21,0.21,250000.0,15000.0,,-304141.0,,,,12682.0,,,243750.0,,,,,,,,,,,,,4650.0,4650.0,,5500.0,,,,,,,,,1134777.0,326667.0,,,229998.0,,,-60391.0,,-304141.0,,,4650.0,200000.0,110000.0,,3000.0,323791.0,,,,,,,,,246210.0,57563.0,2791.0,64392.0,61920.0,59544.0,5500.0,,,,,,,,58541.0,,0.0001,50000000.0,,,,260098.0,,,,,,,,100.0,-366130.0,,,15000.0,15000.0,,,15000.0,,,808110.0,,,30000.0,,,-30000.0,12682.0,57653758.0
2018-03-31,2018-05-14,10-Q,FORGE INNOVATION DEVELOPMENT CORP.,FGNV,CIK0001687919,USD,2500.0,,,,300000.0,1168478.0,,,1092306.0,1065662.0,26644.0,,841709.0,16932.0,,,,595451.0,0.0001,200000000.0,57621868.0,57621868.0,5762.0,,,,,,23920.0,,,,,472.0,,,,,,,,,0.0,,0.21,,,250000.0,9000.0,26667.0,-47776.0,,,,,,,2500.0,,,,,2805.0,,2805.0,,,,1550.0,,,1550.0,13953.0,250.0,,,,,,,,,1092306.0,305305.0,,,,,72884.0,-55952.0,,-47776.0,26667.0,,1550.0,210000.0,,,,58326.0,,,,,,,,,,,,,,,,,,,,1550.0,2805.0,,40326.0,27116.0,0.0001,50000000.0,,,,,,,,100000.0,,-47776.0,26644.0,,-387239.0,,,,9000.0,,,,,,787001.0,,,,,,,,57621868.0
2018-06-30,2018-08-10,10-Q,FORGE INNOVATION DEVELOPMENT CORP.,FGNV,CIK0001687919,USD,,,3000.0,,3935.0,1469678.0,,,996327.0,951453.0,44874.0,,713453.0,,,,,475784.0,0.0001,200000000.0,45621868.0,45621868.0,4562.0,,,,,,94500.0,,,,,,,,,,,,,,0.0,,,,,,9000.0,26667.0,,,,,,,,,,,,,,,,,,,,1050.0,,,,,,,,,,,,,996327.0,3935.0,,,,,,,,-94609.0,,,1050.0,210000.0,,,,104659.0,,,,,,,,,,,,,,,,,,,,,,,66659.0,,0.0001,50000000.0,,,25000.0,,,,,,,-94609.0,30921.0,,-481848.0,,,,9000.0,,,,,,992392.0,,300000.0,,,,,,58555201.0
2018-09-30,2018-11-13,10-Q,FORGE INNOVATION DEVELOPMENT CORP.,FGNV,CIK0001687919,USD,,,3000.0,,4382.0,1469678.0,,,893846.0,844650.0,49196.0,,625586.0,,,,,386263.0,0.0001,200000000.0,45621868.0,45621868.0,4562.0,,,,,,110000.0,,,,,,,,,,,,,,0.0,,,,,,9000.0,26667.0,,,,,,,,,,,,,,,,,,,,1050.0,,,,,,,,,,,,,893846.0,9104.0,,,,,,,,-107650.0,,,1050.0,210000.0,,,,117700.0,,,,,,,,,,,,,,,,,,4285.0,,,,,79700.0,,0.0001,50000000.0,,,6064.0,,,,,,,-107650.0,30958.0,,-589498.0,,,,9000.0,,,,,,884742.0,,,,,,,,45621868.0
2018-12-31,2019-03-26,10-K,FORGE INNOVATION DEVELOPMENT CORP.,FGNV,CIK0001687919,USD,,,3000.0,,,1469678.0,,,813597.0,766142.0,47455.0,,653142.0,-171635.0,653142.0,,,415490.0,0.0001,200000000.0,45621868.0,45621868.0,4562.0,,,,181756.0,110000.0,189699.0,,181756.0,,,5607.0,,,,,,,,,-0.01,0.0,0.21,-0.21,,250000.0,36000.0,,-325253.0,800.0,800.0,,,,3000.0,4873.0,,,,,,,,4285.0,,,4270.0,4270.0,4270.0,,,250.0,,,,,,,,4873.0,813597.0,4873.0,,,,,165176.0,-336811.0,,-326053.0,,,4270.0,110000.0,,,,365523.0,,,,,,,,,193284.0,61920.0,,,66972.0,64392.0,59958.0,,,18238.0,4873.0,,,,243424.0,34824.0,0.0001,50000000.0,,,,,,,,200000.0,,-326053.0,29217.0,,-665516.0,,36000.0,,36000.0,,,,,,808724.0,300000.0,300000.0,,,,,,51786703.0
2019-03-31,2019-05-10,10-Q,FORGE INNOVATION DEVELOPMENT CORP.,FGNV,CIK0001687919,USD,,,,,,1469678.0,,627.0,914787.0,699846.0,214941.0,,589846.0,-63296.0,,,,349387.0,0.0001,200000000.0,45621868.0,45621868.0,4562.0,,,,,202102.0,,,,,,1874.0,,,,,,,,,0.0,0.21,,,,250000.0,9000.0,,-67619.0,800.0,800.0,,,,-3000.0,,,,,,,,4403.0,,,,550.0,,,,,0.0,16107.0,177804.0,46440.0,66972.0,64392.0,,12598.0,174482.0,914787.0,64377.0,,,,,-4781.0,-58515.0,,-68419.0,,,,110000.0,,,,77169.0,16107.0,,165206.0,55101.0,110105.0,13159.0,164579.0,,,,,,,,,0.055,,13953.0,9276.0,550.0,,,59159.0,4781.0,0.0001,50000000.0,,,,,,,,,,-68419.0,36409.0,,-733935.0,,9000.0,,9000.0,13786.0,,,,,740305.0,,,,,,,,45621868.0
2019-06-30,2019-08-06,10-Q,FORGE INNOVATION DEVELOPMENT CORP.,FGNV,CIK0001687919,USD,,,,,,1469678.0,,,825196.0,626362.0,198834.0,,516362.0,,,,,274247.0,0.0001,200000000.0,45621868.0,45621868.0,4562.0,,,,,223000.0,,,,,,,,,,,,,,,0.0,,,,,,9000.0,,,,,,,,,,,,,,,,,,,,,550.0,,550.0,,,16107.0,162324.0,30960.0,66972.0,64392.0,,10458.0,155055.0,825196.0,59675.0,,,,,,,,-70164.0,,,,110000.0,,,,79714.0,16107.0,,151866.0,56486.0,95380.0,,150612.0,,,,,,,,,0.055,,13953.0,3189.0,,,,61714.0,,0.0001,50000000.0,,,,,,,,,,-70164.0,34269.0,,-804099.0,,9000.0,,9000.0,,,,,,670141.0,,,,,,,,45621868.0
2019-09-30,2019-11-04,10-Q,FORGE INNOVATION DEVELOPMENT CORP.,FGNV,CIK0001687919,USD,,,,,,1469678.0,,,742339.0,555086.0,187253.0,,434086.0,,434086.0,,,194556.0,0.0001,200000000.0,45621868.0,45621868.0,4562.0,,,,,230000.0,,,,,,,,,,,,,,,0.0,,,,,,9000.0,,,,,,,,,,,,,,,,,,,,550.0,550.0,,,,,16107.0,146844.0,15480.0,66972.0,64392.0,,8503.0,140839.0,742339.0,60388.0,,,,,,,,-68641.0,,,,110000.0,,,,78191.0,16107.0,,138341.0,57890.0,80451.0,,136460.0,,,,,,,,,0.055,,13953.0,2498.0,,,11000.0,60191.0,,0.0001,50000000.0,,,,,,,,,,-68641.0,36840.0,,-872740.0,9000.0,,,9000.0,,,,,,601500.0,,,,,,,,45621868.0
2019-12-31,2020-03-26,10-K,FORGE INNOVATION DEVELOPMENT CORP.,FGNV,CIK0001687919,USD,,,,,,1469678.0,,2508.0,654740.0,484270.0,170470.0,,366270.0,-286872.0,366270.0,-286872.0,,116174.0,0.0001,200000000.0,45621868.0,45621868.0,4562.0,,,,252722.0,252722.0,265433.0,,252722.0,13953.0,,8904.0,,,,,,,,,-0.01,0.0,0.21,-0.21,,250000.0,36000.0,,-282588.0,800.0,800.0,800.0,,,-3000.0,,,,,,,,-99.0,,,8000.0,2200.0,2200.0,,2200.0,,250.0,64428.0,131364.0,64392.0,,66972.0,,6734.0,129404.0,654740.0,64087.0,,,,,-9797.0,-277075.0,,-283388.0,,,2200.0,110000.0,,,,320788.0,64428.0,,124630.0,59313.0,65317.0,53735.0,122122.0,,,,,,,,,0.055,,,4774.0,,,8000.0,248778.0,9797.0,0.0001,50000000.0,,,,,,,,,72010.0,-283388.0,34395.0,,-948904.0,36000.0,36000.0,,36000.0,56243.0,,,,,525336.0,,,,,,,,45621868.0
