end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableRelatedPartiesCurrent,Assets,AssetsNet,CommonStockNoParValue,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,CostOfTrustAssetsSoldToPayExpenses,EarningsPerShareBasic,GainLossOnInvestments,GainLossOnSaleOfTrustAssetsToPayExpenses,InvestmentIncomeNet,InvestmentInPhysicalCommodities,InvestmentOwnedAtCost,InvestmentOwnedAtFairValue,InvestmentOwnedBalanceOtherMeasure,InvestmentOwnedBalanceOtherMeasure,InvestmentOwnedPercentOfNetAssets,Liabilities,NetAssetValuePerShare,NetIncomeLoss,NonInvestmentAssetsLessNonInvestmentLiabilities,NonInvestmentAssetsLessNonInvestmentLiabilitiesPercentOfNetAssets,OperatingExpenses,PartnersCapitalAccountRedemptions,ReceivablesNetCurrent,SharesOutstanding,SponsorFees,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,StockRedeemedOrCalledDuringPeriodShares,UnrealizedGainLossOnInvestments,WeightedAverageNumberOfSharesOutstandingBasic
2018-09-30,2018-11-09,10-Q,GOLDMAN SACHS PHYSICAL GOLD ETF,AAAU,CIK0001708646,USD,5437.0,51045366.0,51039929.0,0.0,4300000.0,4300000.0,,,-0.31,,-13.0,-6037.0,51045366.0,51509976.0,51045366.0,,42994.6,1.0,5437.0,11.87,-470660.0,-5437.0,0.0,6037.0,,,,6037.0,4200000.0,,50282339.0,,,1566000.0
2018-12-31,2019-03-15,10-K,GOLDMAN SACHS PHYSICAL GOLD ETF,AAAU,CIK0001708646,USD,12698.0,89026308.0,89013610.0,0.0,6950000.0,6950000.0,,,,,,,89026308.0,84101796.0,89026308.0,,69462.3,1.0,12698.0,12.81,,,,,,,,,,,,,,
2019-03-31,2019-05-13,10-Q,GOLDMAN SACHS PHYSICAL GOLD ETF,AAAU,CIK0001708646,USD,16118.0,107412899.0,107396781.0,0.0,8300000.0,8300000.0,,-999.0,0.13,,999.0,-45346.0,107412899.0,101457674.0,107412899.0,,82918.7,1.0,16118.0,12.94,986366.0,,,45346.0,17396805.0,,,45346.0,1350000.0,,17396805.0,,,7788.0
2019-06-30,2019-08-09,10-Q,GOLDMAN SACHS PHYSICAL GOLD ETF,AAAU,CIK0001708646,USD,18611.0,132958693.0,132940082.0,0.0,9450000.0,9450000.0,,,1.18,,-60.0,-50784.0,132958693.0,116881123.0,132958693.0,,94363.9,1.0,18611.0,14.07,10071501.0,,,50784.0,15471800.0,,,50784.0,,,15471800.0,,10122345.0,8509.0
2019-09-30,2019-11-07,10-Q,GOLDMAN SACHS PHYSICAL GOLD ETF,AAAU,CIK0001708646,USD,24073.0,164557189.0,164533116.0,0.0,11100000.0,11100000.0,,,0.68,,-108.0,-68564.0,164557189.0,141430618.0,164557189.0,,110790.5,1.0001,24073.0,14.82,6980329.0,,,68564.0,-24612705.0,,,68564.0,,,24612705.0,,7049001.0,10210.0
2019-12-31,2020-03-13,10-K,GOLDMAN SACHS PHYSICAL GOLD ETF,AAAU,CIK0001708646,USD,26405.0,176255247.0,176228842.0,0.0,11600000.0,11600000.0,11600000.0,,2.37,-1885.0,-1885.0,-240942.0,176255247.0,148728580.0,176255247.0,115729.0,115729.0,1.0001,26405.0,15.19,22359328.0,,,240942.0,64855904.0,,,240942.0,4650000.0,,-64855904.0,0.0,,9445753.0
2020-03-31,2020-05-08,10-Q,GOLDMAN SACHS PHYSICAL GOLD ETF,AAAU,CIK0001708646,USD,32237.0,222218330.0,222186093.0,,13850000.0,13850000.0,,378.0,0.76,918886.0,-378.0,-88744.0,215801371.0,179728487.0,215801371.0,134125.6,134125.6,0.9713,32237.0,16.04,9376359.0,,,88744.0,36580892.0,6416959.0,13850000.0,88744.0,2550000.0,4450340.0,-41031232.0,300000.0,,12406044.0
2020-06-30,2020-08-07,10-Q,GOLDMAN SACHS PHYSICAL GOLD ETF,AAAU,CIK0001708646,USD,50185.0,365250624.0,365200439.0,,,20725000.0,20725000.0,,1.48,-1314.0,-1314.0,-131057.0,351594152.0,290304089.0,,198854.2,,,50185.0,17.62,25084808.0,,,131057.0,117929538.0,13656472.0,20725000.0,131057.0,6875000.0,,-117929538.0,0.0,25217179.0,16905769.0
2020-09-30,2020-11-06,10-Q,GOLDMAN SACHS PHYSICAL GOLD ETF,AAAU,CIK0001708646,USD,72985.0,487378111.0,487305126.0,,,25925000.0,25925000.0,,0.93,-1025561.0,-786.0,-212831.0,487378111.0,402056316.0,,258295.7,,,72985.0,18.8,22793340.0,,,212831.0,99311347.0,,25925000.0,212831.0,5800000.0,11115625.0,-110426972.0,600000.0,24031732.0,24385326.0
2020-12-31,2021-03-26,10-K,GOLDMAN SACHS PHYSICAL GOLD ETF,AAAU,CIK0001708646,USD,45219.0,510810450.0,510765231.0,0.0,,27125000.0,27125000.0,,2.85,5877464.0,-28292.0,-657532.0,510810450.0,430705448.0,,,270112.9,,45219.0,18.83,57798267.0,,,657532.0,276738122.0,,,657532.0,17325000.0,32263340.0,-309001462.0,1800000.0,,20250615.0
