end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndOtherAccruedLiabilitiesCurrent,AccountsReceivableNetCurrent,AccruedLiabilitiesCurrent,AccruedProfessionalFeesCurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AccumulatedOtherComprehensiveIncomeLossNetOfTax,AdditionalPaidInCapital,AdjustmentsToAdditionalPaidInCapitalOther,Assets,AssetsCurrent,AssetsNoncurrent,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CommonStockParOrStatedValuePerShare,CommonStockShareSubscribedButUnissuedSubscriptionsReceivable,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ComprehensiveIncomeNetOfTax,ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,ConcentrationRiskPercentage1,ContractWithCustomerLiabilityCurrent,ContractWithCustomerLiabilityRevenueRecognized,DeferredRevenueCurrent,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,Depreciation,DepreciationAndAmortization,DueToOfficersOrStockholdersCurrent,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectOfExchangeRateOnCashAndCashEquivalents,EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,GeneralAndAdministrativeExpense,GrossProfit,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationChangeInEnactedTaxRate,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInContractWithCustomerLiability,IncreaseDecreaseInDeferredRevenue,IncreaseDecreaseInDueToOfficersAndStockholders,IncreaseDecreaseInDueToRelatedParties,IncreaseDecreaseInOtherAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,IncreaseDecreaseInPrepaidExpense,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OtherAccountsPayableAndAccruedLiabilities,OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPortionAttributableToNoncontrollingInterest,OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,OtherComprehensiveIncomeLossNetOfTax,OtherGeneralExpense,OtherNonoperatingIncome,OtherNonoperatingIncomeExpense,PaymentsToAcquirePropertyPlantAndEquipment,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PrepaidExpenseCurrent,ProceedsFromIssuanceOfCommonStock,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfRelatedPartyDebt,ProceedsFromSaleAndCollectionOfReceivables,ProceedsFromStockPlans,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,ReceivablesNetCurrent,RepaymentsOfRelatedPartyDebt,RetainedEarningsAccumulatedDeficit,RevenueFromContractWithCustomerExcludingAssessedTax,Revenues,SharesIssuedPricePerShare,StockholdersEquity,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodValueNewIssues,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,GainLossOnSaleOfPropertyPlantEquipment,OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationGainLossArisingDuringPeriodNetOfTax,OtherComprehensiveIncomeLossTaxPortionAttributableToNoncontrollingInterest
2018-05-31,2018-08-10,10-Q,LEADER     HILL CORPORATION,LHIL,CIK0001723187,USD,,,,,205.0,-443.0,,,6201.0,4355.0,1846.0,4355.0,,4335.0,,0.001,,75000000.0,4000000.0,4000000.0,4000.0,-6889.0,-9688.0,,,,2800.0,,,103.0,,,26826.0,0.0,,,,,9649.0,,-9649.0,,,,,,,,,,,,29626.0,6201.0,29626.0,,,,-9650.0,9649.0,-9649.0,,,-39.0,-39.0,,,,,,0.001,0.0,,,,,,,,,2051.0,1846.0,,,-26982.0,,,,-23425.0,,,,,,
2018-08-31,2018-10-23,10-Q,LEADER     HILL CORPORATION,LHIL,CIK0001723187,USD,,,3200.0,,308.0,-1469.0,32175.0,,84477.0,82076.0,2401.0,41976.0,,41976.0,,0.001,,75000000.0,4825000.0,4825000.0,4825.0,-6445.0,-6445.0,,,,46600.0,,,103.0,,,33598.0,0.0,,,,,17471.0,10000.0,-7471.0,,,,,,,,,,,,83398.0,84477.0,83398.0,,,,-7471.0,17471.0,-7471.0,,,1026.0,-1026.0,,,,,,0.001,0.0,,,40100.0,,,,,,2051.0,2401.0,,,-34452.0,10000.0,,,1079.0,,33000.0,4394019.0,,,
2018-11-30,2019-02-28,10-K,LEADER     HILL CORPORATION,LHIL,CIK0001723187,USD,,,49500.0,8500.0,443.0,-1629.0,32175.0,,67127.0,64861.0,2266.0,24761.0,,24761.0,24761.0,0.001,0.0,75000000.0,4825000.0,4825000.0,4825.0,-32102.0,-32102.0,,5600.0,,5600.0,12709.0,12709.0,443.0,443.0,23738.0,23738.0,-0.01,0.21,0.35,,-1629.0,40474.0,10000.0,-30473.0,6399.0,-6399.0,-8000.0,,5600.0,,,20078.0,26500.0,40100.0,,78838.0,67127.0,78838.0,37000.0,-658.0,-9952.0,-43103.0,,-30473.0,38446.0,49500.0,-1629.0,-1789.0,-1629.0,40474.0,1.0,1.0,658.0,0.001,0.0,,,40100.0,33000.0,,,,4000.0,2709.0,2266.0,,,-47082.0,10000.0,10000.0,0.04,-11711.0,,33000.0,4305836.0,,,
2019-02-28,2019-05-08,10-Q,LEADER     HILL CORPORATION,LHIL,CIK0001723187,USD,,,43945.0,2900.0,579.0,-1482.0,32175.0,,42775.0,40645.0,2130.0,545.0,,545.0,-24216.0,0.001,,75000000.0,4825000.0,4825000.0,4825.0,-4797.0,-4797.0,,5600.0,,5600.0,,,136.0,,,9738.0,0.0,,,,147.0,4944.0,,-4944.0,,,,-5555.0,,,,-14000.0,,,,59283.0,42775.0,59283.0,-14000.0,,-24363.0,-4944.0,,,,,147.0,147.0,,,,,,0.001,0.0,,,40100.0,,,,,,2709.0,2130.0,,,-52026.0,,,,-16508.0,,,4825000.0,,,
2019-05-31,2019-07-11,10-Q,LEADER     HILL CORPORATION,LHIL,CIK0001723187,USD,,,44075.0,3000.0,714.0,-1493.0,32175.0,,42626.0,40631.0,1995.0,531.0,,531.0,,0.001,,75000000.0,4825000.0,4825000.0,4825.0,,-900.0,,2800.0,,2800.0,,,135.0,,,13159.0,0.0,,,,,3689.0,2800.0,-889.0,,,,,,,,,,,,60034.0,42626.0,60034.0,,,,-889.0,,,,,-11.0,-11.0,,,,,,0.001,0.0,,,40100.0,,,,,,2709.0,1995.0,,,-52915.0,2800.0,,,-17408.0,,,4825000.0,,,
2019-08-31,2019-09-19,10-Q,LEADER     HILL CORPORATION,LHIL,CIK0001723187,USD,,,3150.0,3000.0,849.0,-1494.0,32175.0,,3115.0,1255.0,1860.0,526.0,,526.0,,0.001,,75000000.0,4825000.0,4825000.0,4825.0,,-1230.0,0.1,,,,,,135.0,,,18603.0,0.0,,,,,45029.0,43800.0,-1229.0,,,,,,,,,,,,21753.0,3115.0,21753.0,,,,-1229.0,,,,,-1.0,-1.0,,,,,,0.001,0.0,,,729.0,,,,,,2709.0,1860.0,,,-69005.0,43800.0,,,-18638.0,,,4825000.0,,,
2019-11-30,2020-01-17,10-K,LEADER     HILL CORPORATION,LHIL,CIK0001723187,USD,12950.0,,12950.0,9800.0,985.0,-1493.0,32175.0,,4517.0,2793.0,1724.0,525.0,,525.0,-24236.0,0.001,,75000000.0,4825000.0,4825000.0,4825.0,,-22287.0,,,,,14491.0,14491.0,542.0,542.0,25065.0,,0.0,,,,136.0,68523.0,46600.0,-21923.0,,,,,-5600.0,,1327.0,1327.0,-36550.0,-37832.0,,38015.0,4517.0,38015.0,,,-24372.0,-21923.0,,,109014.0,12950.0,136.0,136.0,,,,,,0.001,0.0,,,2268.0,,,,,,2709.0,1724.0,,,-69005.0,46600.0,,,-33498.0,,,4825000.0,,,
2020-02-29,2020-04-10,10-Q,LEADER     HILL CORPORATION,LHIL,CIK0001723187,USD,,,3223.0,,1120.0,-1495.0,32175.0,,3460.0,1871.0,1589.0,511.0,,512.0,-13.0,0.001,,75000000.0,4825000.0,4825000.0,4825.0,,-5832.0,,,,,,,135.0,,39567.0,,0.0,,,,-2.0,5830.0,,-5830.0,,,,-9727.0,,,14502.0,14502.0,,,-908.0,42790.0,3460.0,42790.0,,,-12.0,-5830.0,,,,,-2.0,-2.0,,,,,,0.001,0.0,,,1360.0,,,,,,2709.0,1589.0,,,-74835.0,,,,-39330.0,,,4825000.0,,,
2020-05-31,2020-06-25,10-Q,LEADER     HILL CORPORATION,LHIL,CIK0001723187,USD,,,3298.0,,1256.0,-1505.0,32175.0,,2393.0,940.0,1453.0,499.0,,499.0,,0.001,,75000000.0,4825000.0,4825000.0,4825.0,,18285.0,,,,,,,135.0,,56710.0,,0.0,,,,,18275.0,,-18275.0,,,,,,,,,,,,60008.0,2393.0,60008.0,,,,-18275.0,,,,,10.0,-10.0,,,,,,0.001,0.0,,,441.0,,,,,,2709.0,1453.0,,,-93110.0,,,,-57615.0,,,4825000.0,,,
2020-08-31,2020-10-01,10-Q,LEADER     HILL CORPORATION,LHIL,CIK0001723187,USD,,,3000.0,,1391.0,-1492.0,32175.0,,2617.0,1299.0,1318.0,508.0,,508.0,,0.001,,75000000.0,4825000.0,4825000.0,4825.0,,5000.0,,,,,,,135.0,,62232.0,,0.0,,,,,5013.0,,-5013.0,,,,,,,,,,,,65232.0,2617.0,65232.0,,,,-5013.0,,,,,-13.0,13.0,,,,,,0.001,0.0,,,791.0,,,,,,2709.0,1318.0,,,-98123.0,,,,-62615.0,,,4825000.0,,,
