end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableCurrent,AccountsPayableRelatedPartiesCurrent,AccruedLiabilitiesCurrent,AdditionalPaidInCapital,AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,AdjustmentsToAdditionalPaidInCapitalTaxEffectFromShareBasedCompensation,AdjustmentsToAdditionalPaidInCapitalWarrantIssued,AmortizationOfDebtDiscountPremium,AmortizationOfDeferredCharges,Assets,AssetsCurrent,AssetsNoncurrent,CashAndCashEquivalentsAtCarryingValue,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CashUninsuredAmount,ChangeInUnrealizedGainLossOnFairValueHedgingInstruments1,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ConvertibleNotesPayableCurrent,DebtInstrumentInterestRateDuringPeriod,DeferredFinanceCostsCurrentNet,DeferredFinanceCostsNoncurrentNet,DeferredOfferingCosts,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,Depreciation,DueFromOtherRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateContinuingOperations,ExtinguishmentOfDebtGainLossNetOfTax,GainLossOnDispositionOfAssets,GeneralAndAdministrativeExpense,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncomeTaxReconciliationNondeductibleExpense,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInDueFromRelatedParties,IncreaseDecreaseInOtherAccountsPayable,IncreaseDecreaseInPrepaidExpense,InterestExpense,InterestPaidNet,IssuanceOfStockAndWarrantsForServicesOrClaims,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NonoperatingIncomeExpense,NotesPayableCurrent,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OtherLiabilitiesCurrent,OtherReceivables,PaymentsOfDebtIssuanceCosts,PaymentsOfStockIssuanceCosts,PaymentsToAcquirePropertyPlantAndEquipment,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpenseCurrent,ProceedsFromConvertibleDebt,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOfWarrants,ProceedsFromIssuanceOrSaleOfEquity,ProceedsFromWarrantExercises,ProfitLoss,PropertyPlantAndEquipmentNet,RepaymentsOfNotesPayable,ResearchAndDevelopmentExpense,RestrictedCashCurrent,RetainedEarningsAccumulatedDeficit,ShareBasedCompensation,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedDividendRate,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedVolatilityRateMaximum,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedVolatilityRateMinimum,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsRiskFreeInterestRateMaximum,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsRiskFreeInterestRateMinimum,ShortTermBorrowings,StockholdersEquity,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueOther,StockIssuedDuringPeriodValueShareBasedCompensation,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WriteOffOfDeferredDebtIssuanceCost,CashFDICInsuredAmount,DeferredTaxLiabilitiesPrepaidExpenses,DevelopmentCosts,IncomeTaxesPaidNet,PaymentsForFees,PrepaidExpenseNoncurrent,RelatedPartyTaxExpenseDueFromAffiliatesCurrent,RepaymentsOfRelatedPartyDebt,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsVestedAndExpectedToVestOutstandingAggregateIntrinsicValue
2019-09-30,2019-12-20,10-Q,"CNS Pharmaceuticals, Inc.",CNSP,CIK0001729427,USD,278341.0,10000.0,46069.0,8947753.0,172917.0,,,0.0,,1397875.0,1390363.0,,630109.0,899508.0,,,,0.001,75000000.0,13587004.0,13587004.0,13587.0,300000.0,,34500.0,0.0,,,,,,,-0.05,,,,373460.0,,,,,,,,,,,,,7561.0,,,1397659.0,1397875.0,1397659.0,,,,-706655.0,-7561.0,0.0,699094.0,-699094.0,,,,,,,0.001,5000000.0,0.0,0.0,0.0,456355.0,,,,,,,7512.0,,325634.0,269399.0,-8961124.0,,,,,,,,216.0,56250.0,100000.0,,,13573817.0,,,,,,,,,,
2019-12-31,2020-03-12,10-K,"CNS Pharmaceuticals, Inc.",CNSP,CIK0001729427,USD,243666.0,45833.0,21500.0,19073098.0,477096.0,,,18082.0,102225.0,7912075.0,7893910.0,18165.0,7241288.0,7241288.0,6686155.0,6991288.0,0.0,0.001,75000000.0,16450234.0,16450234.0,16450.0,0.0,,,0.0,0.0,0.0,948000.0,948000.0,1955.0,,-0.28,,0.0,0.0,1978643.0,0.0,0.0,-731000.0,814000.0,-83000.0,108570.0,,45039.0,40394.0,,,619622.0,26152.0,3993.0,150000.0,310999.0,7912075.0,310999.0,10259747.0,-20120.0,-3553472.0,-3877211.0,-44234.0,0.0,3832977.0,-3832977.0,4512000.0,0.0,,0.0,0.0,20120.0,0.001,5000000.0,0.0,0.0,0.0,652622.0,0.0,10294747.0,10294747.0,0.0,,,18165.0,35000.0,1854334.0,0.0,-11488472.0,477096.0,0.0,1.0671,1.0255,0.02,0.0174,,7601076.0,150000.0,10294747.0,,,13647908.0,,,,,,,,,,
2020-03-31,2020-05-15,10-Q,"CNS Pharmaceuticals, Inc.",CNSP,CIK0001729427,USD,141247.0,50000.0,144793.0,19315307.0,242209.0,242209.0,,0.0,,6211194.0,6188536.0,,5379790.0,5379790.0,-1861498.0,5129790.0,,,,,,16450.0,,,,,,,,,1917.0,,-0.12,,,,1355054.0,,0.0,,,,-102419.0,4167.0,4167.0,123293.0,0.0,-102419.0,156124.0,0.0,0.0,,336040.0,6211194.0,336040.0,0.0,-6410.0,-1855088.0,-1968131.0,0.0,,1968131.0,-1968131.0,,,,0.0,,6410.0,,,,,0.0,808746.0,,0.0,,,0.0,-1968131.0,22658.0,0.0,613077.0,0.0,-13456603.0,242209.0,,,,,,,5875154.0,,,,242209.0,16450234.0,,,,,,,,,,
2020-06-30,2020-08-10,10-Q,"CNS Pharmaceuticals, Inc.",CNSP,CIK0001729427,USD,150513.0,0.0,110692.0,19638531.0,323224.0,,,0.0,,3985812.0,3954491.0,,2625771.0,2625771.0,,2375771.0,,0.001,75000000.0,16450234.0,16450234.0,16450.0,,,,,,,,,,,-0.15,,,,981486.0,,,,,,,,,,,,,0.0,,,261205.0,3985812.0,261205.0,,,,-2473771.0,0.0,,2473771.0,-2473771.0,,,,,,,0.001,5000000.0,0.0,0.0,,1328720.0,,,,,,-2473771.0,31321.0,,1492285.0,0.0,-15930374.0,,,,,,,,3724607.0,,,,323224.0,16450234.0,,,,,,,,,,
2020-09-30,2020-11-12,10-Q,"CNS Pharmaceuticals, Inc.",CNSP,CIK0001729427,USD,250181.0,0.0,260601.0,20399241.0,365010.0,,,0.0,,2985237.0,2516177.0,469060.0,1307098.0,1307098.0,,1057098.0,,0.001,75000000.0,16652225.0,16652225.0,16652.0,,,,,440902.0,,,,,,-0.12,,,,968790.0,,,,,,,,,,,,,0.0,,,510782.0,2985237.0,510782.0,,,,-2011064.0,0.0,,2011064.0,-2011064.0,,,,,,,0.001,5000000.0,0.0,0.0,0.0,1209079.0,,,,,,-2011064.0,28158.0,,1042274.0,0.0,-17941438.0,,,,,,,,2474455.0,,,,365010.0,16483529.0,,,,,,,,,,
2020-12-31,2021-02-12,10-K,"CNS Pharmaceuticals, Inc.",CNSP,CIK0001729427,USD,946330.0,0.0,519804.0,34870471.0,1293392.0,,,0.0,0.0,15853412.0,15495843.0,357569.0,14039493.0,14039493.0,6798205.0,13789493.0,,0.001,75000000.0,23856151.0,23856151.0,23856.0,,0.0425,,,334138.0,0.0,2771000.0,2736000.0,11096.0,0.0,-0.57,0.21,,-1583.0,4392873.0,0.0,0.0,1916000.0,1986000.0,-70000.0,702664.0,,-45833.0,498304.0,,702664.0,321353.0,3264.0,1708.0,0.0,1905428.0,15853412.0,1905428.0,14134168.0,-17945.0,-7318018.0,-9457871.0,-3264.0,439294.0,9454607.0,-9454607.0,12892000.0,,0.0,45000.0,,17945.0,0.001,5000000.0,0.0,0.0,0.0,1456350.0,,,14222249.0,,0.0,,23431.0,43081.0,5061734.0,,-20946343.0,1293392.0,0.0,1.2857,1.2279,0.0082,0.0033,482375.0,13947984.0,,,14115485.0,1293392.0,16618441.0,,,306000.0,,0.0,,0.0,225000.0,,
2021-03-31,2021-05-13,10-Q,"CNS Pharmaceuticals, Inc.",CNSP,CIK0001729427,USD,1057684.0,,534940.0,35777247.0,,430679.0,,,,13144609.0,12786366.0,358243.0,11075200.0,11075200.0,-2964293.0,10825200.0,,0.001,75000000.0,25352809.0,25352809.0,25352.0,,,,,334138.0,,,,2998.0,132648.0,-0.15,,,,1402783.0,,0.0,,,,,,0.0,15136.0,132648.0,111354.0,122168.0,3747.0,4208.0,,1901757.0,13144609.0,1901757.0,347432.0,-3672.0,-3308053.0,-3613404.0,-3747.0,309133.0,3609657.0,-3609657.0,,,,,,3672.0,0.001,5000000.0,0.0,0.0,0.0,1578518.0,,144843.0,,,332750.0,-3613404.0,24105.0,130161.0,2206874.0,,-24559747.0,430679.0,,,,,,,11242852.0,,144843.0,,430679.0,24664394.0,,,,,,,,,,
2021-06-30,2021-08-13,10-Q,"CNS Pharmaceuticals, Inc.",CNSP,CIK0001729427,USD,892492.0,,760678.0,40753808.0,,,,,,14238520.0,13883487.0,355033.0,6885572.0,6885572.0,,6635572.0,,0.001,75000000.0,27379485.0,27379485.0,27379.0,,,,,334138.0,,,,,132648.0,-0.15,,,,1146341.0,,,,,,,,,,,,,2353.0,,,1830753.0,14238520.0,1830753.0,,,,-3813673.0,-2353.0,177583.0,3811320.0,-3811320.0,,,3569117.0,,,,0.001,5000000.0,0.0,0.0,0.0,3296150.0,,,,,,-3813673.0,20895.0,,2664979.0,,-28373420.0,,,,,,,,12407767.0,,,,469610.0,25432717.0,,,,,,,,,,
2021-09-30,2021-11-12,10-Q,"CNS Pharmaceuticals, Inc.",CNSP,CIK0001729427,USD,1461574.0,,901222.0,41260374.0,,,,,,11507494.0,11155830.0,351664.0,8326223.0,8326223.0,,8076223.0,,0.001,75000000.0,27460735.0,27460735.0,27460.0,,,,,334138.0,,,,,,-0.14,,,,1235385.0,,,,,,,,,,,,,947.0,,,2407428.0,11507494.0,2407428.0,,,,-3814348.0,-947.0,44632.0,3813401.0,-3813401.0,,,,,,,0.001,5000000.0,0.0,0.0,0.0,2829607.0,,,,,,-3814348.0,17526.0,,2578016.0,,-32187768.0,,,,,,,,9100066.0,,,,506647.0,27443771.0,,,,,,,,,,
2021-12-31,2022-03-03,10-K,"CNS Pharmaceuticals, Inc.",CNSP,CIK0001729427,USD,1522823.0,,224949.0,41576813.0,,,,,,8757385.0,7477450.0,1279935.0,5004517.0,5004517.0,-9034976.0,4754517.0,,0.001,75000000.0,27927217.0,27927217.0,27927.0,,,,,334138.0,0.0,5763000.0,5582000.0,13070.0,,-0.53,0.21,,0.0,4680840.0,0.0,,2846000.0,2946000.0,-100000.0,,,0.0,-294855.0,,576493.0,1520281.0,9285.0,9774.0,,2135566.0,8757385.0,2135566.0,4509081.0,-5748.0,-13538309.0,-14036578.0,-9285.0,387794.0,14027293.0,-14027293.0,27764000.0,,,0.0,,,0.001,5000000.0,0.0,0.0,0.0,2472933.0,,,4653821.0,,332750.0,,16109.0,477490.0,9346453.0,,-34982921.0,1723842.0,0.0,1.3072,1.2817,0.0128,0.0028,,6621819.0,,,4653821.0,1723842.0,26353282.0,,250000.0,714000.0,,0.0,,929688.0,,800000.0,180675.0
