end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsReceivableNet,AccountsReceivableNetCurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AdditionalPaidInCapital,AdjustmentForAmortization,Assets,AssetsCurrent,AssetsNet,BankOverdrafts,BusinessAcquisitionEquityInterestsIssuedOrIssuableNumberOfSharesIssued,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedIntangibles,CapitalUnitsAuthorized,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashEquivalentsAtCarryingValue,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ConvertibleDebt,ConvertibleDebtCurrent,ConvertibleNotesPayable,ConvertibleNotesPayableCurrent,CostOfGoodsAndServicesSold,DebtConversionConvertedInstrumentAmount1,DebtInstrumentInterestRateDuringPeriod,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,DepositLiabilitiesAccruedInterest,Depreciation,DepreciationAndAmortization,DepreciationDepletionAndAmortization,EarningsPerShareBasicAndDiluted,FairValueOfAssetsAcquired,GainsLossesOnSalesOfAssets,GeneralAndAdministrativeExpense,GrossProfit,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeTaxesPaid,IncomeTaxesPaidNet,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInInventories,IncreaseDecreaseInOtherCurrentAssets,InterestExpense,InterestPaid,InterestPaidNet,InventoryNet,Investments,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NonoperatingIncomeExpense,NotesPayableCurrent,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OtherAssets,OtherAssetsCurrent,OtherAssetsNoncurrent,OtherExpenses,OtherIncome,OtherNoncashIncomeExpense,OtherNonoperatingExpense,OtherNonoperatingIncome,PaymentsToAcquireInvestments,PaymentsToAcquirePropertyPlantAndEquipment,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,ProceedsFromConvertibleDebt,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOrSaleOfEquity,ProceedsFromNotesPayable,ProceedsFromRepaymentsOfBankOverdrafts,ProceedsFromSaleOfOtherInvestments,ProfitLoss,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,RelatedPartyTransactionExpensesFromTransactionsWithRelatedParty,RetainedEarningsAccumulatedDeficit,Revenues,StockholdersEquity,StockIssued1,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,StockIssuedDuringPeriodValueNewIssues,TaxBasisOfInvestmentsUnrealizedAppreciationDepreciationNet,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,InterestReceivable,LoansPayable,ProceedsFromBankDebt
2019-06-30,2019-09-06,10-Q,"EVIL EMPIRE DESIGNS, INC",EVVL,CIK0001759424,USD,67459.0,,3956.0,18482.0,29100.0,,35781.0,17895.0,,,,,125000000.0,,11315.0,,11315.0,0.001,100000000.0,7275000.0,7275000.0,7275.0,180125.0,,237303.0,170125.0,0.0,,,,,,,,2606.0,,-0.01,,0.0,9283.0,,,,,,,,,4046.0,,,2624.0,,35781.0,237584.0,,,,-15603.0,-4046.0,,11889.0,-11557.0,,4251.0,,9378.0,,0.0,,,,,,0.001,25000000.0,0.0,0.0,,,,,,,,-15603.0,32117.0,13635.0,,-238178.0,332.0,-186200.0,,,,,18482.0,7275000.0,,,
2019-09-30,2019-11-12,10-Q,"EVIL EMPIRE DESIGNS, INC",EVVL,CIK0001759424,USD,74359.0,,3956.0,20045.0,50493.0,,45175.0,29894.0,,,,,125000000.0,,14783.0,,14783.0,0.001,100000000.0,7382500.0,7382500.0,7383.0,184625.0,,246794.0,184625.0,166.0,,,,,,,,2605.0,,0.0,,249.0,26036.0,,,,,,,,,4451.0,,,11155.0,,45175.0,258984.0,,,,-33507.0,-4700.0,,28641.0,-28807.0,,3209.0,,10420.0,,,,-249.0,,,,0.001,25000000.0,0.0,0.0,,,,,,,,-33507.0,32117.0,12072.0,,-271685.0,0.0,-213809.0,,,,21501.0,20045.0,7278837.0,,,
2019-12-31,2020-03-30,10-K,"EVIL EMPIRE DESIGNS, INC",EVVL,CIK0001759424,USD,79297.0,,3956.0,17603.0,127097.0,-4689.0,46956.0,30275.0,,0.0,,,125000000.0,19097.0,19097.0,9313.0,19097.0,0.001,100000000.0,7767500.0,7767500.0,7768.0,,,,181669.0,206.0,,,0.0,73263.0,-73263.0,,2268.0,10422.0,10422.0,-0.02,4006.0,,120531.0,2848.0,-128105.0,0.0,,19615.0,-3956.0,-8481.0,-73.0,16916.0,0.0,,11105.0,0.0,46956.0,260996.0,137554.0,-4006.0,-124625.0,-145718.0,-17613.0,0.0,130953.0,-128105.0,348875.0,2167.0,73.0,11462.0,697.0,,,-697.0,,0.0,4006.0,0.001,25000000.0,0.0,0.0,0.0,39064.0,98490.0,98490.0,0.0,,,-145718.0,32117.0,14514.0,27674.0,-348875.0,3054.0,-214010.0,,,5875.0,98490.0,21608.0,7304966.0,,,
2020-03-31,2020-04-29,10-Q,"EVIL EMPIRE DESIGNS, INC",EVVL,CIK0001759424,USD,83986.0,,,23505.0,137445.0,,33077.0,19335.0,,,,,125000000.0,,8230.0,-10867.0,8230.0,0.001,100000000.0,7819500.0,7819500.0,7820.0,253244.0,181669.0,253244.0,181669.0,0.0,,,,,,71545.0,2939.0,2939.0,,0.0,,,23321.0,1921.0,,,0.0,4771.0,,0.0,,4688.0,,0.0,11105.0,,33077.0,265655.0,10400.0,0.0,-21267.0,-28968.0,-4688.0,,26260.0,-24340.0,,3209.0,,12503.0,,,60.0,,60.0,,,0.001,25000000.0,0.0,0.0,,0.0,10400.0,,,,0.0,,36122.0,12617.0,1350.0,-377843.0,1921.0,-232578.0,0.0,52000.0,,10400.0,23505.0,7810165.0,,,
2020-06-30,2020-08-19,10-Q,"EVIL EMPIRE DESIGNS, INC",EVVL,CIK0001759424,USD,88674.0,,,25319.0,177782.0,,117207.0,6404.0,,,,,125000000.0,,6404.0,,6404.0,0.001,100000000.0,8033000.0,8033000.0,8033.0,266669.0,,342902.0,266669.0,0.0,,,,,,,,2918.0,,-0.01,,-11105.0,29267.0,1844.0,,,,,,,,4662.0,,,0.0,100000.0,117207.0,355343.0,,,,-46108.0,-15767.0,,32185.0,-30341.0,,83.0,,12503.0,,0.0,,,,,,0.001,25000000.0,0.0,0.0,0.0,,,,,,,-46108.0,36122.0,10803.0,,-423951.0,1844.0,-238136.0,,,,40550.0,,7862569.0,,,
2020-09-30,2020-11-20,10-Q,"EVIL EMPIRE DESIGNS, INC",EVVL,CIK0001759424,USD,93362.0,,,27009.0,222757.0,,149113.0,0.0,,353.0,,,125000000.0,,0.0,,,0.001,100000000.0,8057750.0,8057750.0,8058.0,355300.0,274379.0,355300.0,274379.0,793.0,,,,,,80921.0,,1950.0,,-0.01,,0.0,22244.0,3036.0,,,,,,,,4688.0,,,0.0,140000.0,149113.0,368094.0,,,,-25846.0,-4688.0,,24194.0,-21158.0,,0.0,0.0,23629.0,,,0.0,,,,,0.001,25000000.0,0.0,0.0,0.0,,,,,,,,36122.0,9113.0,,-449796.0,3829.0,-218981.0,,,,5000.0,,8047585.0,,,
2020-12-31,2021-04-14,10-K,"EVIL EMPIRE DESIGNS, INC",EVVL,CIK0001759424,USD,104581.0,0.0,,29196.0,222757.0,,180970.0,6954.0,,,,,125000000.0,5265.0,5265.0,-13832.0,,0.001,100000000.0,8057750.0,8057750.0,8058.0,,,,323329.0,878.0,,,0.0,109779.0,-109779.0,,9725.0,9757.0,,-0.02,,,150817.0,11919.0,,0.0,,25284.0,,9416.0,73.0,25257.0,0.0,,1689.0,155000.0,180970.0,472910.0,242610.0,-127092.0,-129350.0,-173880.0,-25257.0,45000.0,160542.0,-148623.0,522755.0,0.0,0.0,2167.0,0.0,,,,,115000.0,12092.0,0.001,25000000.0,0.0,0.0,0.0,141660.0,,55950.0,45000.0,,,,48212.0,19016.0,31387.0,-522755.0,12797.0,-291940.0,,,,55950.0,,7945694.0,0.0,,
2021-03-31,2021-05-17,10-Q,"EVIL EMPIRE DESIGNS, INC",EVVL,CIK0001759424,USD,117155.0,,,31093.0,222757.0,,202647.0,3028.0,48212.0,,,,125000000.0,,1292.0,-3973.0,,0.001,100000000.0,8057750.0,8057750.0,8058.0,467423.0,365209.0,,365209.0,317.0,,,,,,102214.0,1897.0,1897.0,,0.0,,,25546.0,4740.0,,,0.0,12574.0,,-47.0,,10074.0,,0.0,1736.0,182500.0,202647.0,527364.0,41880.0,-27500.0,-18353.0,-32777.0,-10074.0,45000.0,27443.0,-22703.0,,,,,,,0.0,,,,,0.001,25000000.0,0.0,0.0,0.0,41880.0,0.0,,,,-27500.0,,48212.0,17119.0,6750.0,-555532.0,5057.0,-324717.0,0.0,,,,,8057750.0,,,
2021-06-30,2021-09-08,10-Q,"EVIL EMPIRE DESIGNS, INC",EVVL,CIK0001759424,USD,114669.0,3956.0,,32990.0,222757.0,,211287.0,13565.0,48212.0,,,,125000000.0,,7873.0,,,0.001,100000000.0,8057750.0,8057750.0,8058.0,467423.0,373209.0,,377125.0,2968.0,,,,,,102214.0,3794.0,1897.0,,0.0,,,,2309.0,,,,,,,,10314.0,,,1736.0,182500.0,211287.0,536834.0,,,,-830.0,-9614.0,45040.0,-6475.0,8784.0,,,,,,,700.0,,,,,0.001,25000000.0,0.0,0.0,,,,,,,,,48212.0,15222.0,,-556362.0,5277.0,325547.0,,,,,,8057750.0,,,
2021-09-30,2021-12-21,10-Q,"EVIL EMPIRE DESIGNS, INC",EVVL,CIK0001759424,USD,124983.0,46365.0,,34887.0,222757.0,,346300.0,50476.0,48212.0,,,,125000000.0,,106.0,,,0.001,100000000.0,8057750.0,8057750.0,8058.0,645372.0,377125.0,,377125.0,8231.0,,,,,,122842.0,5691.0,1897.0,,0.0,,,8010.0,42634.0,,,,,,,,10314.0,,,1736.0,182500.0,346300.0,647138.0,,,,24710.0,-8047.0,145030.0,9907.0,32757.0,,,,,,,2267.0,,,,,0.001,25000000.0,0.0,0.0,,,,,,,,,48212.0,13325.0,,-531652.0,50895.0,-300837.0,,,,,,8057750.0,2268.0,145030.0,
