end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableCurrent,AccretionAmortizationOfDiscountsAndPremiumsInvestments,AccruedLiabilitiesCurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AdditionalPaidInCapital,AllowanceForDoubtfulAccountsReceivableCurrent,AmortizationOfDeferredLoanOriginationFeesNet,Assets,AssetsCurrent,AssetsNoncurrent,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CashFDICInsuredAmount,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ConvertibleNotesPayableCurrent,CostOfRevenue,CurrentFederalStateAndLocalTaxExpenseBenefit,CurrentFederalTaxExpenseBenefit,CurrentStateAndLocalTaxExpenseBenefit,DebtIssuanceCostsLineOfCreditArrangementsGross,DebtIssuanceCostsLineOfCreditArrangementsNet,DeferredFederalIncomeTaxExpenseBenefit,DeferredFederalStateAndLocalTaxExpenseBenefit,DeferredIncomeTaxExpenseBenefit,DeferredIncomeTaxLiabilities,DeferredIncomeTaxLiabilitiesNet,DeferredStateAndLocalIncomeTaxExpenseBenefit,DeferredTaxAssetsLiabilitiesNet,DeferredTaxAssetsTaxDeferredExpense,DeferredTaxLiabilities,Depreciation,DepreciationDepletionAndAmortization,EarningsPerShareBasic,EarningsPerShareDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,GainLossOnSaleOfPropertyPlantEquipment,GainLossRelatedToLitigationSettlement,GainsLossesOnExtinguishmentOfDebt,GainsLossesOnExtinguishmentOfDebtBeforeWriteOffOfDeferredDebtIssuanceCost,GeneralAndAdministrativeExpense,GrossProfit,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncomeTaxReconciliationStateAndLocalIncomeTaxes,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInInventories,IncreaseDecreaseInOtherCurrentAssets,InterestExpense,InterestExpenseBorrowings,InterestIncomeExpenseNet,InterestPaid,InventoryNet,IssuanceOfStockAndWarrantsForServicesOrClaims,LegalFees,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LiabilitiesNoncurrent,LineOfCredit,LineOfCreditFacilityAverageOutstandingAmount,LineOfCreditFacilityIncreaseDecreaseOtherNet,LineOfCreditFacilityInterestRateDuringPeriod,LongTermDebt,LongTermDebtMaturitiesRepaymentsOfPrincipalInNextTwelveMonths,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFive,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFour,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearThree,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearTwo,LongTermNotesPayable,LossContingencyPendingClaimsNumber,MarketingAndAdvertisingExpense,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NonoperatingIncomeExpense,NotesPayableCurrent,NotesPayableRelatedPartiesNoncurrent,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OtherAssets,OtherAssetsCurrent,OtherAssetsNoncurrent,OtherIncome,OtherLongTermNotesPayable,OtherNonoperatingIncome,OtherNonoperatingIncomeExpense,PaymentsOfDistributionsToAffiliates,PaymentsToAcquireEquipmentOnLease,PaymentsToAcquireInterestInJointVenture,PaymentsToAcquireInterestInSubsidiariesAndAffiliates,PaymentsToAcquirePropertyPlantAndEquipment,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,ProceedsFromDivestitureOfInterestInJointVenture,ProceedsFromNotesPayable,ProceedsFromRepaymentsOfLinesOfCredit,ProceedsFromSaleOfPropertyPlantAndEquipment,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,ReceivablesNetCurrent,RepaymentsOfNotesPayable,RepaymentsOfRelatedPartyDebt,RetainedEarningsAccumulatedDeficit,RevenueFromContractWithCustomerIncludingAssessedTax,Revenues,StockholdersEquity,StockIssuedDuringPeriodSharesIssuedForServices,StockIssuedDuringPeriodValueIssuedForServices,TreasuryStockValue,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfSharesOutstandingBasic
2019-03-31,2019-07-09,10-Q,"AmeraMex International, Inc.",AMMX,CIK0001776048,USD,2565403.0,,93260.0,697293.0,20785924.0,,2726.0,11405659.0,5464979.0,,,57986.0,-139766.0,-139766.0,,0.001,1000000000.0,753415879.0,753415879.0,754017.0,,1801722.0,,,,262659.0,185000.0,,,-85271.0,,,,,,216409.0,271829.0,271829.0,0.0,0.0,,,,,,-482908.0,-482908.0,204617.0,642170.0,-389246.0,-106628.0,,,,1256369.0,84279.0,-25030.0,2007042.0,-53387.0,263175.0,,,263175.0,4455236.0,,,9448223.0,11405659.0,2718663.0,6729560.0,6031287.0,6500000.0,12659.0,,192880.0,,,,,,132880.0,,81233.0,330808.0,-50827.0,-419747.0,-282618.0,-745566.0,60000.0,348984.0,285850.0,356320.0,,494008.0,235673.0,5940680.0,,,517.0,,,97028.0,,,-46201.0,0.001,5000000.0,0.0,0.0,,126000.0,5940262.0,,1639644.0,942351.0,716084.0,5730795.0,4659.0,-19577067.0,2443892.0,,1957436.0,,,5438.0,753415879.0,753415879.0
2019-06-30,2019-08-14,10-Q,"AmeraMex International, Inc.",AMMX,CIK0001776048,USD,974590.0,,84155.0,751569.0,20781087.0,,,10133777.0,4383839.0,,,175588.0,,,,0.001,1000000000.0,753415879.0,753415879.0,753416.0,,4867537.0,,,,,,,,,,,,,,226566.0,,,0.0,0.0,,,,,,,,292751.0,605504.0,34184.0,10152.0,,,,,,,,,172559.0,,,,3652888.0,,,8152309.0,10133777.0,1108745.0,7043564.0,6331576.0,,,,182880.0,,,,,,132880.0,,106726.0,,,,24032.0,-171843.0,50000.0,352542.0,399477.0,206027.0,,472832.0,245673.0,5749938.0,,,716.0,,,,,,,0.001,5000000.0,0.0,0.0,,,,,1741004.0,989435.0,309690.0,,,-19553035.0,5473041.0,4901300.0,1981468.0,,,,753415879.0,753415879.0
2019-09-30,2019-11-14,10-Q,"AmeraMex International, Inc.",AMMX,CIK0001776048,USD,1119755.0,,221399.0,807666.0,20781087.0,,,11638312.0,6114050.0,,,131622.0,,,,0.001,1000000000.0,753415879.0,753415879.0,753416.0,,2084949.0,,,,,,,,,,,,,,301676.0,,,0.0,0.0,,,,,,,,283513.0,1217279.0,723417.0,209791.0,,,,,,,,,135541.0,,,,5115991.0,,,9143218.0,11638312.0,1371154.0,7772064.0,6665048.0,,,,515137.0,,,,,,485135.0,,127488.0,,,,513626.0,-82861.0,30000.0,320205.0,411001.0,806278.0,,453703.0,251665.0,5524262.0,,,52680.0,,,,,459500.0,,0.001,5000000.0,0.0,0.0,,,,,1809871.0,1002205.0,614772.0,,,-19039409.0,3302228.0,3302228.0,2495094.0,,,,753415879.0,753415879.0
2019-12-31,2020-06-05,10-K,"AmeraMex International, Inc.",AMMX,CIK0001776048,USD,531806.0,,79787.0,871691.0,21519435.0,28000.0,,11449410.0,5743442.0,5705968.0,290965.0,114504.0,,-83248.0,0.0,0.001,1000000000.0,14808737.0,14808737.0,15068.0,,10294562.0,800.0,,800.0,,,-56618.0,-76145.0,-75345.0,912633.0,226339.0,-19527.0,226339.0,686294.0,226339.0,228051.0,1246777.0,-0.01,-0.01,0.455,0.21,-0.07,,,-482908.0,-482908.0,978560.0,2360676.0,-165639.0,-75345.0,800.0,-34784.0,-11595.0,-777227.0,-42095.0,-38504.0,2142641.0,173677.0,747855.0,,,747855.0,4832283.0,,,9299650.0,11449410.0,1865654.0,7433996.0,6313628.0,,,0.0375,945763.0,386528.0,36973.0,132105.0,188207.0,201950.0,559235.0,,448415.0,2237865.0,-795205.0,-1525908.0,-90294.0,-1099340.0,386528.0,334794.0,1426975.0,933701.0,564125.0,5705968.0,206945.0,489562.0,,,131423.0,,,375912.0,,,419293.0,0.001,5000000.0,0.0,0.0,459500.0,960505.0,5947205.0,,2051485.0,1179794.0,589710.0,5110496.0,18849.0,-19384743.0,12655238.0,,2149760.0,,,,14808737.0,14808737.0
2020-03-31,2020-06-24,10-Q,"AmeraMex International, Inc.",AMMX,CIK0001776048,USD,638903.0,,54555.0,940642.0,20781087.0,,,13030355.0,7657896.0,,,186997.0,,72493.0,,0.001,1000000000.0,753415879.0,753415879.0,753416.0,,994258.0,,,,,,,,-46176.0,,,,,,180163.0,68950.0,337673.0,0.01,0.01,,,,,,,,268523.0,444211.0,-174255.0,-46176.0,46176.0,,,107097.0,-110486.0,-25232.0,1943023.0,-25417.0,261110.0,51756.0,,259808.0,6775306.0,,,11008674.0,13030355.0,3074035.0,7934639.0,5300840.0,,,,3716412.0,,,,,,2123410.0,2.0,88833.0,1673335.0,-39005.0,-1561837.0,-128079.0,-261110.0,1593002.0,330226.0,357356.0,86855.0,,5372459.0,216369.0,454721.0,,,,,,18589.0,17500.0,,,0.001,5000000.0,0.0,0.0,,2900600.0,-1075247.0,,2051485.0,1110843.0,479224.0,129950.0,4568.0,-19512822.0,1438469.0,,2021681.0,,,,15068318.0,15068318.0
2020-06-30,2020-08-14,10-Q,"AmeraMex International, Inc.",AMMX,CIK0001776048,USD,733432.0,,572461.0,1010443.0,20781087.0,,,13749528.0,8805973.0,,,210739.0,,,,0.001,1000000000.0,753415879.0,753415879.0,753416.0,,1352397.0,,,,,,,,,,,,,,21578.0,69802.0,,0.0,0.0,,,,,,,,279862.0,430288.0,-598430.0,-158590.0,,,,,,,,,260989.0,102481.0,-260989.0,,7385715.0,,428700.0,12167687.0,13749528.0,3722876.0,8444811.0,5516026.0,,,,4341978.0,,,,,,2592085.0,2.0,59167.0,,,,-439840.0,-260989.0,1749893.0,315122.0,767729.0,-337441.0,,4943555.0,234476.0,436597.0,,,,,,,,,,0.001,5000000.0,0.0,0.0,,,,,2145677.0,1135234.0,975043.0,,,-19952662.0,1782685.0,1025364.0,1581841.0,,,,15068318.0,15068318.0
2020-09-30,2020-11-13,10-Q,"AmeraMex International, Inc.",AMMX,CIK0001776048,USD,1822679.0,,328786.0,1083123.0,20802887.0,,,14279557.0,9675545.0,,,210739.0,,,,0.001,1000000000.0,755415879.0,755415879.0,755416.0,129217.0,5071886.0,,,,,,,,,,42112.0,,,,,72681.0,,-0.01,-0.01,,,,,,,,223980.0,808526.0,-241734.0,-158590.0,,,,,,,,,366725.0,165562.0,-260989.0,,7692216.0,,428700.0,12614466.0,14279557.0,4505864.0,8108602.0,5220399.0,,,,3653489.0,,,,,,2593518.0,2.0,136591.0,,,,-83144.0,-260989.0,1059971.0,252573.0,789271.0,19255.0,,4604012.0,228531.0,412930.0,,,,,,,,,,0.001,5000000.0,0.0,0.0,,,,,2186975.0,1103852.0,1248217.0,,,-19893212.0,5880412.0,5880412.0,1641291.0,,23800.0,,15068318.0,15068318.0
2020-12-31,2021-04-16,10-K,"AmeraMex International, Inc.",AMMX,CIK0001776048,USD,620200.0,,231329.0,1157644.0,21545614.0,,,12520102.0,7248352.0,5271750.0,341037.0,407881.0,,293377.0,157078.0,0.001,1000000000.0,14548851.0,14548851.0,14549.0,150683.0,10509656.0,800.0,,800.0,,,-313987.0,-392457.0,-384467.0,651606.0,,-78470.0,,809730.0,,285952.0,1310018.0,-0.04,-0.04,0.399,0.21,-0.085,,-428700.0,-90925.0,-90925.0,944567.0,1769464.0,-974347.0,-391657.0,800.0,-206254.0,-83330.0,88394.0,178661.0,151542.0,1031615.0,-44568.0,1047330.0,,,907534.0,5873569.0,25660.0,428700.0,10927372.0,12520102.0,8102778.0,2824594.0,,,,,3509200.0,911265.0,269603.0,514494.0,787902.0,1025936.0,2597935.0,2.0,454806.0,1303273.0,-753828.0,-256068.0,-582690.0,-915738.0,911265.0,226659.0,1828073.0,-58609.0,688220.0,,198531.0,453410.0,,,,,,,,,,0.001,5000000.0,0.0,0.0,,4594871.0,-971861.0,,2193484.0,1035840.0,768371.0,2191602.0,108135.0,-19967433.0,12279120.0,,1592730.0,40000.0,25660.0,,14808737.0,14808737.0
2021-03-31,2021-05-17,10-Q,"AmeraMex International, Inc.",AMMX,CIK0001776048,USD,1253413.0,,347316.0,1231012.0,21545614.0,,,13487497.0,8963989.0,4523508.0,,337600.0,,-70281.0,,0.001,1000000000.0,14548851.0,14548851.0,14549.0,194686.0,2857988.0,,,,,,,,153875.0,,,,,,,73369.0,258148.0,0.03,0.03,,,,,,-12333.0,-12333.0,244303.0,1171708.0,518904.0,153075.0,,,,633213.0,994910.0,115987.0,757248.0,16212.0,267057.0,46837.0,,201278.0,6630817.0,,,11528938.0,13487497.0,8582268.0,2946670.0,,,,,3733810.0,,,,,,2707258.0,,139189.0,-139550.0,298254.0,-228985.0,365829.0,-269312.0,1026552.0,239412.0,383492.0,788216.0,,,232291.0,435862.0,10078.0,,,,,,,,,0.001,5000000.0,0.0,0.0,,529630.0,-584246.0,,2199984.0,968972.0,1763281.0,252934.0,,-19601604.0,4029696.0,,1958559.0,,,,14549155.0,14549155.0
2021-06-30,2021-08-12,10-Q,"AmeraMex International, Inc.",AMMX,CIK0001776048,USD,980458.0,,481320.0,1363062.0,21600734.0,,,11631389.0,8153298.0,3478091.0,,450944.0,,,,0.001,1000000000.0,14629155.0,14629155.0,14629.0,226802.0,5329524.0,,,,,,,,,,27613.0,,,,,69198.0,,0.01,0.01,,,,,,,-77845.0,229927.0,970427.0,110712.0,32662.0,,,,,,,,,,47872.0,-267975.0,,6126283.0,,,9539580.0,11631389.0,7235646.0,2303934.0,,,,,2812679.0,,,,,,2073570.0,,284732.0,,,,78050.0,-345056.0,739109.0,202751.0,514659.0,455768.0,,,226456.0,414619.0,,,,764.0,,,,,,0.001,5000000.0,0.0,0.0,,,,,2349984.0,1049776.0,1349615.0,,,-19523554.0,6299951.0,,2091809.0,,55200.0,,14629155.0,14629155.0
